[3509, 2480]
[paragraph, [342.0, 396.0, 1799.0, 52.5], shoonya_0sSWNHPJ1PGFE4, 5723865]
[paragraph, [342.0, 448.5, 1799.0, 52.5], shoonya_0sSWNHPJ1PGFE4, 5723865]
[paragraph, [342.0, 501.0, 1799.0, 52.5], shoonya_0sSWNHPJ1PGFE4, 5723865]
[paragraph, [342.0, 553.5, 1799.0, 52.5], shoonya_0sSWNHPJ1PGFE4, 5723865]
[paragraph, [342.0, 606.0, 1799.0, 52.5], shoonya_0sSWNHPJ1PGFE4, 5723865]
[paragraph, [342.0, 658.5, 1799.0, 52.5], shoonya_0sSWNHPJ1PGFE4, 5723865]
[paragraph, [342.0, 711.0, 1799.0, 52.5], shoonya_0sSWNHPJ1PGFE4, 5723865]
[paragraph, [342.0, 763.5, 1799.0, 52.5], shoonya_0sSWNHPJ1PGFE4, 5723865]
[paragraph, [342.0, 816.0, 1799.0, 52.5], shoonya_0sSWNHPJ1PGFE4, 5723865]
[paragraph, [342.0, 868.5, 1799.0, 52.5], shoonya_0sSWNHPJ1PGFE4, 5723865]
[paragraph, [342.0, 921.0, 1799.0, 52.5], shoonya_0sSWNHPJ1PGFE4, 5723865]
[paragraph, [342.0, 973.5, 1799.0, 52.5], shoonya_0sSWNHPJ1PGFE4, 5723865]
[paragraph, [342.0, 1026.0, 1799.0, 52.5], shoonya_0sSWNHPJ1PGFE4, 5723865]
[paragraph, [342.0, 1078.5, 1799.0, 52.5], shoonya_0sSWNHPJ1PGFE4, 5723865]
[paragraph, [342.0, 1131.0, 1799.0, 52.5], shoonya_0sSWNHPJ1PGFE4, 5723865]
[paragraph, [342.0, 1183.5, 1799.0, 52.5], shoonya_0sSWNHPJ1PGFE4, 5723865]
[paragraph, [349.0, 1458.0, 1783.0, 52.5], wYIpj7-zRK, 5723865]
[paragraph, [349.0, 1510.5, 1783.0, 52.5], wYIpj7-zRK, 5723865]
[paragraph, [349.0, 1563.0, 1783.0, 52.5], wYIpj7-zRK, 5723865]
[paragraph, [349.0, 1615.5, 1783.0, 52.5], wYIpj7-zRK, 5723865]
[paragraph, [349.0, 1668.0, 1783.0, 52.5], wYIpj7-zRK, 5723865]
[paragraph, [349.0, 1720.5, 1783.0, 52.5], wYIpj7-zRK, 5723865]
[paragraph, [349.0, 1773.0, 1783.0, 52.5], wYIpj7-zRK, 5723865]
[paragraph, [349.0, 1825.5, 1783.0, 52.5], wYIpj7-zRK, 5723865]
[paragraph, [352.0, 1948.0, 1789.0, 52.5], YCryE7vvxy, 5723865]
[paragraph, [352.0, 2000.5, 1789.0, 52.5], YCryE7vvxy, 5723865]
[paragraph, [352.0, 2053.0, 1789.0, 52.5], YCryE7vvxy, 5723865]
[paragraph, [352.0, 2105.5, 1789.0, 52.5], YCryE7vvxy, 5723865]
[paragraph, [352.0, 2158.0, 1789.0, 52.5], YCryE7vvxy, 5723865]
[paragraph, [352.0, 2210.5, 1789.0, 52.5], YCryE7vvxy, 5723865]
[paragraph, [352.0, 2263.0, 1789.0, 52.5], YCryE7vvxy, 5723865]
[paragraph, [356.0, 2412.0, 1783.0, 52.5], CtiXFlPyup, 5723865]
[paragraph, [356.0, 2464.5, 1783.0, 52.5], CtiXFlPyup, 5723865]
[paragraph, [356.0, 2517.0, 1783.0, 52.5], CtiXFlPyup, 5723865]
[paragraph, [356.0, 2569.5, 1783.0, 52.5], CtiXFlPyup, 5723865]
[paragraph, [356.0, 2622.0, 1783.0, 52.5], CtiXFlPyup, 5723865]
[paragraph, [356.0, 2674.5, 1783.0, 52.5], CtiXFlPyup, 5723865]
[paragraph, [356.0, 2727.0, 1783.0, 52.5], CtiXFlPyup, 5723865]
[paragraph, [356.0, 2779.5, 1783.0, 52.5], CtiXFlPyup, 5723865]
[paragraph, [356.0, 2832.0, 1783.0, 52.5], CtiXFlPyup, 5723865]
[paragraph, [356.0, 2884.5, 1783.0, 52.5], CtiXFlPyup, 5723865]
[paragraph, [356.0, 2937.0, 1783.0, 52.5], CtiXFlPyup, 5723865]
[paragraph, [356.0, 2989.5, 1783.0, 52.5], CtiXFlPyup, 5723865]
[paragraph, [356.0, 3042.0, 1783.0, 52.5], CtiXFlPyup, 5723865]
[paragraph, [356.0, 3094.5, 1783.0, 52.5], CtiXFlPyup, 5723865]
