[859, 612]
[folio, [247.0, 40.0, 180.0, 18.0], wSO7-OCD7-, 6459646]
[folio, [247.0, 58.0, 180.0, 18.0], wSO7-OCD7-, 6459646]
[paragraph, [163.0, 94.0, 273.0, 18.0], 7psuBhd90O, 6459646]
[paragraph, [163.0, 112.0, 273.0, 18.0], 7psuBhd90O, 6459646]
[paragraph, [163.0, 130.0, 273.0, 18.0], 7psuBhd90O, 6459646]
[paragraph, [163.0, 148.0, 273.0, 18.0], 7psuBhd90O, 6459646]
[paragraph, [163.0, 166.0, 273.0, 18.0], 7psuBhd90O, 6459646]
[paragraph, [163.0, 184.0, 273.0, 18.0], 7psuBhd90O, 6459646]
[paragraph, [163.0, 202.0, 273.0, 18.0], 7psuBhd90O, 6459646]
[paragraph, [116.0, 220.0, 438.0, 18.0], shoonya_0sQBXYX8EHMQYX, 6459646]
[paragraph, [116.0, 238.0, 438.0, 18.0], shoonya_0sQBXYX8EHMQYX, 6459646]
[paragraph, [116.0, 256.0, 438.0, 18.0], shoonya_0sQBXYX8EHMQYX, 6459646]
[paragraph, [116.0, 274.0, 438.0, 18.0], shoonya_0sQBXYX8EHMQYX, 6459646]
[paragraph, [116.0, 292.0, 438.0, 18.0], shoonya_0sQBXYX8EHMQYX, 6459646]
[paragraph, [116.0, 310.0, 438.0, 18.0], shoonya_0sQBXYX8EHMQYX, 6459646]
[paragraph, [116.0, 328.0, 438.0, 18.0], shoonya_0sQBXYX8EHMQYX, 6459646]
[paragraph, [116.0, 346.0, 438.0, 18.0], shoonya_0sQBXYX8EHMQYX, 6459646]
[paragraph, [116.0, 364.0, 438.0, 18.0], shoonya_0sQBXYX8EHMQYX, 6459646]
[paragraph, [116.0, 382.0, 438.0, 18.0], shoonya_0sQBXYX8EHMQYX, 6459646]
[paragraph, [116.0, 400.0, 438.0, 18.0], shoonya_0sQBXYX8EHMQYX, 6459646]
[paragraph, [116.0, 418.0, 438.0, 18.0], shoonya_0sQBXYX8EHMQYX, 6459646]
[paragraph, [116.0, 436.0, 438.0, 18.0], shoonya_0sQBXYX8EHMQYX, 6459646]
[paragraph, [116.0, 454.0, 438.0, 18.0], shoonya_0sQBXYX8EHMQYX, 6459646]
[paragraph, [116.0, 472.0, 438.0, 18.0], shoonya_0sQBXYX8EHMQYX, 6459646]
[paragraph, [125.0, 493.0, 433.0, 18.0], wo--QyHI3b, 6459646]
[paragraph, [125.0, 511.0, 433.0, 18.0], wo--QyHI3b, 6459646]
[paragraph, [125.0, 529.0, 433.0, 18.0], wo--QyHI3b, 6459646]
[paragraph, [125.0, 547.0, 433.0, 18.0], wo--QyHI3b, 6459646]
[paragraph, [125.0, 565.0, 433.0, 18.0], wo--QyHI3b, 6459646]
[paragraph, [125.0, 583.0, 433.0, 18.0], wo--QyHI3b, 6459646]
[paragraph, [125.0, 601.0, 433.0, 18.0], wo--QyHI3b, 6459646]
[paragraph, [125.0, 619.0, 433.0, 18.0], wo--QyHI3b, 6459646]
[paragraph, [125.0, 637.0, 433.0, 18.0], wo--QyHI3b, 6459646]
[paragraph, [125.0, 655.0, 433.0, 18.0], wo--QyHI3b, 6459646]
[paragraph, [125.0, 673.0, 433.0, 18.0], wo--QyHI3b, 6459646]
[paragraph, [125.0, 691.0, 433.0, 18.0], wo--QyHI3b, 6459646]
[paragraph, [124.0, 702.0, 440.0, 18.0], wP72J3YZ4G, 6459646]
[paragraph, [124.0, 720.0, 440.0, 18.0], wP72J3YZ4G, 6459646]
[paragraph, [124.0, 738.0, 440.0, 18.0], wP72J3YZ4G, 6459646]
[paragraph, [124.0, 756.0, 440.0, 18.0], wP72J3YZ4G, 6459646]
[paragraph, [124.0, 774.0, 440.0, 18.0], wP72J3YZ4G, 6459646]
