[612, 396]
[folio, [79.0, 34.0, 74.0, 18.0], rqf7gdh1HY, 6517102]
[paragraph, [40.0, 60.0, 314.0, 18.0], shoonya_1sVFE62WPWST4X, 6517102]
[paragraph, [40.0, 78.0, 314.0, 18.0], shoonya_1sVFE62WPWST4X, 6517102]
[paragraph, [40.0, 96.0, 314.0, 18.0], shoonya_1sVFE62WPWST4X, 6517102]
[paragraph, [38.0, 153.0, 322.0, 18.0], shoonya_0sMH3QFQXDSM7E, 6517102]
[paragraph, [38.0, 171.0, 322.0, 18.0], shoonya_0sMH3QFQXDSM7E, 6517102]
[paragraph, [38.0, 189.0, 322.0, 18.0], shoonya_0sMH3QFQXDSM7E, 6517102]
[paragraph, [38.0, 207.0, 322.0, 18.0], shoonya_0sMH3QFQXDSM7E, 6517102]
[paragraph, [38.0, 225.0, 322.0, 18.0], shoonya_0sMH3QFQXDSM7E, 6517102]
[paragraph, [38.0, 243.0, 322.0, 18.0], shoonya_0sMH3QFQXDSM7E, 6517102]
[paragraph, [38.0, 261.0, 322.0, 18.0], shoonya_0sMH3QFQXDSM7E, 6517102]
[paragraph, [38.0, 279.0, 322.0, 18.0], shoonya_0sMH3QFQXDSM7E, 6517102]
[paragraph, [38.0, 297.0, 322.0, 18.0], shoonya_0sMH3QFQXDSM7E, 6517102]
[paragraph, [38.0, 315.0, 322.0, 18.0], shoonya_0sMH3QFQXDSM7E, 6517102]
[paragraph, [38.0, 333.0, 322.0, 18.0], shoonya_0sMH3QFQXDSM7E, 6517102]
[paragraph, [38.0, 351.0, 322.0, 18.0], shoonya_0sMH3QFQXDSM7E, 6517102]
[paragraph, [38.0, 369.0, 322.0, 18.0], shoonya_0sMH3QFQXDSM7E, 6517102]
[paragraph, [38.0, 387.0, 322.0, 18.0], shoonya_0sMH3QFQXDSM7E, 6517102]
[paragraph, [38.0, 405.0, 322.0, 18.0], shoonya_0sMH3QFQXDSM7E, 6517102]
[paragraph, [38.0, 423.0, 322.0, 18.0], shoonya_0sMH3QFQXDSM7E, 6517102]
[paragraph, [38.0, 441.0, 322.0, 18.0], shoonya_0sMH3QFQXDSM7E, 6517102]
[paragraph, [38.0, 459.0, 322.0, 18.0], shoonya_0sMH3QFQXDSM7E, 6517102]
[paragraph, [38.0, 477.0, 322.0, 18.0], shoonya_0sMH3QFQXDSM7E, 6517102]
[paragraph, [38.0, 495.0, 322.0, 18.0], shoonya_0sMH3QFQXDSM7E, 6517102]
[paragraph, [38.0, 513.0, 322.0, 18.0], shoonya_0sMH3QFQXDSM7E, 6517102]
[paragraph, [38.0, 531.0, 322.0, 18.0], shoonya_0sMH3QFQXDSM7E, 6517102]
[paragraph, [38.0, 549.0, 322.0, 18.0], shoonya_0sMH3QFQXDSM7E, 6517102]
