[842, 595]
[section-title, [4.0, 64.0, 78.0, 30.0], V-jhGUqy-4, 5742040]
[section-title, [4.0, 94.0, 78.0, 30.0], V-jhGUqy-4, 5742040]
[section-title, [94.0, 94.0, 104.0, 30.0], LnDFYdDrhQ, 5742040]
[paragraph, [230.0, 125.0, 115.0, 18.0], _RebLRE0qx, 5742040]
[paragraph, [230.0, 143.0, 115.0, 18.0], _RebLRE0qx, 5742040]
[paragraph, [230.0, 161.0, 115.0, 18.0], _RebLRE0qx, 5742040]
[paragraph, [230.0, 179.0, 115.0, 18.0], _RebLRE0qx, 5742040]
[paragraph, [230.0, 197.0, 115.0, 18.0], _RebLRE0qx, 5742040]
[paragraph, [230.0, 215.0, 115.0, 18.0], _RebLRE0qx, 5742040]
[paragraph, [230.0, 233.0, 115.0, 18.0], _RebLRE0qx, 5742040]
[paragraph, [230.0, 251.0, 115.0, 18.0], _RebLRE0qx, 5742040]
[paragraph, [230.0, 269.0, 115.0, 18.0], _RebLRE0qx, 5742040]
[author, [98.0, 162.0, 85.0, 18.0], 3XKnuHRThW, 5742040]
[contact-info, [62.0, 178.0, 150.0, 18.0], 1omCjizzMW, 5742040]
[contact-info, [62.0, 196.0, 150.0, 18.0], 1omCjizzMW, 5742040]
[paragraph, [226.0, 307.0, 274.0, 18.0], cTHdVnYp0R, 5742040]
[paragraph, [226.0, 325.0, 274.0, 18.0], cTHdVnYp0R, 5742040]
[paragraph, [226.0, 343.0, 274.0, 18.0], cTHdVnYp0R, 5742040]
[paragraph, [226.0, 361.0, 274.0, 18.0], cTHdVnYp0R, 5742040]
[paragraph, [226.0, 379.0, 274.0, 18.0], cTHdVnYp0R, 5742040]
[paragraph, [226.0, 397.0, 274.0, 18.0], cTHdVnYp0R, 5742040]
[paragraph, [229.0, 454.0, 267.0, 18.0], JhUd1em1OG, 5742040]
[paragraph, [230.0, 506.0, 273.0, 18.0], oJr_ThaZWt, 5742040]
[paragraph, [230.0, 524.0, 273.0, 18.0], oJr_ThaZWt, 5742040]
[paragraph, [229.0, 546.0, 155.0, 18.0], XdfqHSRcUd, 5742040]
[paragraph, [229.0, 564.0, 155.0, 18.0], XdfqHSRcUd, 5742040]
[paragraph, [230.0, 585.0, 119.0, 18.0], sAG-FUjabE, 5742040]
[paragraph, [230.0, 603.0, 119.0, 18.0], sAG-FUjabE, 5742040]
[paragraph, [230.0, 621.0, 119.0, 18.0], sAG-FUjabE, 5742040]
[paragraph, [230.0, 639.0, 119.0, 18.0], sAG-FUjabE, 5742040]
[paragraph, [230.0, 657.0, 119.0, 18.0], sAG-FUjabE, 5742040]
[paragraph, [230.0, 675.0, 119.0, 18.0], sAG-FUjabE, 5742040]
[paragraph, [230.0, 693.0, 119.0, 18.0], sAG-FUjabE, 5742040]
[paragraph, [230.0, 711.0, 119.0, 18.0], sAG-FUjabE, 5742040]
[folio, [465.0, 743.0, 80.0, 18.0], AOANprqqXS, 5742040]
[folio, [465.0, 761.0, 80.0, 18.0], AOANprqqXS, 5742040]
