[1387, 987]
[paragraph, [65.0, 96.0, 845.0, 18.0], shoonya_0s0UBRYHALJFL6, 5651933]
[paragraph, [65.0, 114.0, 845.0, 18.0], shoonya_0s0UBRYHALJFL6, 5651933]
[paragraph, [65.0, 132.0, 845.0, 18.0], shoonya_0s0UBRYHALJFL6, 5651933]
[paragraph, [65.0, 150.0, 845.0, 18.0], shoonya_0s0UBRYHALJFL6, 5651933]
[paragraph, [65.0, 168.0, 845.0, 18.0], shoonya_0s0UBRYHALJFL6, 5651933]
[paragraph, [65.0, 186.0, 845.0, 18.0], shoonya_0s0UBRYHALJFL6, 5651933]
[paragraph, [65.0, 204.0, 845.0, 18.0], shoonya_0s0UBRYHALJFL6, 5651933]
[paragraph, [65.0, 222.0, 845.0, 18.0], shoonya_0s0UBRYHALJFL6, 5651933]
[paragraph, [65.0, 240.0, 845.0, 18.0], shoonya_0s0UBRYHALJFL6, 5651933]
[paragraph, [65.0, 258.0, 845.0, 18.0], shoonya_0s0UBRYHALJFL6, 5651933]
[paragraph, [65.0, 276.0, 845.0, 18.0], shoonya_0s0UBRYHALJFL6, 5651933]
[paragraph, [65.0, 294.0, 845.0, 18.0], shoonya_0s0UBRYHALJFL6, 5651933]
[paragraph, [65.0, 312.0, 845.0, 18.0], shoonya_0s0UBRYHALJFL6, 5651933]
[paragraph, [65.0, 330.0, 845.0, 18.0], shoonya_0s0UBRYHALJFL6, 5651933]
[paragraph, [65.0, 348.0, 845.0, 18.0], shoonya_0s0UBRYHALJFL6, 5651933]
[paragraph, [65.0, 366.0, 845.0, 18.0], shoonya_0s0UBRYHALJFL6, 5651933]
[paragraph, [65.0, 384.0, 845.0, 18.0], shoonya_0s0UBRYHALJFL6, 5651933]
[paragraph, [65.0, 402.0, 845.0, 18.0], shoonya_0s0UBRYHALJFL6, 5651933]
[paragraph, [65.0, 420.0, 845.0, 18.0], shoonya_0s0UBRYHALJFL6, 5651933]
[paragraph, [57.0, 456.0, 810.0, 18.0], PVgeXrZ0i1, 5651933]
[paragraph, [57.0, 474.0, 810.0, 18.0], PVgeXrZ0i1, 5651933]
[paragraph, [57.0, 492.0, 810.0, 18.0], PVgeXrZ0i1, 5651933]
[paragraph, [57.0, 510.0, 810.0, 18.0], PVgeXrZ0i1, 5651933]
[paragraph, [57.0, 528.0, 810.0, 18.0], PVgeXrZ0i1, 5651933]
[paragraph, [57.0, 546.0, 810.0, 18.0], PVgeXrZ0i1, 5651933]
[paragraph, [57.0, 564.0, 810.0, 18.0], PVgeXrZ0i1, 5651933]
[paragraph, [57.0, 582.0, 810.0, 18.0], PVgeXrZ0i1, 5651933]
[paragraph, [57.0, 600.0, 810.0, 18.0], PVgeXrZ0i1, 5651933]
[paragraph, [57.0, 618.0, 810.0, 18.0], PVgeXrZ0i1, 5651933]
[paragraph, [41.0, 637.0, 835.0, 18.0], Xw1g3sjG0-, 5651933]
[paragraph, [41.0, 655.0, 835.0, 18.0], Xw1g3sjG0-, 5651933]
[paragraph, [41.0, 673.0, 835.0, 18.0], Xw1g3sjG0-, 5651933]
[paragraph, [41.0, 691.0, 835.0, 18.0], Xw1g3sjG0-, 5651933]
[paragraph, [41.0, 709.0, 835.0, 18.0], Xw1g3sjG0-, 5651933]
[paragraph, [41.0, 727.0, 835.0, 18.0], Xw1g3sjG0-, 5651933]
[paragraph, [41.0, 745.0, 835.0, 18.0], Xw1g3sjG0-, 5651933]
[paragraph, [41.0, 763.0, 835.0, 18.0], Xw1g3sjG0-, 5651933]
[paragraph, [41.0, 781.0, 835.0, 18.0], Xw1g3sjG0-, 5651933]
[paragraph, [41.0, 799.0, 835.0, 18.0], Xw1g3sjG0-, 5651933]
[paragraph, [41.0, 817.0, 835.0, 18.0], Xw1g3sjG0-, 5651933]
[paragraph, [41.0, 835.0, 835.0, 18.0], Xw1g3sjG0-, 5651933]
[paragraph, [41.0, 853.0, 835.0, 18.0], Xw1g3sjG0-, 5651933]
[paragraph, [41.0, 871.0, 835.0, 18.0], Xw1g3sjG0-, 5651933]
[paragraph, [41.0, 889.0, 835.0, 18.0], Xw1g3sjG0-, 5651933]
[paragraph, [41.0, 907.0, 835.0, 18.0], Xw1g3sjG0-, 5651933]
[paragraph, [41.0, 925.0, 835.0, 18.0], Xw1g3sjG0-, 5651933]
[paragraph, [41.0, 943.0, 835.0, 18.0], Xw1g3sjG0-, 5651933]
[paragraph, [41.0, 961.0, 835.0, 18.0], Xw1g3sjG0-, 5651933]
[paragraph, [41.0, 979.0, 835.0, 18.0], Xw1g3sjG0-, 5651933]
[paragraph, [66.0, 1001.0, 824.0, 18.0], Kwk9frcgZ6, 5651933]
[paragraph, [66.0, 1019.0, 824.0, 18.0], Kwk9frcgZ6, 5651933]
