[889, 615]
[headline, [60.0, 34.0, 527.0, 25.5], shoonya_1sMXKN8B641G0C, 5705371]
[headline, [60.0, 59.5, 527.0, 25.5], shoonya_1sMXKN8B641G0C, 5705371]
[paragraph, [34.0, 149.0, 554.0, 18.0], shoonya_0sNG7EVPC620UW, 5705371]
[paragraph, [34.0, 167.0, 554.0, 18.0], shoonya_0sNG7EVPC620UW, 5705371]
[paragraph, [34.0, 185.0, 554.0, 18.0], shoonya_0sNG7EVPC620UW, 5705371]
[paragraph, [34.0, 203.0, 554.0, 18.0], shoonya_0sNG7EVPC620UW, 5705371]
[paragraph, [34.0, 221.0, 554.0, 18.0], shoonya_0sNG7EVPC620UW, 5705371]
[paragraph, [34.0, 239.0, 554.0, 18.0], shoonya_0sNG7EVPC620UW, 5705371]
[paragraph, [34.0, 257.0, 554.0, 18.0], shoonya_0sNG7EVPC620UW, 5705371]
[paragraph, [34.0, 275.0, 554.0, 18.0], shoonya_0sNG7EVPC620UW, 5705371]
[paragraph, [34.0, 293.0, 554.0, 18.0], shoonya_0sNG7EVPC620UW, 5705371]
[paragraph, [34.0, 311.0, 554.0, 18.0], shoonya_0sNG7EVPC620UW, 5705371]
[paragraph, [34.0, 329.0, 554.0, 18.0], shoonya_0sNG7EVPC620UW, 5705371]
[paragraph, [34.0, 347.0, 554.0, 18.0], shoonya_0sNG7EVPC620UW, 5705371]
[paragraph, [34.0, 365.0, 554.0, 18.0], shoonya_0sNG7EVPC620UW, 5705371]
[paragraph, [34.0, 383.0, 554.0, 18.0], shoonya_0sNG7EVPC620UW, 5705371]
[paragraph, [34.0, 401.0, 554.0, 18.0], shoonya_0sNG7EVPC620UW, 5705371]
[paragraph, [34.0, 419.0, 554.0, 18.0], shoonya_0sNG7EVPC620UW, 5705371]
[paragraph, [34.0, 437.0, 554.0, 18.0], shoonya_0sNG7EVPC620UW, 5705371]
[paragraph, [34.0, 455.0, 554.0, 18.0], shoonya_0sNG7EVPC620UW, 5705371]
[paragraph, [34.0, 473.0, 554.0, 18.0], shoonya_0sNG7EVPC620UW, 5705371]
[paragraph, [34.0, 491.0, 554.0, 18.0], shoonya_0sNG7EVPC620UW, 5705371]
[paragraph, [34.0, 509.0, 554.0, 18.0], shoonya_0sNG7EVPC620UW, 5705371]
[paragraph, [34.0, 527.0, 554.0, 18.0], shoonya_0sNG7EVPC620UW, 5705371]
[paragraph, [34.0, 545.0, 554.0, 18.0], shoonya_0sNG7EVPC620UW, 5705371]
[paragraph, [34.0, 563.0, 554.0, 18.0], shoonya_0sNG7EVPC620UW, 5705371]
[paragraph, [34.0, 581.0, 554.0, 18.0], shoonya_0sNG7EVPC620UW, 5705371]
[paragraph, [34.0, 599.0, 554.0, 18.0], shoonya_0sNG7EVPC620UW, 5705371]
[paragraph, [34.0, 617.0, 554.0, 18.0], shoonya_0sNG7EVPC620UW, 5705371]
[paragraph, [34.0, 635.0, 554.0, 18.0], shoonya_0sNG7EVPC620UW, 5705371]
[paragraph, [34.0, 653.0, 554.0, 18.0], shoonya_0sNG7EVPC620UW, 5705371]
[paragraph, [34.0, 671.0, 554.0, 18.0], shoonya_0sNG7EVPC620UW, 5705371]
[contact-info, [51.0, 713.0, 512.0, 18.0], r7Q6Ob8nFy, 5705371]
[contact-info, [51.0, 731.0, 512.0, 18.0], r7Q6Ob8nFy, 5705371]
[contact-info, [51.0, 749.0, 512.0, 18.0], r7Q6Ob8nFy, 5705371]
[contact-info, [51.0, 767.0, 512.0, 18.0], r7Q6Ob8nFy, 5705371]
[contact-info, [51.0, 785.0, 512.0, 18.0], r7Q6Ob8nFy, 5705371]
[contact-info, [51.0, 803.0, 512.0, 18.0], r7Q6Ob8nFy, 5705371]
[contact-info, [51.0, 821.0, 512.0, 18.0], r7Q6Ob8nFy, 5705371]
[contact-info, [51.0, 839.0, 512.0, 18.0], r7Q6Ob8nFy, 5705371]
[contact-info, [51.0, 857.0, 512.0, 18.0], r7Q6Ob8nFy, 5705371]
