[2200, 1700]
[paragraph, [266.0, 219.0, 1022.0, 36.0], shoonya_0sJE6LTTACL1NY, 5651707]
[paragraph, [266.0, 255.0, 1022.0, 36.0], shoonya_0sJE6LTTACL1NY, 5651707]
[paragraph, [266.0, 291.0, 1022.0, 36.0], shoonya_0sJE6LTTACL1NY, 5651707]
[paragraph, [266.0, 327.0, 1022.0, 36.0], shoonya_0sJE6LTTACL1NY, 5651707]
[paragraph, [266.0, 363.0, 1022.0, 36.0], shoonya_0sJE6LTTACL1NY, 5651707]
[paragraph, [266.0, 399.0, 1022.0, 36.0], shoonya_0sJE6LTTACL1NY, 5651707]
[paragraph, [266.0, 435.0, 1022.0, 36.0], shoonya_0sJE6LTTACL1NY, 5651707]
[paragraph, [266.0, 471.0, 1022.0, 36.0], shoonya_0sJE6LTTACL1NY, 5651707]
[paragraph, [266.0, 507.0, 1022.0, 36.0], shoonya_0sJE6LTTACL1NY, 5651707]
[paragraph, [266.0, 543.0, 1022.0, 36.0], shoonya_0sJE6LTTACL1NY, 5651707]
[paragraph, [266.0, 579.0, 1022.0, 36.0], shoonya_0sJE6LTTACL1NY, 5651707]
[paragraph, [266.0, 615.0, 1022.0, 36.0], shoonya_0sJE6LTTACL1NY, 5651707]
[paragraph, [266.0, 651.0, 1022.0, 36.0], shoonya_0sJE6LTTACL1NY, 5651707]
[paragraph, [266.0, 687.0, 1022.0, 36.0], shoonya_0sJE6LTTACL1NY, 5651707]
[paragraph, [266.0, 723.0, 1022.0, 36.0], shoonya_0sJE6LTTACL1NY, 5651707]
[paragraph, [266.0, 759.0, 1022.0, 36.0], shoonya_0sJE6LTTACL1NY, 5651707]
[paragraph, [266.0, 795.0, 1022.0, 36.0], shoonya_0sJE6LTTACL1NY, 5651707]
[paragraph, [266.0, 831.0, 1022.0, 36.0], shoonya_0sJE6LTTACL1NY, 5651707]
[paragraph, [266.0, 867.0, 1022.0, 36.0], shoonya_0sJE6LTTACL1NY, 5651707]
[paragraph, [266.0, 903.0, 1022.0, 36.0], shoonya_0sJE6LTTACL1NY, 5651707]
[paragraph, [266.0, 939.0, 1022.0, 36.0], shoonya_0sJE6LTTACL1NY, 5651707]
[paragraph, [271.0, 968.0, 1010.0, 36.0], shoonya_1sH0ON5AJB0KH3, 5651707]
[paragraph, [271.0, 1004.0, 1010.0, 36.0], shoonya_1sH0ON5AJB0KH3, 5651707]
[paragraph, [271.0, 1040.0, 1010.0, 36.0], shoonya_1sH0ON5AJB0KH3, 5651707]
[paragraph, [271.0, 1076.0, 1010.0, 36.0], shoonya_1sH0ON5AJB0KH3, 5651707]
[paragraph, [271.0, 1112.0, 1010.0, 36.0], shoonya_1sH0ON5AJB0KH3, 5651707]
[paragraph, [271.0, 1148.0, 1010.0, 36.0], shoonya_1sH0ON5AJB0KH3, 5651707]
[paragraph, [271.0, 1184.0, 1010.0, 36.0], shoonya_1sH0ON5AJB0KH3, 5651707]
[paragraph, [271.0, 1220.0, 1010.0, 36.0], shoonya_1sH0ON5AJB0KH3, 5651707]
[paragraph, [271.0, 1256.0, 1010.0, 36.0], shoonya_1sH0ON5AJB0KH3, 5651707]
[paragraph, [271.0, 1292.0, 1010.0, 36.0], shoonya_1sH0ON5AJB0KH3, 5651707]
[paragraph, [271.0, 1328.0, 1010.0, 36.0], shoonya_1sH0ON5AJB0KH3, 5651707]
[paragraph, [271.0, 1364.0, 1010.0, 36.0], shoonya_1sH0ON5AJB0KH3, 5651707]
[paragraph, [271.0, 1400.0, 1010.0, 36.0], shoonya_1sH0ON5AJB0KH3, 5651707]
[paragraph, [271.0, 1436.0, 1010.0, 36.0], shoonya_1sH0ON5AJB0KH3, 5651707]
[paragraph, [271.0, 1472.0, 1010.0, 36.0], shoonya_1sH0ON5AJB0KH3, 5651707]
[paragraph, [271.0, 1508.0, 1010.0, 36.0], shoonya_1sH0ON5AJB0KH3, 5651707]
[paragraph, [271.0, 1544.0, 1010.0, 36.0], shoonya_1sH0ON5AJB0KH3, 5651707]
[paragraph, [271.0, 1580.0, 1010.0, 36.0], shoonya_1sH0ON5AJB0KH3, 5651707]
[paragraph, [271.0, 1616.0, 1010.0, 36.0], shoonya_1sH0ON5AJB0KH3, 5651707]
[paragraph, [271.0, 1652.0, 1010.0, 36.0], shoonya_1sH0ON5AJB0KH3, 5651707]
[paragraph, [271.0, 1688.0, 1010.0, 36.0], shoonya_1sH0ON5AJB0KH3, 5651707]
[paragraph, [271.0, 1724.0, 1010.0, 36.0], shoonya_1sH0ON5AJB0KH3, 5651707]
[paragraph, [271.0, 1760.0, 1010.0, 36.0], shoonya_1sH0ON5AJB0KH3, 5651707]
[paragraph, [271.0, 1796.0, 1010.0, 36.0], shoonya_1sH0ON5AJB0KH3, 5651707]
[folio, [359.0, 1885.0, 104.0, 36.0], PJc8Xqliz7, 5651707]
