[1241, 827]
[folio, [146.0, 52.0, 300.0, 18.0], BjJKepi0t4, 6478071]
[folio, [146.0, 70.0, 300.0, 18.0], BjJKepi0t4, 6478071]
[paragraph, [79.0, 141.0, 638.0, 18.0], shoonya_2sNKI30DCFX8IH, 6478071]
[paragraph, [79.0, 159.0, 638.0, 18.0], shoonya_2sNKI30DCFX8IH, 6478071]
[paragraph, [79.0, 177.0, 638.0, 18.0], shoonya_2sNKI30DCFX8IH, 6478071]
[paragraph, [79.0, 195.0, 638.0, 18.0], shoonya_2sNKI30DCFX8IH, 6478071]
[paragraph, [79.0, 213.0, 638.0, 18.0], shoonya_2sNKI30DCFX8IH, 6478071]
[paragraph, [79.0, 231.0, 638.0, 18.0], shoonya_2sNKI30DCFX8IH, 6478071]
[paragraph, [79.0, 249.0, 638.0, 18.0], shoonya_2sNKI30DCFX8IH, 6478071]
[paragraph, [79.0, 267.0, 638.0, 18.0], shoonya_2sNKI30DCFX8IH, 6478071]
[paragraph, [79.0, 285.0, 638.0, 18.0], shoonya_2sNKI30DCFX8IH, 6478071]
[paragraph, [79.0, 303.0, 638.0, 18.0], shoonya_2sNKI30DCFX8IH, 6478071]
[section-title, [81.0, 350.0, 439.0, 30.0], shoonya_1s9YLQMSNG2AWQ, 6478071]
[paragraph, [80.0, 388.0, 640.0, 18.0], 6lkA7C-R7Z, 6478071]
[paragraph, [80.0, 406.0, 640.0, 18.0], 6lkA7C-R7Z, 6478071]
[paragraph, [80.0, 424.0, 640.0, 18.0], 6lkA7C-R7Z, 6478071]
[paragraph, [80.0, 442.0, 640.0, 18.0], 6lkA7C-R7Z, 6478071]
[paragraph, [80.0, 460.0, 640.0, 18.0], 6lkA7C-R7Z, 6478071]
[paragraph, [80.0, 478.0, 640.0, 18.0], 6lkA7C-R7Z, 6478071]
[paragraph, [80.0, 496.0, 640.0, 18.0], 6lkA7C-R7Z, 6478071]
[paragraph, [80.0, 514.0, 640.0, 18.0], 6lkA7C-R7Z, 6478071]
[paragraph, [80.0, 532.0, 640.0, 18.0], 6lkA7C-R7Z, 6478071]
[paragraph, [80.0, 550.0, 640.0, 18.0], 6lkA7C-R7Z, 6478071]
[paragraph, [80.0, 568.0, 640.0, 18.0], 6lkA7C-R7Z, 6478071]
[paragraph, [80.0, 586.0, 640.0, 18.0], 6lkA7C-R7Z, 6478071]
[paragraph, [80.0, 604.0, 640.0, 18.0], 6lkA7C-R7Z, 6478071]
[paragraph, [80.0, 622.0, 640.0, 18.0], 6lkA7C-R7Z, 6478071]
[paragraph, [80.0, 640.0, 640.0, 18.0], 6lkA7C-R7Z, 6478071]
[paragraph, [80.0, 658.0, 640.0, 18.0], 6lkA7C-R7Z, 6478071]
[paragraph, [80.0, 676.0, 640.0, 18.0], 6lkA7C-R7Z, 6478071]
[paragraph, [80.0, 694.0, 640.0, 18.0], 6lkA7C-R7Z, 6478071]
[paragraph, [80.0, 712.0, 640.0, 18.0], 6lkA7C-R7Z, 6478071]
[paragraph, [80.0, 730.0, 640.0, 18.0], 6lkA7C-R7Z, 6478071]
[paragraph, [80.0, 748.0, 640.0, 18.0], 6lkA7C-R7Z, 6478071]
[paragraph, [73.0, 780.0, 643.0, 18.0], shoonya_0sWWK0Y6G8JJJM, 6478071]
[paragraph, [73.0, 798.0, 643.0, 18.0], shoonya_0sWWK0Y6G8JJJM, 6478071]
[paragraph, [73.0, 816.0, 643.0, 18.0], shoonya_0sWWK0Y6G8JJJM, 6478071]
[paragraph, [73.0, 834.0, 643.0, 18.0], shoonya_0sWWK0Y6G8JJJM, 6478071]
[paragraph, [73.0, 852.0, 643.0, 18.0], shoonya_0sWWK0Y6G8JJJM, 6478071]
[paragraph, [73.0, 870.0, 643.0, 18.0], shoonya_0sWWK0Y6G8JJJM, 6478071]
[paragraph, [73.0, 888.0, 643.0, 18.0], shoonya_0sWWK0Y6G8JJJM, 6478071]
[paragraph, [73.0, 906.0, 643.0, 18.0], shoonya_0sWWK0Y6G8JJJM, 6478071]
[paragraph, [73.0, 924.0, 643.0, 18.0], shoonya_0sWWK0Y6G8JJJM, 6478071]
[paragraph, [73.0, 942.0, 643.0, 18.0], shoonya_0sWWK0Y6G8JJJM, 6478071]
[paragraph, [73.0, 960.0, 643.0, 18.0], shoonya_0sWWK0Y6G8JJJM, 6478071]
[paragraph, [73.0, 978.0, 643.0, 18.0], shoonya_0sWWK0Y6G8JJJM, 6478071]
[paragraph, [73.0, 996.0, 643.0, 18.0], shoonya_0sWWK0Y6G8JJJM, 6478071]
[paragraph, [73.0, 1014.0, 643.0, 18.0], shoonya_0sWWK0Y6G8JJJM, 6478071]
[paragraph, [73.0, 1032.0, 643.0, 18.0], shoonya_0sWWK0Y6G8JJJM, 6478071]
[paragraph, [73.0, 1050.0, 643.0, 18.0], shoonya_0sWWK0Y6G8JJJM, 6478071]
[paragraph, [73.0, 1068.0, 643.0, 18.0], shoonya_0sWWK0Y6G8JJJM, 6478071]
[paragraph, [73.0, 1086.0, 643.0, 18.0], shoonya_0sWWK0Y6G8JJJM, 6478071]
[paragraph, [73.0, 1104.0, 643.0, 18.0], shoonya_0sWWK0Y6G8JJJM, 6478071]
[paragraph, [73.0, 1122.0, 643.0, 18.0], shoonya_0sWWK0Y6G8JJJM, 6478071]
[paragraph, [73.0, 1140.0, 643.0, 18.0], shoonya_0sWWK0Y6G8JJJM, 6478071]
