[1388, 886]
[folio, [372.0, 64.0, 229.0, 18.0], K5uyY3v0Z8, 5742143]
[folio, [372.0, 82.0, 229.0, 18.0], K5uyY3v0Z8, 5742143]
[folio, [31.0, 67.0, 179.0, 18.0], shoonya_1sFOWTJ4R5XOWC, 5742143]
[folio, [31.0, 85.0, 179.0, 18.0], shoonya_1sFOWTJ4R5XOWC, 5742143]
[paragraph, [443.0, 130.0, 411.0, 18.0], TyYr_eAsgk, 5742143]
[paragraph, [443.0, 148.0, 411.0, 18.0], TyYr_eAsgk, 5742143]
[paragraph, [443.0, 166.0, 411.0, 18.0], TyYr_eAsgk, 5742143]
[paragraph, [443.0, 184.0, 411.0, 18.0], TyYr_eAsgk, 5742143]
[paragraph, [443.0, 202.0, 411.0, 18.0], TyYr_eAsgk, 5742143]
[paragraph, [443.0, 220.0, 411.0, 18.0], TyYr_eAsgk, 5742143]
[paragraph, [443.0, 238.0, 411.0, 18.0], TyYr_eAsgk, 5742143]
[paragraph, [443.0, 256.0, 411.0, 18.0], TyYr_eAsgk, 5742143]
[paragraph, [443.0, 274.0, 411.0, 18.0], TyYr_eAsgk, 5742143]
[paragraph, [443.0, 292.0, 411.0, 18.0], TyYr_eAsgk, 5742143]
[paragraph, [443.0, 310.0, 411.0, 18.0], TyYr_eAsgk, 5742143]
[paragraph, [443.0, 328.0, 411.0, 18.0], TyYr_eAsgk, 5742143]
[paragraph, [443.0, 346.0, 411.0, 18.0], TyYr_eAsgk, 5742143]
[paragraph, [443.0, 364.0, 411.0, 18.0], TyYr_eAsgk, 5742143]
[paragraph, [443.0, 382.0, 411.0, 18.0], TyYr_eAsgk, 5742143]
[paragraph, [443.0, 400.0, 411.0, 18.0], TyYr_eAsgk, 5742143]
[paragraph, [443.0, 418.0, 411.0, 18.0], TyYr_eAsgk, 5742143]
[paragraph, [443.0, 436.0, 411.0, 18.0], TyYr_eAsgk, 5742143]
[paragraph, [443.0, 454.0, 411.0, 18.0], TyYr_eAsgk, 5742143]
[paragraph, [443.0, 472.0, 411.0, 18.0], TyYr_eAsgk, 5742143]
[paragraph, [14.0, 131.0, 413.0, 18.0], shoonya_2sYEWVBBG5A9XU, 5742143]
[paragraph, [14.0, 149.0, 413.0, 18.0], shoonya_2sYEWVBBG5A9XU, 5742143]
[paragraph, [14.0, 167.0, 413.0, 18.0], shoonya_2sYEWVBBG5A9XU, 5742143]
[paragraph, [14.0, 185.0, 413.0, 18.0], shoonya_2sYEWVBBG5A9XU, 5742143]
[paragraph, [14.0, 203.0, 413.0, 18.0], shoonya_2sYEWVBBG5A9XU, 5742143]
[paragraph, [14.0, 221.0, 413.0, 18.0], shoonya_2sYEWVBBG5A9XU, 5742143]
[paragraph, [14.0, 239.0, 413.0, 18.0], shoonya_2sYEWVBBG5A9XU, 5742143]
[paragraph, [14.0, 257.0, 413.0, 18.0], shoonya_2sYEWVBBG5A9XU, 5742143]
[paragraph, [14.0, 275.0, 413.0, 18.0], shoonya_2sYEWVBBG5A9XU, 5742143]
[paragraph, [14.0, 293.0, 413.0, 18.0], shoonya_2sYEWVBBG5A9XU, 5742143]
[paragraph, [14.0, 311.0, 413.0, 18.0], shoonya_2sYEWVBBG5A9XU, 5742143]
[paragraph, [14.0, 329.0, 413.0, 18.0], shoonya_2sYEWVBBG5A9XU, 5742143]
[paragraph, [14.0, 347.0, 413.0, 18.0], shoonya_2sYEWVBBG5A9XU, 5742143]
[paragraph, [14.0, 365.0, 413.0, 18.0], shoonya_2sYEWVBBG5A9XU, 5742143]
[paragraph, [14.0, 383.0, 413.0, 18.0], shoonya_2sYEWVBBG5A9XU, 5742143]
[paragraph, [14.0, 401.0, 413.0, 18.0], shoonya_2sYEWVBBG5A9XU, 5742143]
[paragraph, [14.0, 419.0, 413.0, 18.0], shoonya_2sYEWVBBG5A9XU, 5742143]
[paragraph, [14.0, 437.0, 413.0, 18.0], shoonya_2sYEWVBBG5A9XU, 5742143]
