[1363, 853]
[folio, [620.0, 79.0, 122.0, 18.0], 7Gne5VQvyK, 5781688]
[folio, [620.0, 97.0, 122.0, 18.0], 7Gne5VQvyK, 5781688]
[folio, [620.0, 115.0, 122.0, 18.0], 7Gne5VQvyK, 5781688]
[folio, [280.0, 151.0, 237.0, 18.0], shoonya_6sLALPM1XMT3MU, 5781688]
[section-title, [93.0, 187.0, 609.0, 30.0], rh5MPwdbaY, 5781688]
[sidebar, [43.0, 255.0, 127.0, 18.0], 8Lzq7OLIXn, 5781688]
[sidebar, [43.0, 273.0, 127.0, 18.0], 8Lzq7OLIXn, 5781688]
[sidebar, [43.0, 291.0, 127.0, 18.0], 8Lzq7OLIXn, 5781688]
[contact-info, [282.0, 258.0, 447.0, 18.0], shoonya_3sOBZBFKPAZDOJ, 5781688]
[paragraph, [74.0, 333.0, 464.0, 18.0], shoonya_2sEPQ6VFGRWJWF, 5781688]
[paragraph, [57.0, 360.0, 685.0, 18.0], NzqEcW_o1K, 5781688]
[paragraph, [57.0, 378.0, 685.0, 18.0], NzqEcW_o1K, 5781688]
[paragraph, [57.0, 396.0, 685.0, 18.0], NzqEcW_o1K, 5781688]
[paragraph, [57.0, 414.0, 685.0, 18.0], NzqEcW_o1K, 5781688]
[ordered-list, [47.0, 454.0, 697.0, 18.0], shoonya_7s6BVQBXWCV6VT, 5781688]
[ordered-list, [47.0, 472.0, 697.0, 18.0], shoonya_7s6BVQBXWCV6VT, 5781688]
[ordered-list, [47.0, 490.0, 697.0, 18.0], shoonya_7s6BVQBXWCV6VT, 5781688]
[ordered-list, [47.0, 508.0, 697.0, 18.0], shoonya_7s6BVQBXWCV6VT, 5781688]
[ordered-list, [47.0, 526.0, 697.0, 18.0], shoonya_7s6BVQBXWCV6VT, 5781688]
[ordered-list, [47.0, 544.0, 697.0, 18.0], shoonya_7s6BVQBXWCV6VT, 5781688]
[ordered-list, [47.0, 562.0, 697.0, 18.0], shoonya_7s6BVQBXWCV6VT, 5781688]
[ordered-list, [47.0, 580.0, 697.0, 18.0], shoonya_7s6BVQBXWCV6VT, 5781688]
[ordered-list, [47.0, 598.0, 697.0, 18.0], shoonya_7s6BVQBXWCV6VT, 5781688]
[ordered-list, [47.0, 616.0, 697.0, 18.0], shoonya_7s6BVQBXWCV6VT, 5781688]
[ordered-list, [47.0, 634.0, 697.0, 18.0], shoonya_7s6BVQBXWCV6VT, 5781688]
[ordered-list, [47.0, 652.0, 697.0, 18.0], shoonya_7s6BVQBXWCV6VT, 5781688]
[ordered-list, [47.0, 670.0, 697.0, 18.0], shoonya_7s6BVQBXWCV6VT, 5781688]
[ordered-list, [47.0, 688.0, 697.0, 18.0], shoonya_7s6BVQBXWCV6VT, 5781688]
[ordered-list, [47.0, 706.0, 697.0, 18.0], shoonya_7s6BVQBXWCV6VT, 5781688]
[ordered-list, [47.0, 724.0, 697.0, 18.0], shoonya_7s6BVQBXWCV6VT, 5781688]
[ordered-list, [47.0, 742.0, 697.0, 18.0], shoonya_7s6BVQBXWCV6VT, 5781688]
[ordered-list, [47.0, 760.0, 697.0, 18.0], shoonya_7s6BVQBXWCV6VT, 5781688]
[ordered-list, [47.0, 778.0, 697.0, 18.0], shoonya_7s6BVQBXWCV6VT, 5781688]
[ordered-list, [47.0, 796.0, 697.0, 18.0], shoonya_7s6BVQBXWCV6VT, 5781688]
[ordered-list, [47.0, 814.0, 697.0, 18.0], shoonya_7s6BVQBXWCV6VT, 5781688]
[ordered-list, [47.0, 832.0, 697.0, 18.0], shoonya_7s6BVQBXWCV6VT, 5781688]
[ordered-list, [47.0, 850.0, 697.0, 18.0], shoonya_7s6BVQBXWCV6VT, 5781688]
[ordered-list, [47.0, 868.0, 697.0, 18.0], shoonya_7s6BVQBXWCV6VT, 5781688]
[ordered-list, [47.0, 886.0, 697.0, 18.0], shoonya_7s6BVQBXWCV6VT, 5781688]
[ordered-list, [47.0, 904.0, 697.0, 18.0], shoonya_7s6BVQBXWCV6VT, 5781688]
[ordered-list, [47.0, 922.0, 697.0, 18.0], shoonya_7s6BVQBXWCV6VT, 5781688]
[ordered-list, [47.0, 940.0, 697.0, 18.0], shoonya_7s6BVQBXWCV6VT, 5781688]
