[1241, 798]
[section-title, [243.0, 89.0, 307.0, 30.0], shoonya_2sSJUDDMHDVVQW, 5702450]
[sub-section-title, [229.0, 149.0, 337.0, 25.5], shoonya_7sPAHM2YRQGQ8V, 5702450]
[paragraph, [88.0, 189.0, 616.0, 18.0], shoonya_0sQVRV9J1F6SRD, 5702450]
[paragraph, [88.0, 207.0, 616.0, 18.0], shoonya_0sQVRV9J1F6SRD, 5702450]
[paragraph, [88.0, 225.0, 616.0, 18.0], shoonya_0sQVRV9J1F6SRD, 5702450]
[paragraph, [88.0, 243.0, 616.0, 18.0], shoonya_0sQVRV9J1F6SRD, 5702450]
[paragraph, [88.0, 261.0, 616.0, 18.0], shoonya_0sQVRV9J1F6SRD, 5702450]
[paragraph, [88.0, 279.0, 616.0, 18.0], shoonya_0sQVRV9J1F6SRD, 5702450]
[paragraph, [88.0, 297.0, 616.0, 18.0], shoonya_0sQVRV9J1F6SRD, 5702450]
[paragraph, [88.0, 315.0, 616.0, 18.0], shoonya_0sQVRV9J1F6SRD, 5702450]
[paragraph, [88.0, 333.0, 616.0, 18.0], shoonya_0sQVRV9J1F6SRD, 5702450]
[paragraph, [88.0, 351.0, 616.0, 18.0], shoonya_0sQVRV9J1F6SRD, 5702450]
[paragraph, [88.0, 369.0, 616.0, 18.0], shoonya_0sQVRV9J1F6SRD, 5702450]
[paragraph, [88.0, 387.0, 616.0, 18.0], shoonya_0sQVRV9J1F6SRD, 5702450]
[paragraph, [88.0, 405.0, 616.0, 18.0], shoonya_0sQVRV9J1F6SRD, 5702450]
[paragraph, [88.0, 423.0, 616.0, 18.0], shoonya_0sQVRV9J1F6SRD, 5702450]
[paragraph, [88.0, 441.0, 616.0, 18.0], shoonya_0sQVRV9J1F6SRD, 5702450]
[paragraph, [88.0, 459.0, 616.0, 18.0], shoonya_0sQVRV9J1F6SRD, 5702450]
[paragraph, [88.0, 477.0, 616.0, 18.0], shoonya_0sQVRV9J1F6SRD, 5702450]
[paragraph, [88.0, 495.0, 616.0, 18.0], shoonya_0sQVRV9J1F6SRD, 5702450]
[paragraph, [88.0, 513.0, 616.0, 18.0], shoonya_0sQVRV9J1F6SRD, 5702450]
[sub-section-title, [203.0, 538.0, 390.0, 25.5], nNhlJeqKN8, 5702450]
[paragraph, [90.0, 572.0, 616.0, 18.0], shoonya_3s4JKMGJT1SWE8, 5702450]
[paragraph, [90.0, 590.0, 616.0, 18.0], shoonya_3s4JKMGJT1SWE8, 5702450]
[paragraph, [90.0, 608.0, 616.0, 18.0], shoonya_3s4JKMGJT1SWE8, 5702450]
[paragraph, [90.0, 626.0, 616.0, 18.0], shoonya_3s4JKMGJT1SWE8, 5702450]
[paragraph, [90.0, 644.0, 616.0, 18.0], shoonya_3s4JKMGJT1SWE8, 5702450]
[paragraph, [90.0, 662.0, 616.0, 18.0], shoonya_3s4JKMGJT1SWE8, 5702450]
[paragraph, [90.0, 680.0, 616.0, 18.0], shoonya_3s4JKMGJT1SWE8, 5702450]
[sub-section-title, [287.0, 720.0, 221.0, 25.5], shoonya_5sIUF4TOOUQS09, 5702450]
[paragraph, [88.0, 760.0, 619.0, 18.0], shoonya_1sTTD7PJGHHOSM, 5702450]
[paragraph, [88.0, 778.0, 619.0, 18.0], shoonya_1sTTD7PJGHHOSM, 5702450]
[paragraph, [88.0, 796.0, 619.0, 18.0], shoonya_1sTTD7PJGHHOSM, 5702450]
[paragraph, [88.0, 814.0, 619.0, 18.0], shoonya_1sTTD7PJGHHOSM, 5702450]
[paragraph, [88.0, 832.0, 619.0, 18.0], shoonya_1sTTD7PJGHHOSM, 5702450]
[paragraph, [88.0, 850.0, 619.0, 18.0], shoonya_1sTTD7PJGHHOSM, 5702450]
[paragraph, [88.0, 868.0, 619.0, 18.0], shoonya_1sTTD7PJGHHOSM, 5702450]
[paragraph, [88.0, 886.0, 619.0, 18.0], shoonya_1sTTD7PJGHHOSM, 5702450]
[paragraph, [88.0, 904.0, 619.0, 18.0], shoonya_1sTTD7PJGHHOSM, 5702450]
[paragraph, [88.0, 922.0, 619.0, 18.0], shoonya_1sTTD7PJGHHOSM, 5702450]
[sub-section-title, [267.0, 935.0, 256.0, 25.5], -82_wVH4ne, 5702450]
[paragraph, [88.0, 975.0, 618.0, 18.0], shoonya_4s6LGDUUU12F73, 5702450]
[paragraph, [88.0, 993.0, 618.0, 18.0], shoonya_4s6LGDUUU12F73, 5702450]
[paragraph, [88.0, 1011.0, 618.0, 18.0], shoonya_4s6LGDUUU12F73, 5702450]
[paragraph, [88.0, 1029.0, 618.0, 18.0], shoonya_4s6LGDUUU12F73, 5702450]
[paragraph, [88.0, 1047.0, 618.0, 18.0], shoonya_4s6LGDUUU12F73, 5702450]
[paragraph, [88.0, 1065.0, 618.0, 18.0], shoonya_4s6LGDUUU12F73, 5702450]
[paragraph, [88.0, 1083.0, 618.0, 18.0], shoonya_4s6LGDUUU12F73, 5702450]
[paragraph, [88.0, 1101.0, 618.0, 18.0], shoonya_4s6LGDUUU12F73, 5702450]
[paragraph, [88.0, 1119.0, 618.0, 18.0], shoonya_4s6LGDUUU12F73, 5702450]
