[792, 612]
[unordered-list, [84.0, 29.0, 275.0, 18.0], LI35orA5XK, 5746094]
[unordered-list, [84.0, 47.0, 275.0, 18.0], LI35orA5XK, 5746094]
[unordered-list, [84.0, 65.0, 275.0, 18.0], LI35orA5XK, 5746094]
[paragraph, [61.0, 98.0, 490.0, 18.0], 0dSm7RP591, 5746094]
[paragraph, [61.0, 116.0, 490.0, 18.0], 0dSm7RP591, 5746094]
[ordered-list, [59.0, 156.0, 439.0, 18.0], Aefq88s9_k, 5746094]
[ordered-list, [59.0, 174.0, 439.0, 18.0], Aefq88s9_k, 5746094]
[ordered-list, [59.0, 192.0, 439.0, 18.0], Aefq88s9_k, 5746094]
[ordered-list, [59.0, 210.0, 439.0, 18.0], Aefq88s9_k, 5746094]
[ordered-list, [59.0, 228.0, 439.0, 18.0], Aefq88s9_k, 5746094]
[ordered-list, [59.0, 246.0, 439.0, 18.0], Aefq88s9_k, 5746094]
[sub-unordered-list, [86.0, 193.0, 276.0, 18.0], 2mghw2bsnq, 5746094]
[sub-unordered-list, [86.0, 211.0, 276.0, 18.0], 2mghw2bsnq, 5746094]
[sub-unordered-list, [86.0, 229.0, 276.0, 18.0], 2mghw2bsnq, 5746094]
[sub-unordered-list, [86.0, 247.0, 276.0, 18.0], 2mghw2bsnq, 5746094]
[paragraph, [63.0, 394.0, 490.0, 18.0], yeGfwatjZw, 5746094]
[paragraph, [63.0, 412.0, 490.0, 18.0], yeGfwatjZw, 5746094]
[ordered-list, [62.0, 481.0, 500.0, 18.0], Y0Bt9ctCxI, 5746094]
[ordered-list, [62.0, 499.0, 500.0, 18.0], Y0Bt9ctCxI, 5746094]
[ordered-list, [62.0, 517.0, 500.0, 18.0], Y0Bt9ctCxI, 5746094]
[ordered-list, [62.0, 535.0, 500.0, 18.0], Y0Bt9ctCxI, 5746094]
[ordered-list, [62.0, 553.0, 500.0, 18.0], Y0Bt9ctCxI, 5746094]
[ordered-list, [62.0, 571.0, 500.0, 18.0], Y0Bt9ctCxI, 5746094]
[ordered-list, [62.0, 589.0, 500.0, 18.0], Y0Bt9ctCxI, 5746094]
[ordered-list, [62.0, 607.0, 500.0, 18.0], Y0Bt9ctCxI, 5746094]
[ordered-list, [62.0, 625.0, 500.0, 18.0], Y0Bt9ctCxI, 5746094]
[ordered-list, [62.0, 643.0, 500.0, 18.0], Y0Bt9ctCxI, 5746094]
[ordered-list, [62.0, 661.0, 500.0, 18.0], Y0Bt9ctCxI, 5746094]
[ordered-list, [62.0, 679.0, 500.0, 18.0], Y0Bt9ctCxI, 5746094]
[ordered-list, [62.0, 697.0, 500.0, 18.0], Y0Bt9ctCxI, 5746094]
[sub-ordered-list, [101.0, 496.0, 444.0, 18.0], wuazji8NfM, 5746094]
[sub-ordered-list, [101.0, 514.0, 444.0, 18.0], wuazji8NfM, 5746094]
[sub-ordered-list, [101.0, 532.0, 444.0, 18.0], wuazji8NfM, 5746094]
[sub-ordered-list, [101.0, 550.0, 444.0, 18.0], wuazji8NfM, 5746094]
[sub-ordered-list, [101.0, 568.0, 444.0, 18.0], wuazji8NfM, 5746094]
[sub-ordered-list, [101.0, 586.0, 444.0, 18.0], wuazji8NfM, 5746094]
[subsub-ordered-list, [134.0, 534.0, 161.0, 18.0], HjNC1z2Byq, 5746094]
[subsub-ordered-list, [134.0, 552.0, 161.0, 18.0], HjNC1z2Byq, 5746094]
[subsub-ordered-list, [134.0, 570.0, 161.0, 18.0], HjNC1z2Byq, 5746094]
[sub-ordered-list, [102.0, 628.0, 442.0, 18.0], UDNbGPs_vP, 5746094]
[sub-ordered-list, [102.0, 646.0, 442.0, 18.0], UDNbGPs_vP, 5746094]
[sub-ordered-list, [102.0, 664.0, 442.0, 18.0], UDNbGPs_vP, 5746094]
[sub-ordered-list, [102.0, 682.0, 442.0, 18.0], UDNbGPs_vP, 5746094]
[sub-ordered-list, [102.0, 700.0, 442.0, 18.0], UDNbGPs_vP, 5746094]
[subsub-ordered-list, [142.0, 669.0, 62.0, 18.0], LU5ij6ywUq, 5746094]
[subsub-ordered-list, [142.0, 687.0, 62.0, 18.0], LU5ij6ywUq, 5746094]
[subsub-ordered-list, [142.0, 705.0, 62.0, 18.0], LU5ij6ywUq, 5746094]
