[1518, 1075]
[paragraph, [115.0, 167.0, 425.0, 36.0], shoonya_4sZ3VN96CCRDDD, 5721990]
[paragraph, [115.0, 203.0, 425.0, 36.0], shoonya_4sZ3VN96CCRDDD, 5721990]
[paragraph, [115.0, 239.0, 425.0, 36.0], shoonya_4sZ3VN96CCRDDD, 5721990]
[paragraph, [115.0, 275.0, 425.0, 36.0], shoonya_4sZ3VN96CCRDDD, 5721990]
[paragraph, [115.0, 311.0, 425.0, 36.0], shoonya_4sZ3VN96CCRDDD, 5721990]
[paragraph, [115.0, 347.0, 425.0, 36.0], shoonya_4sZ3VN96CCRDDD, 5721990]
[paragraph, [115.0, 383.0, 425.0, 36.0], shoonya_4sZ3VN96CCRDDD, 5721990]
[paragraph, [115.0, 419.0, 425.0, 36.0], shoonya_4sZ3VN96CCRDDD, 5721990]
[paragraph, [115.0, 455.0, 425.0, 36.0], shoonya_4sZ3VN96CCRDDD, 5721990]
[paragraph, [115.0, 491.0, 425.0, 36.0], shoonya_4sZ3VN96CCRDDD, 5721990]
[paragraph, [115.0, 527.0, 425.0, 36.0], shoonya_4sZ3VN96CCRDDD, 5721990]
[paragraph, [115.0, 563.0, 425.0, 36.0], shoonya_4sZ3VN96CCRDDD, 5721990]
[paragraph, [115.0, 599.0, 425.0, 36.0], shoonya_4sZ3VN96CCRDDD, 5721990]
[paragraph, [115.0, 635.0, 425.0, 36.0], shoonya_4sZ3VN96CCRDDD, 5721990]
[paragraph, [115.0, 671.0, 425.0, 36.0], shoonya_4sZ3VN96CCRDDD, 5721990]
[paragraph, [115.0, 707.0, 425.0, 36.0], shoonya_4sZ3VN96CCRDDD, 5721990]
[paragraph, [115.0, 743.0, 425.0, 36.0], shoonya_4sZ3VN96CCRDDD, 5721990]
[paragraph, [115.0, 779.0, 425.0, 36.0], shoonya_4sZ3VN96CCRDDD, 5721990]
[paragraph, [115.0, 815.0, 425.0, 36.0], shoonya_4sZ3VN96CCRDDD, 5721990]
[paragraph, [115.0, 851.0, 425.0, 36.0], shoonya_4sZ3VN96CCRDDD, 5721990]
[paragraph, [115.0, 887.0, 425.0, 36.0], shoonya_4sZ3VN96CCRDDD, 5721990]
[paragraph, [115.0, 923.0, 425.0, 36.0], shoonya_4sZ3VN96CCRDDD, 5721990]
[paragraph, [115.0, 959.0, 425.0, 36.0], shoonya_4sZ3VN96CCRDDD, 5721990]
[paragraph, [115.0, 995.0, 425.0, 36.0], shoonya_4sZ3VN96CCRDDD, 5721990]
[paragraph, [115.0, 1031.0, 425.0, 36.0], shoonya_4sZ3VN96CCRDDD, 5721990]
[paragraph, [115.0, 1067.0, 425.0, 36.0], shoonya_4sZ3VN96CCRDDD, 5721990]
[paragraph, [115.0, 1103.0, 425.0, 36.0], shoonya_4sZ3VN96CCRDDD, 5721990]
[paragraph, [115.0, 1139.0, 425.0, 36.0], shoonya_4sZ3VN96CCRDDD, 5721990]
[paragraph, [115.0, 1175.0, 425.0, 36.0], shoonya_4sZ3VN96CCRDDD, 5721990]
[paragraph, [115.0, 1211.0, 425.0, 36.0], shoonya_4sZ3VN96CCRDDD, 5721990]
[paragraph, [115.0, 1247.0, 425.0, 36.0], shoonya_4sZ3VN96CCRDDD, 5721990]
[paragraph, [115.0, 1283.0, 425.0, 36.0], shoonya_4sZ3VN96CCRDDD, 5721990]
[paragraph, [558.0, 175.0, 428.0, 36.0], shoonya_2s7THIK2ZBZWSY, 5721990]
[paragraph, [558.0, 211.0, 428.0, 36.0], shoonya_2s7THIK2ZBZWSY, 5721990]
[paragraph, [558.0, 247.0, 428.0, 36.0], shoonya_2s7THIK2ZBZWSY, 5721990]
[paragraph, [558.0, 283.0, 428.0, 36.0], shoonya_2s7THIK2ZBZWSY, 5721990]
[paragraph, [557.0, 344.0, 429.0, 36.0], shoonya_0sGO84FOBC0OCB, 5721990]
[paragraph, [557.0, 380.0, 429.0, 36.0], shoonya_0sGO84FOBC0OCB, 5721990]
[paragraph, [557.0, 416.0, 429.0, 36.0], shoonya_0sGO84FOBC0OCB, 5721990]
[paragraph, [557.0, 452.0, 429.0, 36.0], shoonya_0sGO84FOBC0OCB, 5721990]
[paragraph, [557.0, 488.0, 429.0, 36.0], shoonya_0sGO84FOBC0OCB, 5721990]
[paragraph, [557.0, 524.0, 429.0, 36.0], shoonya_0sGO84FOBC0OCB, 5721990]
[paragraph, [557.0, 560.0, 429.0, 36.0], shoonya_0sGO84FOBC0OCB, 5721990]
[paragraph, [557.0, 596.0, 429.0, 36.0], shoonya_0sGO84FOBC0OCB, 5721990]
[paragraph, [557.0, 632.0, 429.0, 36.0], shoonya_0sGO84FOBC0OCB, 5721990]
[paragraph, [557.0, 668.0, 429.0, 36.0], shoonya_0sGO84FOBC0OCB, 5721990]
[paragraph, [557.0, 704.0, 429.0, 36.0], shoonya_0sGO84FOBC0OCB, 5721990]
[paragraph, [557.0, 740.0, 429.0, 36.0], shoonya_0sGO84FOBC0OCB, 5721990]
[paragraph, [557.0, 776.0, 429.0, 36.0], shoonya_0sGO84FOBC0OCB, 5721990]
[paragraph, [557.0, 812.0, 429.0, 36.0], shoonya_0sGO84FOBC0OCB, 5721990]
[paragraph, [557.0, 848.0, 429.0, 36.0], shoonya_0sGO84FOBC0OCB, 5721990]
[paragraph, [557.0, 884.0, 429.0, 36.0], shoonya_0sGO84FOBC0OCB, 5721990]
[paragraph, [556.0, 959.0, 428.0, 36.0], shoonya_1sUOQ0UZ59HZ41, 5721990]
[paragraph, [556.0, 995.0, 428.0, 36.0], shoonya_1sUOQ0UZ59HZ41, 5721990]
[paragraph, [556.0, 1031.0, 428.0, 36.0], shoonya_1sUOQ0UZ59HZ41, 5721990]
[paragraph, [556.0, 1067.0, 428.0, 36.0], shoonya_1sUOQ0UZ59HZ41, 5721990]
[paragraph, [556.0, 1103.0, 428.0, 36.0], shoonya_1sUOQ0UZ59HZ41, 5721990]
[paragraph, [556.0, 1139.0, 428.0, 36.0], shoonya_1sUOQ0UZ59HZ41, 5721990]
[paragraph, [556.0, 1175.0, 428.0, 36.0], shoonya_1sUOQ0UZ59HZ41, 5721990]
[paragraph, [556.0, 1211.0, 428.0, 36.0], shoonya_1sUOQ0UZ59HZ41, 5721990]
[paragraph, [556.0, 1247.0, 428.0, 36.0], shoonya_1sUOQ0UZ59HZ41, 5721990]
[paragraph, [556.0, 1283.0, 428.0, 36.0], shoonya_1sUOQ0UZ59HZ41, 5721990]
[folio, [201.0, 1382.0, 411.0, 36.0], shoonya_5sIA541PSOILJZ, 5721990]
