[1267, 753]
[folio, [331.0, 77.0, 105.0, 18.0], shoonya_3sZNA3CXXUOAW6, 5699747]
[paragraph, [91.0, 126.0, 587.0, 18.0], shoonya_2sFA5C10IORAKQ, 5699747]
[paragraph, [91.0, 144.0, 587.0, 18.0], shoonya_2sFA5C10IORAKQ, 5699747]
[paragraph, [91.0, 162.0, 587.0, 18.0], shoonya_2sFA5C10IORAKQ, 5699747]
[paragraph, [91.0, 180.0, 587.0, 18.0], shoonya_2sFA5C10IORAKQ, 5699747]
[paragraph, [91.0, 198.0, 587.0, 18.0], shoonya_2sFA5C10IORAKQ, 5699747]
[paragraph, [91.0, 216.0, 587.0, 18.0], shoonya_2sFA5C10IORAKQ, 5699747]
[paragraph, [91.0, 234.0, 587.0, 18.0], shoonya_2sFA5C10IORAKQ, 5699747]
[paragraph, [91.0, 252.0, 587.0, 18.0], shoonya_2sFA5C10IORAKQ, 5699747]
[paragraph, [91.0, 270.0, 587.0, 18.0], shoonya_2sFA5C10IORAKQ, 5699747]
[paragraph, [88.0, 298.0, 585.0, 18.0], shoonya_0s5S1YY9AXSPKH, 5699747]
[paragraph, [88.0, 316.0, 585.0, 18.0], shoonya_0s5S1YY9AXSPKH, 5699747]
[paragraph, [88.0, 334.0, 585.0, 18.0], shoonya_0s5S1YY9AXSPKH, 5699747]
[paragraph, [88.0, 352.0, 585.0, 18.0], shoonya_0s5S1YY9AXSPKH, 5699747]
[paragraph, [88.0, 370.0, 585.0, 18.0], shoonya_0s5S1YY9AXSPKH, 5699747]
[paragraph, [88.0, 388.0, 585.0, 18.0], shoonya_0s5S1YY9AXSPKH, 5699747]
[paragraph, [88.0, 406.0, 585.0, 18.0], shoonya_0s5S1YY9AXSPKH, 5699747]
[paragraph, [88.0, 424.0, 585.0, 18.0], shoonya_0s5S1YY9AXSPKH, 5699747]
[paragraph, [88.0, 442.0, 585.0, 18.0], shoonya_0s5S1YY9AXSPKH, 5699747]
[paragraph, [88.0, 460.0, 585.0, 18.0], shoonya_0s5S1YY9AXSPKH, 5699747]
[paragraph, [88.0, 478.0, 585.0, 18.0], shoonya_0s5S1YY9AXSPKH, 5699747]
[paragraph, [88.0, 496.0, 585.0, 18.0], shoonya_0s5S1YY9AXSPKH, 5699747]
[paragraph, [88.0, 514.0, 585.0, 18.0], shoonya_0s5S1YY9AXSPKH, 5699747]
[paragraph, [88.0, 532.0, 585.0, 18.0], shoonya_0s5S1YY9AXSPKH, 5699747]
[paragraph, [88.0, 550.0, 585.0, 18.0], shoonya_0s5S1YY9AXSPKH, 5699747]
[paragraph, [88.0, 568.0, 585.0, 18.0], shoonya_0s5S1YY9AXSPKH, 5699747]
[paragraph, [88.0, 586.0, 585.0, 18.0], shoonya_0s5S1YY9AXSPKH, 5699747]
[paragraph, [88.0, 604.0, 585.0, 18.0], shoonya_0s5S1YY9AXSPKH, 5699747]
[paragraph, [88.0, 622.0, 585.0, 18.0], shoonya_0s5S1YY9AXSPKH, 5699747]
[paragraph, [88.0, 640.0, 585.0, 18.0], shoonya_0s5S1YY9AXSPKH, 5699747]
[paragraph, [88.0, 658.0, 585.0, 18.0], shoonya_0s5S1YY9AXSPKH, 5699747]
[paragraph, [88.0, 676.0, 585.0, 18.0], shoonya_0s5S1YY9AXSPKH, 5699747]
[paragraph, [88.0, 694.0, 585.0, 18.0], shoonya_0s5S1YY9AXSPKH, 5699747]
[paragraph, [88.0, 712.0, 585.0, 18.0], shoonya_0s5S1YY9AXSPKH, 5699747]
[paragraph, [88.0, 730.0, 585.0, 18.0], shoonya_0s5S1YY9AXSPKH, 5699747]
[paragraph, [88.0, 748.0, 585.0, 18.0], shoonya_0s5S1YY9AXSPKH, 5699747]
[paragraph, [88.0, 766.0, 585.0, 18.0], shoonya_0s5S1YY9AXSPKH, 5699747]
[paragraph, [88.0, 784.0, 585.0, 18.0], shoonya_0s5S1YY9AXSPKH, 5699747]
[paragraph, [88.0, 802.0, 585.0, 18.0], shoonya_0s5S1YY9AXSPKH, 5699747]
[paragraph, [88.0, 820.0, 585.0, 18.0], shoonya_0s5S1YY9AXSPKH, 5699747]
[paragraph, [85.0, 850.0, 583.0, 18.0], shoonya_1sMQFZ0H5C708I, 5699747]
[paragraph, [85.0, 868.0, 583.0, 18.0], shoonya_1sMQFZ0H5C708I, 5699747]
[paragraph, [85.0, 886.0, 583.0, 18.0], shoonya_1sMQFZ0H5C708I, 5699747]
[paragraph, [85.0, 904.0, 583.0, 18.0], shoonya_1sMQFZ0H5C708I, 5699747]
[paragraph, [85.0, 922.0, 583.0, 18.0], shoonya_1sMQFZ0H5C708I, 5699747]
[paragraph, [85.0, 940.0, 583.0, 18.0], shoonya_1sMQFZ0H5C708I, 5699747]
[paragraph, [85.0, 958.0, 583.0, 18.0], shoonya_1sMQFZ0H5C708I, 5699747]
[paragraph, [85.0, 976.0, 583.0, 18.0], shoonya_1sMQFZ0H5C708I, 5699747]
[paragraph, [85.0, 994.0, 583.0, 18.0], shoonya_1sMQFZ0H5C708I, 5699747]
