[4767, 3325]
[paragraph, [231.0, 535.0, 2425.0, 52.5], shoonya_0s8TQAO0W5F8CS, 5709799]
[paragraph, [231.0, 587.5, 2425.0, 52.5], shoonya_0s8TQAO0W5F8CS, 5709799]
[paragraph, [231.0, 640.0, 2425.0, 52.5], shoonya_0s8TQAO0W5F8CS, 5709799]
[paragraph, [231.0, 692.5, 2425.0, 52.5], shoonya_0s8TQAO0W5F8CS, 5709799]
[paragraph, [231.0, 745.0, 2425.0, 52.5], shoonya_0s8TQAO0W5F8CS, 5709799]
[paragraph, [231.0, 797.5, 2425.0, 52.5], shoonya_0s8TQAO0W5F8CS, 5709799]
[paragraph, [231.0, 850.0, 2425.0, 52.5], shoonya_0s8TQAO0W5F8CS, 5709799]
[paragraph, [231.0, 902.5, 2425.0, 52.5], shoonya_0s8TQAO0W5F8CS, 5709799]
[paragraph, [231.0, 955.0, 2425.0, 52.5], shoonya_0s8TQAO0W5F8CS, 5709799]
[paragraph, [231.0, 1007.5, 2425.0, 52.5], shoonya_0s8TQAO0W5F8CS, 5709799]
[paragraph, [231.0, 1060.0, 2425.0, 52.5], shoonya_0s8TQAO0W5F8CS, 5709799]
[paragraph, [231.0, 1112.5, 2425.0, 52.5], shoonya_0s8TQAO0W5F8CS, 5709799]
[paragraph, [231.0, 1165.0, 2425.0, 52.5], shoonya_0s8TQAO0W5F8CS, 5709799]
[paragraph, [231.0, 1217.5, 2425.0, 52.5], shoonya_0s8TQAO0W5F8CS, 5709799]
[paragraph, [231.0, 1270.0, 2425.0, 52.5], shoonya_0s8TQAO0W5F8CS, 5709799]
[paragraph, [231.0, 1322.5, 2425.0, 52.5], shoonya_0s8TQAO0W5F8CS, 5709799]
[paragraph, [231.0, 1375.0, 2425.0, 52.5], shoonya_0s8TQAO0W5F8CS, 5709799]
[paragraph, [231.0, 1427.5, 2425.0, 52.5], shoonya_0s8TQAO0W5F8CS, 5709799]
[paragraph, [231.0, 1480.0, 2425.0, 52.5], shoonya_0s8TQAO0W5F8CS, 5709799]
[paragraph, [231.0, 1532.5, 2425.0, 52.5], shoonya_0s8TQAO0W5F8CS, 5709799]
[paragraph, [231.0, 1585.0, 2425.0, 52.5], shoonya_0s8TQAO0W5F8CS, 5709799]
[paragraph, [231.0, 1637.5, 2425.0, 52.5], shoonya_0s8TQAO0W5F8CS, 5709799]
[paragraph, [231.0, 1690.0, 2425.0, 52.5], shoonya_0s8TQAO0W5F8CS, 5709799]
[paragraph, [231.0, 1742.5, 2425.0, 52.5], shoonya_0s8TQAO0W5F8CS, 5709799]
[paragraph, [231.0, 1795.0, 2425.0, 52.5], shoonya_0s8TQAO0W5F8CS, 5709799]
[paragraph, [231.0, 1847.5, 2425.0, 52.5], shoonya_0s8TQAO0W5F8CS, 5709799]
