[2339, 1653]
[paragraph, [326.0, 164.0, 1134.0, 36.0], shoonya_2sYCFZ0BHNC2R8, 5733528]
[paragraph, [326.0, 200.0, 1134.0, 36.0], shoonya_2sYCFZ0BHNC2R8, 5733528]
[paragraph, [324.0, 279.0, 1137.0, 36.0], shoonya_0sK1EX52SXJ854, 5733528]
[paragraph, [324.0, 315.0, 1137.0, 36.0], shoonya_0sK1EX52SXJ854, 5733528]
[paragraph, [324.0, 351.0, 1137.0, 36.0], shoonya_0sK1EX52SXJ854, 5733528]
[paragraph, [324.0, 387.0, 1137.0, 36.0], shoonya_0sK1EX52SXJ854, 5733528]
[paragraph, [324.0, 423.0, 1137.0, 36.0], shoonya_0sK1EX52SXJ854, 5733528]
[paragraph, [324.0, 459.0, 1137.0, 36.0], shoonya_0sK1EX52SXJ854, 5733528]
[paragraph, [324.0, 495.0, 1137.0, 36.0], shoonya_0sK1EX52SXJ854, 5733528]
[paragraph, [324.0, 531.0, 1137.0, 36.0], shoonya_0sK1EX52SXJ854, 5733528]
[paragraph, [324.0, 567.0, 1137.0, 36.0], shoonya_0sK1EX52SXJ854, 5733528]
[paragraph, [324.0, 603.0, 1137.0, 36.0], shoonya_0sK1EX52SXJ854, 5733528]
[paragraph, [324.0, 639.0, 1137.0, 36.0], shoonya_0sK1EX52SXJ854, 5733528]
[paragraph, [324.0, 675.0, 1137.0, 36.0], shoonya_0sK1EX52SXJ854, 5733528]
[paragraph, [324.0, 711.0, 1137.0, 36.0], shoonya_0sK1EX52SXJ854, 5733528]
[paragraph, [324.0, 747.0, 1137.0, 36.0], shoonya_0sK1EX52SXJ854, 5733528]
[paragraph, [324.0, 783.0, 1137.0, 36.0], shoonya_0sK1EX52SXJ854, 5733528]
[paragraph, [324.0, 819.0, 1137.0, 36.0], shoonya_0sK1EX52SXJ854, 5733528]
[paragraph, [324.0, 855.0, 1137.0, 36.0], shoonya_0sK1EX52SXJ854, 5733528]
[paragraph, [324.0, 891.0, 1137.0, 36.0], shoonya_0sK1EX52SXJ854, 5733528]
[paragraph, [324.0, 927.0, 1137.0, 36.0], shoonya_0sK1EX52SXJ854, 5733528]
[paragraph, [324.0, 963.0, 1137.0, 36.0], shoonya_0sK1EX52SXJ854, 5733528]
[paragraph, [324.0, 999.0, 1137.0, 36.0], shoonya_0sK1EX52SXJ854, 5733528]
[paragraph, [324.0, 1035.0, 1137.0, 36.0], shoonya_0sK1EX52SXJ854, 5733528]
[paragraph, [325.0, 1113.0, 1136.0, 36.0], shoonya_1sLJ5DOPRHPWU9, 5733528]
[paragraph, [325.0, 1149.0, 1136.0, 36.0], shoonya_1sLJ5DOPRHPWU9, 5733528]
[paragraph, [325.0, 1185.0, 1136.0, 36.0], shoonya_1sLJ5DOPRHPWU9, 5733528]
[paragraph, [325.0, 1221.0, 1136.0, 36.0], shoonya_1sLJ5DOPRHPWU9, 5733528]
[paragraph, [325.0, 1257.0, 1136.0, 36.0], shoonya_1sLJ5DOPRHPWU9, 5733528]
[paragraph, [325.0, 1293.0, 1136.0, 36.0], shoonya_1sLJ5DOPRHPWU9, 5733528]
[paragraph, [325.0, 1329.0, 1136.0, 36.0], shoonya_1sLJ5DOPRHPWU9, 5733528]
[paragraph, [325.0, 1365.0, 1136.0, 36.0], shoonya_1sLJ5DOPRHPWU9, 5733528]
[paragraph, [325.0, 1401.0, 1136.0, 36.0], shoonya_1sLJ5DOPRHPWU9, 5733528]
[paragraph, [325.0, 1437.0, 1136.0, 36.0], shoonya_1sLJ5DOPRHPWU9, 5733528]
[paragraph, [325.0, 1473.0, 1136.0, 36.0], shoonya_1sLJ5DOPRHPWU9, 5733528]
[paragraph, [325.0, 1509.0, 1136.0, 36.0], shoonya_1sLJ5DOPRHPWU9, 5733528]
[paragraph, [325.0, 1545.0, 1136.0, 36.0], shoonya_1sLJ5DOPRHPWU9, 5733528]
[paragraph, [325.0, 1581.0, 1136.0, 36.0], shoonya_1sLJ5DOPRHPWU9, 5733528]
[paragraph, [325.0, 1617.0, 1136.0, 36.0], shoonya_1sLJ5DOPRHPWU9, 5733528]
[paragraph, [325.0, 1653.0, 1136.0, 36.0], shoonya_1sLJ5DOPRHPWU9, 5733528]
[paragraph, [325.0, 1689.0, 1136.0, 36.0], shoonya_1sLJ5DOPRHPWU9, 5733528]
[paragraph, [325.0, 1725.0, 1136.0, 36.0], shoonya_1sLJ5DOPRHPWU9, 5733528]
[paragraph, [325.0, 1761.0, 1136.0, 36.0], shoonya_1sLJ5DOPRHPWU9, 5733528]
[paragraph, [325.0, 1797.0, 1136.0, 36.0], shoonya_1sLJ5DOPRHPWU9, 5733528]
[paragraph, [325.0, 1833.0, 1136.0, 36.0], shoonya_1sLJ5DOPRHPWU9, 5733528]
[paragraph, [325.0, 1869.0, 1136.0, 36.0], shoonya_1sLJ5DOPRHPWU9, 5733528]
[paragraph, [325.0, 1905.0, 1136.0, 36.0], shoonya_1sLJ5DOPRHPWU9, 5733528]
[paragraph, [325.0, 1941.0, 1136.0, 36.0], shoonya_1sLJ5DOPRHPWU9, 5733528]
[paragraph, [325.0, 1977.0, 1136.0, 36.0], shoonya_1sLJ5DOPRHPWU9, 5733528]
[paragraph, [325.0, 2013.0, 1136.0, 36.0], shoonya_1sLJ5DOPRHPWU9, 5733528]
[paragraph, [325.0, 2049.0, 1136.0, 36.0], shoonya_1sLJ5DOPRHPWU9, 5733528]
[folio, [1122.0, 2163.0, 276.0, 36.0], NsUJKRPqGi, 5733528]
