[858, 612]
[folio, [183.0, 161.0, 129.0, 18.0], 8v-FLb5ITK, 6460213]
[paragraph, [85.0, 201.0, 325.0, 18.0], shoonya_0sK3C53K5M9QJY, 6460213]
[paragraph, [85.0, 219.0, 325.0, 18.0], shoonya_0sK3C53K5M9QJY, 6460213]
[paragraph, [85.0, 237.0, 325.0, 18.0], shoonya_0sK3C53K5M9QJY, 6460213]
[paragraph, [83.0, 264.0, 327.0, 18.0], 9f2nISr-Yr, 6460213]
[paragraph, [83.0, 282.0, 327.0, 18.0], 9f2nISr-Yr, 6460213]
[paragraph, [83.0, 300.0, 327.0, 18.0], 9f2nISr-Yr, 6460213]
[paragraph, [83.0, 318.0, 327.0, 18.0], 9f2nISr-Yr, 6460213]
[paragraph, [83.0, 336.0, 327.0, 18.0], 9f2nISr-Yr, 6460213]
[paragraph, [83.0, 354.0, 327.0, 18.0], 9f2nISr-Yr, 6460213]
[paragraph, [83.0, 372.0, 327.0, 18.0], 9f2nISr-Yr, 6460213]
[paragraph, [83.0, 390.0, 327.0, 18.0], 9f2nISr-Yr, 6460213]
[paragraph, [83.0, 408.0, 327.0, 18.0], 9f2nISr-Yr, 6460213]
[paragraph, [83.0, 426.0, 327.0, 18.0], 9f2nISr-Yr, 6460213]
[paragraph, [83.0, 444.0, 327.0, 18.0], 9f2nISr-Yr, 6460213]
[paragraph, [83.0, 462.0, 327.0, 18.0], 9f2nISr-Yr, 6460213]
[paragraph, [83.0, 480.0, 327.0, 18.0], 9f2nISr-Yr, 6460213]
[paragraph, [87.0, 510.0, 325.0, 18.0], shoonya_1sE9BWOSTF373O, 6460213]
[paragraph, [87.0, 528.0, 325.0, 18.0], shoonya_1sE9BWOSTF373O, 6460213]
[paragraph, [87.0, 546.0, 325.0, 18.0], shoonya_1sE9BWOSTF373O, 6460213]
[paragraph, [87.0, 564.0, 325.0, 18.0], shoonya_1sE9BWOSTF373O, 6460213]
[paragraph, [87.0, 582.0, 325.0, 18.0], shoonya_1sE9BWOSTF373O, 6460213]
[paragraph, [87.0, 600.0, 325.0, 18.0], shoonya_1sE9BWOSTF373O, 6460213]
[paragraph, [87.0, 618.0, 325.0, 18.0], shoonya_1sE9BWOSTF373O, 6460213]
[paragraph, [87.0, 636.0, 325.0, 18.0], shoonya_1sE9BWOSTF373O, 6460213]
[paragraph, [87.0, 654.0, 325.0, 18.0], shoonya_1sE9BWOSTF373O, 6460213]
[paragraph, [87.0, 672.0, 325.0, 18.0], shoonya_1sE9BWOSTF373O, 6460213]
[paragraph, [87.0, 690.0, 325.0, 18.0], shoonya_1sE9BWOSTF373O, 6460213]
