[911, 561]
[section-title, [82.0, 292.0, 456.0, 30.0], shoonya_1sFZNUM12HREKI, 5776250]
[paragraph, [125.0, 341.0, 387.0, 18.0], shoonya_0sJ3TPB7G8U3JN, 5776250]
[paragraph, [125.0, 359.0, 387.0, 18.0], shoonya_0sJ3TPB7G8U3JN, 5776250]
[paragraph, [125.0, 377.0, 387.0, 18.0], shoonya_0sJ3TPB7G8U3JN, 5776250]
[paragraph, [125.0, 395.0, 387.0, 18.0], shoonya_0sJ3TPB7G8U3JN, 5776250]
[paragraph, [125.0, 413.0, 387.0, 18.0], shoonya_0sJ3TPB7G8U3JN, 5776250]
[paragraph, [125.0, 431.0, 387.0, 18.0], shoonya_0sJ3TPB7G8U3JN, 5776250]
[paragraph, [125.0, 449.0, 387.0, 18.0], shoonya_0sJ3TPB7G8U3JN, 5776250]
[paragraph, [125.0, 467.0, 387.0, 18.0], shoonya_0sJ3TPB7G8U3JN, 5776250]
[paragraph, [125.0, 485.0, 387.0, 18.0], shoonya_0sJ3TPB7G8U3JN, 5776250]
[paragraph, [125.0, 503.0, 387.0, 18.0], shoonya_0sJ3TPB7G8U3JN, 5776250]
[paragraph, [125.0, 521.0, 387.0, 18.0], shoonya_0sJ3TPB7G8U3JN, 5776250]
[paragraph, [125.0, 539.0, 387.0, 18.0], shoonya_0sJ3TPB7G8U3JN, 5776250]
[paragraph, [125.0, 557.0, 387.0, 18.0], shoonya_0sJ3TPB7G8U3JN, 5776250]
[paragraph, [125.0, 575.0, 387.0, 18.0], shoonya_0sJ3TPB7G8U3JN, 5776250]
[paragraph, [125.0, 593.0, 387.0, 18.0], shoonya_0sJ3TPB7G8U3JN, 5776250]
[paragraph, [125.0, 611.0, 387.0, 18.0], shoonya_0sJ3TPB7G8U3JN, 5776250]
[author, [350.0, 639.0, 199.0, 18.0], shoonya_3sZMWN2ZEXNSS9, 5776250]
