[842, 595]
[section-title, [170.0, 72.0, 317.0, 30.0], Ema9AXs_-i, 6460485]
[section-title, [170.0, 102.0, 317.0, 30.0], Ema9AXs_-i, 6460485]
[paragraph, [219.0, 134.0, 207.0, 18.0], xgVhmvZeQh, 6460485]
[paragraph, [219.0, 152.0, 207.0, 18.0], xgVhmvZeQh, 6460485]
[paragraph, [219.0, 170.0, 207.0, 18.0], xgVhmvZeQh, 6460485]
[paragraph, [219.0, 188.0, 207.0, 18.0], xgVhmvZeQh, 6460485]
[paragraph, [219.0, 206.0, 207.0, 18.0], xgVhmvZeQh, 6460485]
[paragraph, [214.0, 225.0, 208.0, 18.0], hkhFanTlSJ, 6460485]
[paragraph, [214.0, 243.0, 208.0, 18.0], hkhFanTlSJ, 6460485]
[paragraph, [214.0, 261.0, 208.0, 18.0], hkhFanTlSJ, 6460485]
[paragraph, [214.0, 279.0, 208.0, 18.0], hkhFanTlSJ, 6460485]
[paragraph, [214.0, 297.0, 208.0, 18.0], hkhFanTlSJ, 6460485]
[paragraph, [218.0, 309.0, 193.0, 18.0], vO99DgYo-X, 6460485]
[paragraph, [218.0, 327.0, 193.0, 18.0], vO99DgYo-X, 6460485]
[paragraph, [218.0, 345.0, 193.0, 18.0], vO99DgYo-X, 6460485]
[paragraph, [218.0, 363.0, 193.0, 18.0], vO99DgYo-X, 6460485]
[paragraph, [218.0, 381.0, 193.0, 18.0], vO99DgYo-X, 6460485]
[paragraph, [216.0, 397.0, 217.0, 18.0], lXf2nJ-QtK, 6460485]
[paragraph, [216.0, 415.0, 217.0, 18.0], lXf2nJ-QtK, 6460485]
[paragraph, [216.0, 433.0, 217.0, 18.0], lXf2nJ-QtK, 6460485]
[paragraph, [216.0, 451.0, 217.0, 18.0], lXf2nJ-QtK, 6460485]
[paragraph, [212.0, 481.0, 216.0, 18.0], uhY8H7ZTMZ, 6460485]
[paragraph, [212.0, 499.0, 216.0, 18.0], uhY8H7ZTMZ, 6460485]
[paragraph, [212.0, 517.0, 216.0, 18.0], uhY8H7ZTMZ, 6460485]
[paragraph, [212.0, 535.0, 216.0, 18.0], uhY8H7ZTMZ, 6460485]
[paragraph, [212.0, 553.0, 216.0, 18.0], uhY8H7ZTMZ, 6460485]
[paragraph, [217.0, 567.0, 261.0, 18.0], oY7yPq26pz, 6460485]
[paragraph, [217.0, 585.0, 261.0, 18.0], oY7yPq26pz, 6460485]
[paragraph, [217.0, 603.0, 261.0, 18.0], oY7yPq26pz, 6460485]
[paragraph, [217.0, 621.0, 261.0, 18.0], oY7yPq26pz, 6460485]
[paragraph, [217.0, 639.0, 261.0, 18.0], oY7yPq26pz, 6460485]
[author, [253.0, 657.0, 234.0, 18.0], eS3Fgczeed, 6460485]
[author, [253.0, 675.0, 234.0, 18.0], eS3Fgczeed, 6460485]
[author, [253.0, 693.0, 234.0, 18.0], eS3Fgczeed, 6460485]
[author, [253.0, 711.0, 234.0, 18.0], eS3Fgczeed, 6460485]
[folio, [505.0, 810.0, 78.0, 18.0], aKV1RrhGTK, 6460485]
