[1275, 750]
[folio, [243.0, 79.0, 292.0, 18.0], LYgBGcvfnt, 5767340]
[folio, [243.0, 97.0, 292.0, 18.0], LYgBGcvfnt, 5767340]
[folio, [243.0, 115.0, 292.0, 18.0], LYgBGcvfnt, 5767340]
[paragraph, [57.0, 157.0, 631.0, 18.0], shoonya_1sP8W6C7VZAHAJ, 5767340]
[paragraph, [57.0, 175.0, 631.0, 18.0], shoonya_1sP8W6C7VZAHAJ, 5767340]
[paragraph, [57.0, 193.0, 631.0, 18.0], shoonya_1sP8W6C7VZAHAJ, 5767340]
[paragraph, [57.0, 211.0, 631.0, 18.0], shoonya_1sP8W6C7VZAHAJ, 5767340]
[paragraph, [57.0, 229.0, 631.0, 18.0], shoonya_1sP8W6C7VZAHAJ, 5767340]
[paragraph, [57.0, 247.0, 631.0, 18.0], shoonya_1sP8W6C7VZAHAJ, 5767340]
[paragraph, [57.0, 265.0, 631.0, 18.0], shoonya_1sP8W6C7VZAHAJ, 5767340]
[paragraph, [57.0, 283.0, 631.0, 18.0], shoonya_1sP8W6C7VZAHAJ, 5767340]
[paragraph, [57.0, 301.0, 631.0, 18.0], shoonya_1sP8W6C7VZAHAJ, 5767340]
[paragraph, [57.0, 319.0, 631.0, 18.0], shoonya_1sP8W6C7VZAHAJ, 5767340]
[paragraph, [57.0, 337.0, 631.0, 18.0], shoonya_1sP8W6C7VZAHAJ, 5767340]
[paragraph, [57.0, 355.0, 631.0, 18.0], shoonya_1sP8W6C7VZAHAJ, 5767340]
[paragraph, [57.0, 373.0, 631.0, 18.0], shoonya_1sP8W6C7VZAHAJ, 5767340]
[paragraph, [57.0, 391.0, 631.0, 18.0], shoonya_1sP8W6C7VZAHAJ, 5767340]
[paragraph, [57.0, 409.0, 631.0, 18.0], shoonya_1sP8W6C7VZAHAJ, 5767340]
[paragraph, [57.0, 427.0, 631.0, 18.0], shoonya_1sP8W6C7VZAHAJ, 5767340]
[paragraph, [57.0, 445.0, 631.0, 18.0], shoonya_1sP8W6C7VZAHAJ, 5767340]
[paragraph, [57.0, 463.0, 631.0, 18.0], shoonya_1sP8W6C7VZAHAJ, 5767340]
[paragraph, [57.0, 481.0, 631.0, 18.0], shoonya_1sP8W6C7VZAHAJ, 5767340]
[paragraph, [57.0, 499.0, 631.0, 18.0], shoonya_1sP8W6C7VZAHAJ, 5767340]
[paragraph, [57.0, 517.0, 631.0, 18.0], shoonya_1sP8W6C7VZAHAJ, 5767340]
[paragraph, [57.0, 535.0, 631.0, 18.0], shoonya_1sP8W6C7VZAHAJ, 5767340]
[paragraph, [57.0, 553.0, 631.0, 18.0], shoonya_1sP8W6C7VZAHAJ, 5767340]
[paragraph, [57.0, 571.0, 631.0, 18.0], shoonya_1sP8W6C7VZAHAJ, 5767340]
[paragraph, [57.0, 589.0, 631.0, 18.0], shoonya_1sP8W6C7VZAHAJ, 5767340]
[paragraph, [57.0, 607.0, 631.0, 18.0], shoonya_1sP8W6C7VZAHAJ, 5767340]
[paragraph, [57.0, 625.0, 631.0, 18.0], shoonya_1sP8W6C7VZAHAJ, 5767340]
[paragraph, [57.0, 643.0, 631.0, 18.0], shoonya_1sP8W6C7VZAHAJ, 5767340]
[paragraph, [57.0, 661.0, 631.0, 18.0], shoonya_1sP8W6C7VZAHAJ, 5767340]
[paragraph, [57.0, 679.0, 631.0, 18.0], shoonya_1sP8W6C7VZAHAJ, 5767340]
[paragraph, [57.0, 697.0, 631.0, 18.0], shoonya_1sP8W6C7VZAHAJ, 5767340]
[paragraph, [57.0, 715.0, 631.0, 18.0], shoonya_1sP8W6C7VZAHAJ, 5767340]
[paragraph, [57.0, 733.0, 631.0, 18.0], shoonya_1sP8W6C7VZAHAJ, 5767340]
[paragraph, [57.0, 751.0, 631.0, 18.0], shoonya_1sP8W6C7VZAHAJ, 5767340]
