[2339, 1653]
[paragraph, [324.0, 160.0, 1142.0, 36.0], shoonya_0s1JOMX80IZDQ2, 5734185]
[paragraph, [324.0, 196.0, 1142.0, 36.0], shoonya_0s1JOMX80IZDQ2, 5734185]
[paragraph, [324.0, 232.0, 1142.0, 36.0], shoonya_0s1JOMX80IZDQ2, 5734185]
[paragraph, [324.0, 268.0, 1142.0, 36.0], shoonya_0s1JOMX80IZDQ2, 5734185]
[paragraph, [324.0, 304.0, 1142.0, 36.0], shoonya_0s1JOMX80IZDQ2, 5734185]
[paragraph, [324.0, 340.0, 1142.0, 36.0], shoonya_0s1JOMX80IZDQ2, 5734185]
[paragraph, [324.0, 376.0, 1142.0, 36.0], shoonya_0s1JOMX80IZDQ2, 5734185]
[paragraph, [324.0, 412.0, 1142.0, 36.0], shoonya_0s1JOMX80IZDQ2, 5734185]
[paragraph, [324.0, 448.0, 1142.0, 36.0], shoonya_0s1JOMX80IZDQ2, 5734185]
[paragraph, [324.0, 484.0, 1142.0, 36.0], shoonya_0s1JOMX80IZDQ2, 5734185]
[paragraph, [324.0, 520.0, 1142.0, 36.0], shoonya_0s1JOMX80IZDQ2, 5734185]
[paragraph, [324.0, 556.0, 1142.0, 36.0], shoonya_0s1JOMX80IZDQ2, 5734185]
[paragraph, [324.0, 592.0, 1142.0, 36.0], shoonya_0s1JOMX80IZDQ2, 5734185]
[paragraph, [324.0, 628.0, 1142.0, 36.0], shoonya_0s1JOMX80IZDQ2, 5734185]
[paragraph, [324.0, 664.0, 1142.0, 36.0], shoonya_0s1JOMX80IZDQ2, 5734185]
[paragraph, [324.0, 700.0, 1142.0, 36.0], shoonya_0s1JOMX80IZDQ2, 5734185]
[paragraph, [325.0, 782.0, 1143.0, 36.0], shoonya_1sQP483MG9GOQR, 5734185]
[paragraph, [325.0, 818.0, 1143.0, 36.0], shoonya_1sQP483MG9GOQR, 5734185]
[paragraph, [325.0, 854.0, 1143.0, 36.0], shoonya_1sQP483MG9GOQR, 5734185]
[paragraph, [325.0, 890.0, 1143.0, 36.0], shoonya_1sQP483MG9GOQR, 5734185]
[paragraph, [325.0, 926.0, 1143.0, 36.0], shoonya_1sQP483MG9GOQR, 5734185]
[paragraph, [325.0, 962.0, 1143.0, 36.0], shoonya_1sQP483MG9GOQR, 5734185]
[paragraph, [325.0, 998.0, 1143.0, 36.0], shoonya_1sQP483MG9GOQR, 5734185]
[paragraph, [325.0, 1034.0, 1143.0, 36.0], shoonya_1sQP483MG9GOQR, 5734185]
[paragraph, [325.0, 1070.0, 1143.0, 36.0], shoonya_1sQP483MG9GOQR, 5734185]
[paragraph, [325.0, 1106.0, 1143.0, 36.0], shoonya_1sQP483MG9GOQR, 5734185]
[paragraph, [325.0, 1142.0, 1143.0, 36.0], shoonya_1sQP483MG9GOQR, 5734185]
[paragraph, [325.0, 1178.0, 1143.0, 36.0], shoonya_1sQP483MG9GOQR, 5734185]
[paragraph, [325.0, 1214.0, 1143.0, 36.0], shoonya_1sQP483MG9GOQR, 5734185]
[paragraph, [325.0, 1250.0, 1143.0, 36.0], shoonya_1sQP483MG9GOQR, 5734185]
[paragraph, [325.0, 1286.0, 1143.0, 36.0], shoonya_1sQP483MG9GOQR, 5734185]
[paragraph, [325.0, 1322.0, 1143.0, 36.0], shoonya_1sQP483MG9GOQR, 5734185]
[paragraph, [325.0, 1358.0, 1143.0, 36.0], shoonya_1sQP483MG9GOQR, 5734185]
[paragraph, [325.0, 1394.0, 1143.0, 36.0], shoonya_1sQP483MG9GOQR, 5734185]
[paragraph, [325.0, 1430.0, 1143.0, 36.0], shoonya_1sQP483MG9GOQR, 5734185]
[paragraph, [325.0, 1466.0, 1143.0, 36.0], shoonya_1sQP483MG9GOQR, 5734185]
[paragraph, [325.0, 1502.0, 1143.0, 36.0], shoonya_1sQP483MG9GOQR, 5734185]
[paragraph, [325.0, 1538.0, 1143.0, 36.0], shoonya_1sQP483MG9GOQR, 5734185]
[paragraph, [325.0, 1574.0, 1143.0, 36.0], shoonya_1sQP483MG9GOQR, 5734185]
[paragraph, [325.0, 1610.0, 1143.0, 36.0], shoonya_1sQP483MG9GOQR, 5734185]
[paragraph, [325.0, 1646.0, 1143.0, 36.0], shoonya_1sQP483MG9GOQR, 5734185]
[paragraph, [325.0, 1682.0, 1143.0, 36.0], shoonya_1sQP483MG9GOQR, 5734185]
[paragraph, [325.0, 1718.0, 1143.0, 36.0], shoonya_1sQP483MG9GOQR, 5734185]
[paragraph, [325.0, 1754.0, 1143.0, 36.0], shoonya_1sQP483MG9GOQR, 5734185]
[paragraph, [325.0, 1790.0, 1143.0, 36.0], shoonya_1sQP483MG9GOQR, 5734185]
[paragraph, [325.0, 1826.0, 1143.0, 36.0], shoonya_1sQP483MG9GOQR, 5734185]
[paragraph, [325.0, 1862.0, 1143.0, 36.0], shoonya_1sQP483MG9GOQR, 5734185]
[paragraph, [325.0, 1898.0, 1143.0, 36.0], shoonya_1sQP483MG9GOQR, 5734185]
[paragraph, [325.0, 1934.0, 1143.0, 36.0], shoonya_1sQP483MG9GOQR, 5734185]
[paragraph, [325.0, 1970.0, 1143.0, 36.0], shoonya_1sQP483MG9GOQR, 5734185]
[paragraph, [325.0, 2006.0, 1143.0, 36.0], shoonya_1sQP483MG9GOQR, 5734185]
[paragraph, [325.0, 2042.0, 1143.0, 36.0], shoonya_1sQP483MG9GOQR, 5734185]
[folio, [1110.0, 2155.0, 282.0, 36.0], cCaGBKvwNo, 5734185]
