[792, 612]
[section-title, [171.0, 164.0, 301.0, 30.0], UlapsKM1Hx, 6517162]
[paragraph, [174.0, 217.0, 301.0, 18.0], shoonya_0s09E6OUMRBRMF, 6517162]
[paragraph, [174.0, 235.0, 301.0, 18.0], shoonya_0s09E6OUMRBRMF, 6517162]
[paragraph, [174.0, 253.0, 301.0, 18.0], shoonya_0s09E6OUMRBRMF, 6517162]
[paragraph, [174.0, 271.0, 301.0, 18.0], shoonya_0s09E6OUMRBRMF, 6517162]
[paragraph, [174.0, 289.0, 301.0, 18.0], shoonya_0s09E6OUMRBRMF, 6517162]
[paragraph, [174.0, 307.0, 301.0, 18.0], shoonya_0s09E6OUMRBRMF, 6517162]
[paragraph, [174.0, 325.0, 301.0, 18.0], shoonya_0s09E6OUMRBRMF, 6517162]
[paragraph, [174.0, 343.0, 301.0, 18.0], shoonya_0s09E6OUMRBRMF, 6517162]
[paragraph, [174.0, 361.0, 301.0, 18.0], shoonya_0s09E6OUMRBRMF, 6517162]
[paragraph, [174.0, 379.0, 301.0, 18.0], shoonya_0s09E6OUMRBRMF, 6517162]
[paragraph, [174.0, 397.0, 301.0, 18.0], shoonya_0s09E6OUMRBRMF, 6517162]
[paragraph, [174.0, 415.0, 301.0, 18.0], shoonya_0s09E6OUMRBRMF, 6517162]
[paragraph, [174.0, 440.0, 302.0, 18.0], 1BweXX5yFo, 6517162]
[paragraph, [174.0, 458.0, 302.0, 18.0], 1BweXX5yFo, 6517162]
[paragraph, [174.0, 476.0, 302.0, 18.0], 1BweXX5yFo, 6517162]
[paragraph, [174.0, 494.0, 302.0, 18.0], 1BweXX5yFo, 6517162]
[paragraph, [174.0, 512.0, 302.0, 18.0], 1BweXX5yFo, 6517162]
