[2338, 1654]
[paragraph, [188.0, 195.0, 1176.0, 36.0], shoonya_1s0TO99K0QME12, 5753994]
[paragraph, [188.0, 231.0, 1176.0, 36.0], shoonya_1s0TO99K0QME12, 5753994]
[paragraph, [188.0, 267.0, 1176.0, 36.0], shoonya_1s0TO99K0QME12, 5753994]
[paragraph, [188.0, 303.0, 1176.0, 36.0], shoonya_1s0TO99K0QME12, 5753994]
[paragraph, [188.0, 339.0, 1176.0, 36.0], shoonya_1s0TO99K0QME12, 5753994]
[paragraph, [188.0, 375.0, 1176.0, 36.0], shoonya_1s0TO99K0QME12, 5753994]
[paragraph, [188.0, 411.0, 1176.0, 36.0], shoonya_1s0TO99K0QME12, 5753994]
[paragraph, [188.0, 447.0, 1176.0, 36.0], shoonya_1s0TO99K0QME12, 5753994]
[paragraph, [188.0, 483.0, 1176.0, 36.0], shoonya_1s0TO99K0QME12, 5753994]
[paragraph, [188.0, 519.0, 1176.0, 36.0], shoonya_1s0TO99K0QME12, 5753994]
[paragraph, [188.0, 555.0, 1176.0, 36.0], shoonya_1s0TO99K0QME12, 5753994]
[paragraph, [188.0, 591.0, 1176.0, 36.0], shoonya_1s0TO99K0QME12, 5753994]
[paragraph, [188.0, 627.0, 1176.0, 36.0], shoonya_1s0TO99K0QME12, 5753994]
[paragraph, [188.0, 663.0, 1176.0, 36.0], shoonya_1s0TO99K0QME12, 5753994]
[paragraph, [188.0, 699.0, 1176.0, 36.0], shoonya_1s0TO99K0QME12, 5753994]
[paragraph, [188.0, 735.0, 1176.0, 36.0], shoonya_1s0TO99K0QME12, 5753994]
[paragraph, [189.0, 815.0, 1172.0, 36.0], shoonya_0sUMYE6XYA3U63, 5753994]
[paragraph, [189.0, 851.0, 1172.0, 36.0], shoonya_0sUMYE6XYA3U63, 5753994]
[paragraph, [189.0, 887.0, 1172.0, 36.0], shoonya_0sUMYE6XYA3U63, 5753994]
[paragraph, [189.0, 923.0, 1172.0, 36.0], shoonya_0sUMYE6XYA3U63, 5753994]
[paragraph, [189.0, 959.0, 1172.0, 36.0], shoonya_0sUMYE6XYA3U63, 5753994]
[paragraph, [189.0, 995.0, 1172.0, 36.0], shoonya_0sUMYE6XYA3U63, 5753994]
[paragraph, [189.0, 1031.0, 1172.0, 36.0], shoonya_0sUMYE6XYA3U63, 5753994]
[paragraph, [189.0, 1067.0, 1172.0, 36.0], shoonya_0sUMYE6XYA3U63, 5753994]
[paragraph, [189.0, 1103.0, 1172.0, 36.0], shoonya_0sUMYE6XYA3U63, 5753994]
[paragraph, [189.0, 1139.0, 1172.0, 36.0], shoonya_0sUMYE6XYA3U63, 5753994]
[paragraph, [189.0, 1175.0, 1172.0, 36.0], shoonya_0sUMYE6XYA3U63, 5753994]
[paragraph, [189.0, 1211.0, 1172.0, 36.0], shoonya_0sUMYE6XYA3U63, 5753994]
[paragraph, [189.0, 1247.0, 1172.0, 36.0], shoonya_0sUMYE6XYA3U63, 5753994]
[paragraph, [189.0, 1283.0, 1172.0, 36.0], shoonya_0sUMYE6XYA3U63, 5753994]
[paragraph, [189.0, 1319.0, 1172.0, 36.0], shoonya_0sUMYE6XYA3U63, 5753994]
[paragraph, [189.0, 1355.0, 1172.0, 36.0], shoonya_0sUMYE6XYA3U63, 5753994]
[paragraph, [189.0, 1391.0, 1172.0, 36.0], shoonya_0sUMYE6XYA3U63, 5753994]
[paragraph, [189.0, 1427.0, 1172.0, 36.0], shoonya_0sUMYE6XYA3U63, 5753994]
[paragraph, [189.0, 1463.0, 1172.0, 36.0], shoonya_0sUMYE6XYA3U63, 5753994]
[paragraph, [189.0, 1499.0, 1172.0, 36.0], shoonya_0sUMYE6XYA3U63, 5753994]
[paragraph, [189.0, 1535.0, 1172.0, 36.0], shoonya_0sUMYE6XYA3U63, 5753994]
[paragraph, [189.0, 1571.0, 1172.0, 36.0], shoonya_0sUMYE6XYA3U63, 5753994]
[paragraph, [189.0, 1607.0, 1172.0, 36.0], shoonya_0sUMYE6XYA3U63, 5753994]
[paragraph, [189.0, 1643.0, 1172.0, 36.0], shoonya_0sUMYE6XYA3U63, 5753994]
[paragraph, [189.0, 1679.0, 1172.0, 36.0], shoonya_0sUMYE6XYA3U63, 5753994]
[paragraph, [192.0, 1744.0, 1181.0, 36.0], shoonya_2sJYG8YUB8ZCM0, 5753994]
[paragraph, [192.0, 1780.0, 1181.0, 36.0], shoonya_2sJYG8YUB8ZCM0, 5753994]
[paragraph, [192.0, 1816.0, 1181.0, 36.0], shoonya_2sJYG8YUB8ZCM0, 5753994]
[paragraph, [192.0, 1852.0, 1181.0, 36.0], shoonya_2sJYG8YUB8ZCM0, 5753994]
[paragraph, [192.0, 1888.0, 1181.0, 36.0], shoonya_2sJYG8YUB8ZCM0, 5753994]
[paragraph, [192.0, 1924.0, 1181.0, 36.0], shoonya_2sJYG8YUB8ZCM0, 5753994]
[paragraph, [192.0, 1960.0, 1181.0, 36.0], shoonya_2sJYG8YUB8ZCM0, 5753994]
[paragraph, [192.0, 1996.0, 1181.0, 36.0], shoonya_2sJYG8YUB8ZCM0, 5753994]
