[792, 612]
[folio, [489.0, 33.0, 58.0, 18.0], n5ML80w6Md, 6516375]
[paragraph, [393.0, 84.0, 162.0, 18.0], shoonya_1sEUKPHGMKYKQ6, 6516375]
[paragraph, [393.0, 102.0, 162.0, 18.0], shoonya_1sEUKPHGMKYKQ6, 6516375]
[paragraph, [55.0, 85.0, 164.0, 18.0], shoonya_4sKDQTIDBJTNAV, 6516375]
[paragraph, [55.0, 103.0, 164.0, 18.0], shoonya_4sKDQTIDBJTNAV, 6516375]
[paragraph, [55.0, 121.0, 164.0, 18.0], shoonya_4sKDQTIDBJTNAV, 6516375]
[paragraph, [55.0, 139.0, 164.0, 18.0], shoonya_4sKDQTIDBJTNAV, 6516375]
[paragraph, [55.0, 157.0, 164.0, 18.0], shoonya_4sKDQTIDBJTNAV, 6516375]
[paragraph, [224.0, 85.0, 163.0, 18.0], shoonya_2s7A4S8KC03O3T, 6516375]
[paragraph, [224.0, 103.0, 163.0, 18.0], shoonya_2s7A4S8KC03O3T, 6516375]
[paragraph, [224.0, 121.0, 163.0, 18.0], shoonya_2s7A4S8KC03O3T, 6516375]
[paragraph, [224.0, 139.0, 163.0, 18.0], shoonya_2s7A4S8KC03O3T, 6516375]
[paragraph, [224.0, 157.0, 163.0, 18.0], shoonya_2s7A4S8KC03O3T, 6516375]
[paragraph, [224.0, 175.0, 163.0, 18.0], shoonya_2s7A4S8KC03O3T, 6516375]
[paragraph, [224.0, 193.0, 163.0, 18.0], shoonya_2s7A4S8KC03O3T, 6516375]
[paragraph, [224.0, 211.0, 163.0, 18.0], shoonya_2s7A4S8KC03O3T, 6516375]
[paragraph, [224.0, 229.0, 163.0, 18.0], shoonya_2s7A4S8KC03O3T, 6516375]
[paragraph, [393.0, 135.0, 162.0, 18.0], shoonya_12sOM7ABHL7PDC, 6516375]
[paragraph, [393.0, 153.0, 162.0, 18.0], shoonya_12sOM7ABHL7PDC, 6516375]
[paragraph, [393.0, 171.0, 162.0, 18.0], shoonya_12sOM7ABHL7PDC, 6516375]
[paragraph, [393.0, 189.0, 162.0, 18.0], shoonya_12sOM7ABHL7PDC, 6516375]
[paragraph, [393.0, 207.0, 162.0, 18.0], shoonya_12sOM7ABHL7PDC, 6516375]
[paragraph, [393.0, 225.0, 162.0, 18.0], shoonya_12sOM7ABHL7PDC, 6516375]
[paragraph, [393.0, 243.0, 162.0, 18.0], shoonya_12sOM7ABHL7PDC, 6516375]
[paragraph, [393.0, 261.0, 162.0, 18.0], shoonya_12sOM7ABHL7PDC, 6516375]
[paragraph, [393.0, 279.0, 162.0, 18.0], shoonya_12sOM7ABHL7PDC, 6516375]
[paragraph, [393.0, 297.0, 162.0, 18.0], shoonya_12sOM7ABHL7PDC, 6516375]
[paragraph, [57.0, 182.0, 162.0, 18.0], shoonya_6sH9N8LEY87TNF, 6516375]
[paragraph, [57.0, 200.0, 162.0, 18.0], shoonya_6sH9N8LEY87TNF, 6516375]
[paragraph, [57.0, 218.0, 162.0, 18.0], shoonya_6sH9N8LEY87TNF, 6516375]
[paragraph, [57.0, 236.0, 162.0, 18.0], shoonya_6sH9N8LEY87TNF, 6516375]
[paragraph, [57.0, 254.0, 162.0, 18.0], shoonya_6sH9N8LEY87TNF, 6516375]
[paragraph, [57.0, 272.0, 162.0, 18.0], shoonya_6sH9N8LEY87TNF, 6516375]
[paragraph, [57.0, 290.0, 162.0, 18.0], shoonya_6sH9N8LEY87TNF, 6516375]
[paragraph, [57.0, 308.0, 162.0, 18.0], shoonya_6sH9N8LEY87TNF, 6516375]
[paragraph, [57.0, 326.0, 162.0, 18.0], shoonya_6sH9N8LEY87TNF, 6516375]
[paragraph, [224.0, 266.0, 163.0, 18.0], Zq6G7rv3HK, 6516375]
[paragraph, [224.0, 284.0, 163.0, 18.0], Zq6G7rv3HK, 6516375]
[paragraph, [224.0, 302.0, 163.0, 18.0], Zq6G7rv3HK, 6516375]
[paragraph, [224.0, 320.0, 163.0, 18.0], Zq6G7rv3HK, 6516375]
[headline, [55.0, 370.0, 262.0, 25.5], shoonya_0sIJZ773DD38VC, 6516375]
[author, [56.0, 410.0, 62.0, 18.0], shoonya_9s9GNDXF18BN8T, 6516375]
[paragraph, [224.0, 420.0, 101.0, 18.0], 9lXOfpcQp4, 6516375]
[paragraph, [224.0, 438.0, 101.0, 18.0], 9lXOfpcQp4, 6516375]
[paragraph, [224.0, 456.0, 101.0, 18.0], 9lXOfpcQp4, 6516375]
[paragraph, [224.0, 474.0, 101.0, 18.0], 9lXOfpcQp4, 6516375]
[paragraph, [224.0, 492.0, 101.0, 18.0], 9lXOfpcQp4, 6516375]
[paragraph, [224.0, 510.0, 101.0, 18.0], 9lXOfpcQp4, 6516375]
[paragraph, [224.0, 528.0, 101.0, 18.0], 9lXOfpcQp4, 6516375]
[paragraph, [224.0, 546.0, 101.0, 18.0], 9lXOfpcQp4, 6516375]
[paragraph, [54.0, 444.0, 165.0, 18.0], shoonya_17sQJJV8266BVU, 6516375]
[paragraph, [54.0, 462.0, 165.0, 18.0], shoonya_17sQJJV8266BVU, 6516375]
[paragraph, [54.0, 480.0, 165.0, 18.0], shoonya_17sQJJV8266BVU, 6516375]
[paragraph, [54.0, 498.0, 165.0, 18.0], shoonya_17sQJJV8266BVU, 6516375]
[paragraph, [54.0, 516.0, 165.0, 18.0], shoonya_17sQJJV8266BVU, 6516375]
[paragraph, [54.0, 534.0, 165.0, 18.0], shoonya_17sQJJV8266BVU, 6516375]
[paragraph, [54.0, 552.0, 165.0, 18.0], shoonya_17sQJJV8266BVU, 6516375]
[paragraph, [54.0, 570.0, 165.0, 18.0], shoonya_17sQJJV8266BVU, 6516375]
[paragraph, [54.0, 588.0, 165.0, 18.0], shoonya_17sQJJV8266BVU, 6516375]
[paragraph, [392.0, 564.0, 163.0, 18.0], shoonya_5sP6HO5GE6C2VN, 6516375]
[paragraph, [392.0, 582.0, 163.0, 18.0], shoonya_5sP6HO5GE6C2VN, 6516375]
[paragraph, [392.0, 600.0, 163.0, 18.0], shoonya_5sP6HO5GE6C2VN, 6516375]
[paragraph, [224.0, 566.0, 162.0, 18.0], qUPXC3e2Bf, 6516375]
[paragraph, [223.0, 590.0, 163.0, 18.0], AqbqOlJiBm, 6516375]
[paragraph, [223.0, 608.0, 163.0, 18.0], AqbqOlJiBm, 6516375]
[paragraph, [223.0, 626.0, 163.0, 18.0], AqbqOlJiBm, 6516375]
[paragraph, [53.0, 615.0, 165.0, 18.0], shoonya_10s7MB8PRPEVBY, 6516375]
[paragraph, [53.0, 633.0, 165.0, 18.0], shoonya_10s7MB8PRPEVBY, 6516375]
[paragraph, [53.0, 651.0, 165.0, 18.0], shoonya_10s7MB8PRPEVBY, 6516375]
[paragraph, [53.0, 669.0, 165.0, 18.0], shoonya_10s7MB8PRPEVBY, 6516375]
[paragraph, [53.0, 687.0, 165.0, 18.0], shoonya_10s7MB8PRPEVBY, 6516375]
[paragraph, [53.0, 705.0, 165.0, 18.0], shoonya_10s7MB8PRPEVBY, 6516375]
[paragraph, [392.0, 626.0, 162.0, 18.0], dX82GsEwYz, 6516375]
[paragraph, [392.0, 644.0, 162.0, 18.0], dX82GsEwYz, 6516375]
[paragraph, [392.0, 662.0, 162.0, 18.0], dX82GsEwYz, 6516375]
[paragraph, [392.0, 680.0, 162.0, 18.0], dX82GsEwYz, 6516375]
[paragraph, [392.0, 698.0, 162.0, 18.0], dX82GsEwYz, 6516375]
[paragraph, [392.0, 716.0, 162.0, 18.0], dX82GsEwYz, 6516375]
[paragraph, [224.0, 650.0, 163.0, 18.0], eOqMR9GLJ1, 6516375]
[paragraph, [224.0, 668.0, 163.0, 18.0], eOqMR9GLJ1, 6516375]
[paragraph, [224.0, 698.0, 162.0, 18.0], CoOUZBOv8L, 6516375]
[paragraph, [224.0, 716.0, 162.0, 18.0], CoOUZBOv8L, 6516375]
