[2339, 1653]
[paragraph, [239.0, 244.0, 1175.0, 36.0], shoonya_0sBOPBQ96POGG0, 5685971]
[paragraph, [239.0, 280.0, 1175.0, 36.0], shoonya_0sBOPBQ96POGG0, 5685971]
[paragraph, [239.0, 316.0, 1175.0, 36.0], shoonya_0sBOPBQ96POGG0, 5685971]
[paragraph, [239.0, 352.0, 1175.0, 36.0], shoonya_0sBOPBQ96POGG0, 5685971]
[paragraph, [239.0, 388.0, 1175.0, 36.0], shoonya_0sBOPBQ96POGG0, 5685971]
[paragraph, [239.0, 424.0, 1175.0, 36.0], shoonya_0sBOPBQ96POGG0, 5685971]
[paragraph, [239.0, 460.0, 1175.0, 36.0], shoonya_0sBOPBQ96POGG0, 5685971]
[paragraph, [239.0, 496.0, 1175.0, 36.0], shoonya_0sBOPBQ96POGG0, 5685971]
[paragraph, [239.0, 532.0, 1175.0, 36.0], shoonya_0sBOPBQ96POGG0, 5685971]
[paragraph, [239.0, 568.0, 1175.0, 36.0], shoonya_0sBOPBQ96POGG0, 5685971]
[paragraph, [239.0, 604.0, 1175.0, 36.0], shoonya_0sBOPBQ96POGG0, 5685971]
[paragraph, [239.0, 640.0, 1175.0, 36.0], shoonya_0sBOPBQ96POGG0, 5685971]
[paragraph, [239.0, 676.0, 1175.0, 36.0], shoonya_0sBOPBQ96POGG0, 5685971]
[paragraph, [239.0, 712.0, 1175.0, 36.0], shoonya_0sBOPBQ96POGG0, 5685971]
[paragraph, [239.0, 748.0, 1175.0, 36.0], shoonya_0sBOPBQ96POGG0, 5685971]
[paragraph, [239.0, 784.0, 1175.0, 36.0], shoonya_0sBOPBQ96POGG0, 5685971]
[paragraph, [239.0, 820.0, 1175.0, 36.0], shoonya_0sBOPBQ96POGG0, 5685971]
[paragraph, [239.0, 856.0, 1175.0, 36.0], shoonya_0sBOPBQ96POGG0, 5685971]
[paragraph, [239.0, 892.0, 1175.0, 36.0], shoonya_0sBOPBQ96POGG0, 5685971]
[paragraph, [239.0, 928.0, 1175.0, 36.0], shoonya_0sBOPBQ96POGG0, 5685971]
[paragraph, [239.0, 964.0, 1175.0, 36.0], shoonya_0sBOPBQ96POGG0, 5685971]
[paragraph, [239.0, 1000.0, 1175.0, 36.0], shoonya_0sBOPBQ96POGG0, 5685971]
[paragraph, [239.0, 1036.0, 1175.0, 36.0], shoonya_0sBOPBQ96POGG0, 5685971]
[paragraph, [239.0, 1072.0, 1175.0, 36.0], shoonya_0sBOPBQ96POGG0, 5685971]
[paragraph, [239.0, 1108.0, 1175.0, 36.0], shoonya_0sBOPBQ96POGG0, 5685971]
[paragraph, [239.0, 1144.0, 1175.0, 36.0], shoonya_0sBOPBQ96POGG0, 5685971]
[paragraph, [239.0, 1180.0, 1175.0, 36.0], shoonya_0sBOPBQ96POGG0, 5685971]
[paragraph, [239.0, 1216.0, 1175.0, 36.0], shoonya_0sBOPBQ96POGG0, 5685971]
[paragraph, [241.0, 1288.0, 1169.0, 36.0], shoonya_1sH2UK1MCZ945Y, 5685971]
[paragraph, [241.0, 1324.0, 1169.0, 36.0], shoonya_1sH2UK1MCZ945Y, 5685971]
[paragraph, [241.0, 1360.0, 1169.0, 36.0], shoonya_1sH2UK1MCZ945Y, 5685971]
[paragraph, [241.0, 1396.0, 1169.0, 36.0], shoonya_1sH2UK1MCZ945Y, 5685971]
[paragraph, [241.0, 1432.0, 1169.0, 36.0], shoonya_1sH2UK1MCZ945Y, 5685971]
[paragraph, [241.0, 1468.0, 1169.0, 36.0], shoonya_1sH2UK1MCZ945Y, 5685971]
[paragraph, [241.0, 1504.0, 1169.0, 36.0], shoonya_1sH2UK1MCZ945Y, 5685971]
[paragraph, [241.0, 1540.0, 1169.0, 36.0], shoonya_1sH2UK1MCZ945Y, 5685971]
[paragraph, [241.0, 1576.0, 1169.0, 36.0], shoonya_1sH2UK1MCZ945Y, 5685971]
[paragraph, [241.0, 1612.0, 1169.0, 36.0], shoonya_1sH2UK1MCZ945Y, 5685971]
[paragraph, [241.0, 1648.0, 1169.0, 36.0], shoonya_1sH2UK1MCZ945Y, 5685971]
[paragraph, [247.0, 1705.0, 1159.0, 36.0], shoonya_2sEF5AU8JP3VP0, 5685971]
[paragraph, [247.0, 1741.0, 1159.0, 36.0], shoonya_2sEF5AU8JP3VP0, 5685971]
[paragraph, [247.0, 1777.0, 1159.0, 36.0], shoonya_2sEF5AU8JP3VP0, 5685971]
[paragraph, [249.0, 1984.0, 1155.0, 36.0], shoonya_5sRZDIKVQ5EAZ4, 5685971]
[paragraph, [249.0, 2020.0, 1155.0, 36.0], shoonya_5sRZDIKVQ5EAZ4, 5685971]
[paragraph, [249.0, 2056.0, 1155.0, 36.0], shoonya_5sRZDIKVQ5EAZ4, 5685971]
