[1063, 680]
[chapter-title, [80.0, 236.0, 404.0, 30.0], shoonya_0sMQI6S2PUINLL, 5739800]
[chapter-title, [80.0, 266.0, 404.0, 30.0], shoonya_0sMQI6S2PUINLL, 5739800]
[paragraph, [64.0, 320.0, 539.0, 18.0], 4b3n5CLCSn, 5739800]
[paragraph, [64.0, 338.0, 539.0, 18.0], 4b3n5CLCSn, 5739800]
[paragraph, [64.0, 356.0, 539.0, 18.0], 4b3n5CLCSn, 5739800]
[paragraph, [64.0, 374.0, 539.0, 18.0], 4b3n5CLCSn, 5739800]
[paragraph, [64.0, 392.0, 539.0, 18.0], 4b3n5CLCSn, 5739800]
[paragraph, [64.0, 410.0, 539.0, 18.0], 4b3n5CLCSn, 5739800]
[paragraph, [64.0, 428.0, 539.0, 18.0], 4b3n5CLCSn, 5739800]
[paragraph, [64.0, 446.0, 539.0, 18.0], 4b3n5CLCSn, 5739800]
[paragraph, [64.0, 464.0, 539.0, 18.0], 4b3n5CLCSn, 5739800]
[paragraph, [64.0, 482.0, 539.0, 18.0], 4b3n5CLCSn, 5739800]
[paragraph, [64.0, 500.0, 539.0, 18.0], 4b3n5CLCSn, 5739800]
[paragraph, [64.0, 518.0, 539.0, 18.0], 4b3n5CLCSn, 5739800]
[paragraph, [64.0, 536.0, 539.0, 18.0], 4b3n5CLCSn, 5739800]
[paragraph, [64.0, 554.0, 539.0, 18.0], 4b3n5CLCSn, 5739800]
[paragraph, [64.0, 572.0, 539.0, 18.0], 4b3n5CLCSn, 5739800]
[paragraph, [64.0, 590.0, 539.0, 18.0], 4b3n5CLCSn, 5739800]
[paragraph, [64.0, 608.0, 539.0, 18.0], 4b3n5CLCSn, 5739800]
[paragraph, [64.0, 626.0, 539.0, 18.0], 4b3n5CLCSn, 5739800]
[paragraph, [64.0, 644.0, 539.0, 18.0], 4b3n5CLCSn, 5739800]
[paragraph, [64.0, 662.0, 539.0, 18.0], 4b3n5CLCSn, 5739800]
[paragraph, [64.0, 680.0, 539.0, 18.0], 4b3n5CLCSn, 5739800]
[paragraph, [64.0, 698.0, 539.0, 18.0], 4b3n5CLCSn, 5739800]
[paragraph, [64.0, 716.0, 539.0, 18.0], 4b3n5CLCSn, 5739800]
[paragraph, [64.0, 734.0, 539.0, 18.0], 4b3n5CLCSn, 5739800]
[paragraph, [64.0, 752.0, 539.0, 18.0], 4b3n5CLCSn, 5739800]
[paragraph, [64.0, 770.0, 539.0, 18.0], 4b3n5CLCSn, 5739800]
[paragraph, [64.0, 788.0, 539.0, 18.0], 4b3n5CLCSn, 5739800]
[paragraph, [64.0, 806.0, 539.0, 18.0], 4b3n5CLCSn, 5739800]
[paragraph, [64.0, 824.0, 539.0, 18.0], 4b3n5CLCSn, 5739800]
[paragraph, [54.0, 864.0, 551.0, 18.0], __u7YBTbrP, 5739800]
[paragraph, [54.0, 882.0, 551.0, 18.0], __u7YBTbrP, 5739800]
[paragraph, [54.0, 900.0, 551.0, 18.0], __u7YBTbrP, 5739800]
[paragraph, [54.0, 918.0, 551.0, 18.0], __u7YBTbrP, 5739800]
[paragraph, [54.0, 936.0, 551.0, 18.0], __u7YBTbrP, 5739800]
[paragraph, [54.0, 954.0, 551.0, 18.0], __u7YBTbrP, 5739800]
[paragraph, [54.0, 972.0, 551.0, 18.0], __u7YBTbrP, 5739800]
[paragraph, [54.0, 990.0, 551.0, 18.0], __u7YBTbrP, 5739800]
[footnote, [465.0, 1017.0, 173.0, 18.0], shoonya_1s1LLL2ZZKQV4Q, 5739800]
