[591, 402]
[section-title, [28.0, 98.0, 337.0, 30.0], __qOcTEeg5, 6495135]
[section-title, [28.0, 128.0, 337.0, 30.0], __qOcTEeg5, 6495135]
[paragraph, [19.0, 176.0, 355.0, 18.0], shoonya_0sKMB3NW160BYI, 6495135]
[paragraph, [19.0, 194.0, 355.0, 18.0], shoonya_0sKMB3NW160BYI, 6495135]
[paragraph, [19.0, 212.0, 355.0, 18.0], shoonya_0sKMB3NW160BYI, 6495135]
[paragraph, [19.0, 230.0, 355.0, 18.0], shoonya_0sKMB3NW160BYI, 6495135]
[paragraph, [19.0, 248.0, 355.0, 18.0], shoonya_0sKMB3NW160BYI, 6495135]
[paragraph, [19.0, 266.0, 355.0, 18.0], shoonya_0sKMB3NW160BYI, 6495135]
[paragraph, [21.0, 288.0, 346.0, 18.0], GbY2aRXNaq, 6495135]
[paragraph, [21.0, 306.0, 346.0, 18.0], GbY2aRXNaq, 6495135]
[paragraph, [21.0, 324.0, 346.0, 18.0], GbY2aRXNaq, 6495135]
[paragraph, [21.0, 342.0, 346.0, 18.0], GbY2aRXNaq, 6495135]
[paragraph, [21.0, 360.0, 346.0, 18.0], GbY2aRXNaq, 6495135]
[paragraph, [21.0, 378.0, 346.0, 18.0], GbY2aRXNaq, 6495135]
[paragraph, [21.0, 396.0, 346.0, 18.0], GbY2aRXNaq, 6495135]
[paragraph, [21.0, 414.0, 346.0, 18.0], GbY2aRXNaq, 6495135]
[paragraph, [21.0, 432.0, 346.0, 18.0], GbY2aRXNaq, 6495135]
[paragraph, [21.0, 450.0, 346.0, 18.0], GbY2aRXNaq, 6495135]
[paragraph, [21.0, 468.0, 346.0, 18.0], GbY2aRXNaq, 6495135]
[paragraph, [21.0, 486.0, 346.0, 18.0], GbY2aRXNaq, 6495135]
[paragraph, [21.0, 504.0, 346.0, 18.0], GbY2aRXNaq, 6495135]
[paragraph, [21.0, 522.0, 346.0, 18.0], GbY2aRXNaq, 6495135]
