[1987, 1270]
[paragraph, [127.0, 198.0, 1013.0, 36.0], shoonya_1sCOWZRB8KSZN8, 5683388]
[paragraph, [127.0, 234.0, 1013.0, 36.0], shoonya_1sCOWZRB8KSZN8, 5683388]
[paragraph, [127.0, 270.0, 1013.0, 36.0], shoonya_1sCOWZRB8KSZN8, 5683388]
[paragraph, [127.0, 306.0, 1013.0, 36.0], shoonya_1sCOWZRB8KSZN8, 5683388]
[paragraph, [127.0, 342.0, 1013.0, 36.0], shoonya_1sCOWZRB8KSZN8, 5683388]
[paragraph, [127.0, 378.0, 1013.0, 36.0], shoonya_1sCOWZRB8KSZN8, 5683388]
[paragraph, [127.0, 414.0, 1013.0, 36.0], shoonya_1sCOWZRB8KSZN8, 5683388]
[paragraph, [129.0, 467.0, 1011.0, 36.0], shoonya_7sDDOF6IRIDK29, 5683388]
[paragraph, [129.0, 503.0, 1011.0, 36.0], shoonya_7sDDOF6IRIDK29, 5683388]
[paragraph, [129.0, 539.0, 1011.0, 36.0], shoonya_7sDDOF6IRIDK29, 5683388]
[paragraph, [129.0, 575.0, 1011.0, 36.0], shoonya_7sDDOF6IRIDK29, 5683388]
[paragraph, [129.0, 611.0, 1011.0, 36.0], shoonya_7sDDOF6IRIDK29, 5683388]
[paragraph, [129.0, 647.0, 1011.0, 36.0], shoonya_7sDDOF6IRIDK29, 5683388]
[paragraph, [129.0, 683.0, 1011.0, 36.0], shoonya_7sDDOF6IRIDK29, 5683388]
[paragraph, [129.0, 719.0, 1011.0, 36.0], shoonya_7sDDOF6IRIDK29, 5683388]
[paragraph, [129.0, 755.0, 1011.0, 36.0], shoonya_7sDDOF6IRIDK29, 5683388]
[paragraph, [129.0, 791.0, 1011.0, 36.0], shoonya_7sDDOF6IRIDK29, 5683388]
[paragraph, [129.0, 827.0, 1011.0, 36.0], shoonya_7sDDOF6IRIDK29, 5683388]
[paragraph, [129.0, 863.0, 1011.0, 36.0], shoonya_7sDDOF6IRIDK29, 5683388]
[paragraph, [129.0, 899.0, 1011.0, 36.0], shoonya_7sDDOF6IRIDK29, 5683388]
[paragraph, [129.0, 935.0, 1011.0, 36.0], shoonya_7sDDOF6IRIDK29, 5683388]
[paragraph, [129.0, 971.0, 1011.0, 36.0], shoonya_7sDDOF6IRIDK29, 5683388]
[paragraph, [129.0, 1007.0, 1011.0, 36.0], shoonya_7sDDOF6IRIDK29, 5683388]
[paragraph, [129.0, 1043.0, 1011.0, 36.0], shoonya_7sDDOF6IRIDK29, 5683388]
[paragraph, [129.0, 1079.0, 1011.0, 36.0], shoonya_7sDDOF6IRIDK29, 5683388]
[paragraph, [129.0, 1115.0, 1011.0, 36.0], shoonya_7sDDOF6IRIDK29, 5683388]
[paragraph, [129.0, 1151.0, 1011.0, 36.0], shoonya_7sDDOF6IRIDK29, 5683388]
[paragraph, [129.0, 1187.0, 1011.0, 36.0], shoonya_7sDDOF6IRIDK29, 5683388]
[paragraph, [132.0, 1248.0, 1005.0, 36.0], shoonya_2s3D2SV77YMPF0, 5683388]
[paragraph, [132.0, 1284.0, 1005.0, 36.0], shoonya_2s3D2SV77YMPF0, 5683388]
[paragraph, [132.0, 1320.0, 1005.0, 36.0], shoonya_2s3D2SV77YMPF0, 5683388]
[paragraph, [132.0, 1356.0, 1005.0, 36.0], shoonya_2s3D2SV77YMPF0, 5683388]
[paragraph, [132.0, 1392.0, 1005.0, 36.0], shoonya_2s3D2SV77YMPF0, 5683388]
[paragraph, [133.0, 1453.0, 1006.0, 36.0], shoonya_4sC47DHS4K9SWV, 5683388]
[paragraph, [133.0, 1489.0, 1006.0, 36.0], shoonya_4sC47DHS4K9SWV, 5683388]
[paragraph, [128.0, 1558.0, 1008.0, 36.0], shoonya_0s683JOYV4ZJWB, 5683388]
[paragraph, [128.0, 1594.0, 1008.0, 36.0], shoonya_0s683JOYV4ZJWB, 5683388]
[paragraph, [128.0, 1630.0, 1008.0, 36.0], shoonya_0s683JOYV4ZJWB, 5683388]
[paragraph, [128.0, 1666.0, 1008.0, 36.0], shoonya_0s683JOYV4ZJWB, 5683388]
[paragraph, [128.0, 1702.0, 1008.0, 36.0], shoonya_0s683JOYV4ZJWB, 5683388]
[paragraph, [128.0, 1738.0, 1008.0, 36.0], shoonya_0s683JOYV4ZJWB, 5683388]
[paragraph, [128.0, 1774.0, 1008.0, 36.0], shoonya_0s683JOYV4ZJWB, 5683388]
[paragraph, [128.0, 1810.0, 1008.0, 36.0], shoonya_0s683JOYV4ZJWB, 5683388]
