[1787, 1218]
[paragraph, [66.0, 86.0, 1082.0, 36.0], PDz6EwQ7xY, 5651298]
[paragraph, [66.0, 122.0, 1082.0, 36.0], PDz6EwQ7xY, 5651298]
[paragraph, [66.0, 158.0, 1082.0, 36.0], PDz6EwQ7xY, 5651298]
[paragraph, [66.0, 194.0, 1082.0, 36.0], PDz6EwQ7xY, 5651298]
[paragraph, [66.0, 230.0, 1082.0, 36.0], PDz6EwQ7xY, 5651298]
[paragraph, [66.0, 266.0, 1082.0, 36.0], PDz6EwQ7xY, 5651298]
[paragraph, [66.0, 302.0, 1082.0, 36.0], PDz6EwQ7xY, 5651298]
[paragraph, [66.0, 338.0, 1082.0, 36.0], PDz6EwQ7xY, 5651298]
[paragraph, [66.0, 374.0, 1082.0, 36.0], PDz6EwQ7xY, 5651298]
[paragraph, [66.0, 410.0, 1082.0, 36.0], PDz6EwQ7xY, 5651298]
[paragraph, [66.0, 446.0, 1082.0, 36.0], PDz6EwQ7xY, 5651298]
[paragraph, [66.0, 482.0, 1082.0, 36.0], PDz6EwQ7xY, 5651298]
[paragraph, [66.0, 518.0, 1082.0, 36.0], PDz6EwQ7xY, 5651298]
[paragraph, [66.0, 554.0, 1082.0, 36.0], PDz6EwQ7xY, 5651298]
[paragraph, [66.0, 590.0, 1082.0, 36.0], PDz6EwQ7xY, 5651298]
[paragraph, [66.0, 626.0, 1082.0, 36.0], PDz6EwQ7xY, 5651298]
[paragraph, [66.0, 662.0, 1082.0, 36.0], PDz6EwQ7xY, 5651298]
[paragraph, [66.0, 698.0, 1082.0, 36.0], PDz6EwQ7xY, 5651298]
[paragraph, [66.0, 734.0, 1082.0, 36.0], PDz6EwQ7xY, 5651298]
[paragraph, [66.0, 770.0, 1082.0, 36.0], PDz6EwQ7xY, 5651298]
[paragraph, [66.0, 806.0, 1082.0, 36.0], PDz6EwQ7xY, 5651298]
[paragraph, [66.0, 842.0, 1082.0, 36.0], PDz6EwQ7xY, 5651298]
[paragraph, [66.0, 878.0, 1082.0, 36.0], PDz6EwQ7xY, 5651298]
[paragraph, [66.0, 914.0, 1082.0, 36.0], PDz6EwQ7xY, 5651298]
[paragraph, [66.0, 950.0, 1082.0, 36.0], PDz6EwQ7xY, 5651298]
[paragraph, [66.0, 986.0, 1082.0, 36.0], PDz6EwQ7xY, 5651298]
[paragraph, [66.0, 1022.0, 1082.0, 36.0], PDz6EwQ7xY, 5651298]
[paragraph, [66.0, 1058.0, 1082.0, 36.0], PDz6EwQ7xY, 5651298]
[paragraph, [66.0, 1094.0, 1082.0, 36.0], PDz6EwQ7xY, 5651298]
[paragraph, [66.0, 1130.0, 1082.0, 36.0], PDz6EwQ7xY, 5651298]
[paragraph, [86.0, 1178.0, 1060.0, 36.0], shoonya_0sXOTKEHMUS3D7, 5651298]
[paragraph, [86.0, 1214.0, 1060.0, 36.0], shoonya_0sXOTKEHMUS3D7, 5651298]
[paragraph, [86.0, 1250.0, 1060.0, 36.0], shoonya_0sXOTKEHMUS3D7, 5651298]
[paragraph, [86.0, 1286.0, 1060.0, 36.0], shoonya_0sXOTKEHMUS3D7, 5651298]
[paragraph, [86.0, 1322.0, 1060.0, 36.0], shoonya_0sXOTKEHMUS3D7, 5651298]
[paragraph, [86.0, 1358.0, 1060.0, 36.0], shoonya_0sXOTKEHMUS3D7, 5651298]
[paragraph, [86.0, 1394.0, 1060.0, 36.0], shoonya_0sXOTKEHMUS3D7, 5651298]
[paragraph, [86.0, 1430.0, 1060.0, 36.0], shoonya_0sXOTKEHMUS3D7, 5651298]
[paragraph, [86.0, 1466.0, 1060.0, 36.0], shoonya_0sXOTKEHMUS3D7, 5651298]
[paragraph, [86.0, 1502.0, 1060.0, 36.0], shoonya_0sXOTKEHMUS3D7, 5651298]
[paragraph, [86.0, 1538.0, 1060.0, 36.0], shoonya_0sXOTKEHMUS3D7, 5651298]
[paragraph, [112.0, 1566.0, 1006.0, 36.0], nVWrkzP1Io, 5651298]
[footnote, [441.0, 1648.0, 223.0, 36.0], N5yhN6nj-s, 5651298]
