[2339, 1654]
[paragraph, [298.0, 198.0, 1079.0, 36.0], shoonya_7sH8L27EKXPSRV, 5751082]
[paragraph, [298.0, 234.0, 1079.0, 36.0], shoonya_7sH8L27EKXPSRV, 5751082]
[paragraph, [194.0, 316.0, 1269.0, 36.0], qhjdz8l-Pl, 5751082]
[paragraph, [194.0, 352.0, 1269.0, 36.0], qhjdz8l-Pl, 5751082]
[paragraph, [194.0, 388.0, 1269.0, 36.0], qhjdz8l-Pl, 5751082]
[paragraph, [194.0, 424.0, 1269.0, 36.0], qhjdz8l-Pl, 5751082]
[paragraph, [292.0, 523.0, 912.0, 36.0], shoonya_5s4OOBC8OV24SU, 5751082]
[paragraph, [292.0, 559.0, 912.0, 36.0], shoonya_5s4OOBC8OV24SU, 5751082]
[paragraph, [183.0, 646.0, 1288.0, 36.0], shoonya_1sWKLGVBU6ZQY4, 5751082]
[paragraph, [183.0, 682.0, 1288.0, 36.0], shoonya_1sWKLGVBU6ZQY4, 5751082]
[paragraph, [183.0, 718.0, 1288.0, 36.0], shoonya_1sWKLGVBU6ZQY4, 5751082]
[paragraph, [183.0, 754.0, 1288.0, 36.0], shoonya_1sWKLGVBU6ZQY4, 5751082]
[paragraph, [183.0, 790.0, 1288.0, 36.0], shoonya_1sWKLGVBU6ZQY4, 5751082]
[paragraph, [183.0, 826.0, 1288.0, 36.0], shoonya_1sWKLGVBU6ZQY4, 5751082]
[paragraph, [183.0, 862.0, 1288.0, 36.0], shoonya_1sWKLGVBU6ZQY4, 5751082]
[paragraph, [183.0, 898.0, 1288.0, 36.0], shoonya_1sWKLGVBU6ZQY4, 5751082]
[paragraph, [183.0, 934.0, 1288.0, 36.0], shoonya_1sWKLGVBU6ZQY4, 5751082]
[paragraph, [183.0, 970.0, 1288.0, 36.0], shoonya_1sWKLGVBU6ZQY4, 5751082]
[paragraph, [183.0, 1006.0, 1288.0, 36.0], shoonya_1sWKLGVBU6ZQY4, 5751082]
[paragraph, [183.0, 1042.0, 1288.0, 36.0], shoonya_1sWKLGVBU6ZQY4, 5751082]
[paragraph, [183.0, 1078.0, 1288.0, 36.0], shoonya_1sWKLGVBU6ZQY4, 5751082]
[paragraph, [183.0, 1114.0, 1288.0, 36.0], shoonya_1sWKLGVBU6ZQY4, 5751082]
[paragraph, [292.0, 1220.0, 498.0, 36.0], shoonya_6s8OD3YS71N0AM, 5751082]
[paragraph, [182.0, 1337.0, 1291.0, 36.0], shoonya_0sAR80XRGDTHO1, 5751082]
[paragraph, [182.0, 1373.0, 1291.0, 36.0], shoonya_0sAR80XRGDTHO1, 5751082]
[paragraph, [182.0, 1409.0, 1291.0, 36.0], shoonya_0sAR80XRGDTHO1, 5751082]
[paragraph, [182.0, 1445.0, 1291.0, 36.0], shoonya_0sAR80XRGDTHO1, 5751082]
[paragraph, [182.0, 1481.0, 1291.0, 36.0], shoonya_0sAR80XRGDTHO1, 5751082]
[paragraph, [182.0, 1517.0, 1291.0, 36.0], shoonya_0sAR80XRGDTHO1, 5751082]
[paragraph, [182.0, 1553.0, 1291.0, 36.0], shoonya_0sAR80XRGDTHO1, 5751082]
[paragraph, [182.0, 1589.0, 1291.0, 36.0], shoonya_0sAR80XRGDTHO1, 5751082]
[paragraph, [182.0, 1625.0, 1291.0, 36.0], shoonya_0sAR80XRGDTHO1, 5751082]
[paragraph, [182.0, 1661.0, 1291.0, 36.0], shoonya_0sAR80XRGDTHO1, 5751082]
[paragraph, [182.0, 1697.0, 1291.0, 36.0], shoonya_0sAR80XRGDTHO1, 5751082]
[paragraph, [182.0, 1733.0, 1291.0, 36.0], shoonya_0sAR80XRGDTHO1, 5751082]
[paragraph, [182.0, 1769.0, 1291.0, 36.0], shoonya_0sAR80XRGDTHO1, 5751082]
[paragraph, [182.0, 1805.0, 1291.0, 36.0], shoonya_0sAR80XRGDTHO1, 5751082]
[paragraph, [182.0, 1841.0, 1291.0, 36.0], shoonya_0sAR80XRGDTHO1, 5751082]
[paragraph, [182.0, 1877.0, 1291.0, 36.0], shoonya_0sAR80XRGDTHO1, 5751082]
[paragraph, [182.0, 1913.0, 1291.0, 36.0], shoonya_0sAR80XRGDTHO1, 5751082]
[paragraph, [182.0, 1949.0, 1291.0, 36.0], shoonya_0sAR80XRGDTHO1, 5751082]
[paragraph, [182.0, 1985.0, 1291.0, 36.0], shoonya_0sAR80XRGDTHO1, 5751082]
[folio, [187.0, 2165.0, 260.0, 36.0], FzCmRc7kKt, 5751082]
