[515, 727]
[section-title, [596.0, 205.0, 97.0, 30.0], shoonya_0sR5S8TIIR5ICA, 6533946]
[paragraph, [432.0, 256.0, 266.0, 18.0], IjnuvxK3NF, 6533946]
[paragraph, [432.0, 274.0, 266.0, 18.0], IjnuvxK3NF, 6533946]
[paragraph, [432.0, 292.0, 266.0, 18.0], IjnuvxK3NF, 6533946]
[paragraph, [432.0, 310.0, 266.0, 18.0], IjnuvxK3NF, 6533946]
[paragraph, [432.0, 328.0, 266.0, 18.0], IjnuvxK3NF, 6533946]
[paragraph, [433.0, 359.0, 270.0, 18.0], Yx2odA60CI, 6533946]
[paragraph, [433.0, 377.0, 270.0, 18.0], Yx2odA60CI, 6533946]
[paragraph, [433.0, 395.0, 270.0, 18.0], Yx2odA60CI, 6533946]
[paragraph, [432.0, 422.0, 270.0, 18.0], SJ6FgmpEoE, 6533946]
[paragraph, [432.0, 440.0, 270.0, 18.0], SJ6FgmpEoE, 6533946]
