[921, 612]
[folio, [275.0, 160.0, 140.0, 18.0], yZfVY37WMe, 6460250]
[paragraph, [172.0, 204.0, 351.0, 18.0], shoonya_1sWH3Y6QWUINID, 6460250]
[paragraph, [172.0, 222.0, 351.0, 18.0], shoonya_1sWH3Y6QWUINID, 6460250]
[paragraph, [172.0, 240.0, 351.0, 18.0], shoonya_1sWH3Y6QWUINID, 6460250]
[paragraph, [172.0, 258.0, 351.0, 18.0], shoonya_1sWH3Y6QWUINID, 6460250]
[paragraph, [172.0, 276.0, 351.0, 18.0], shoonya_1sWH3Y6QWUINID, 6460250]
[paragraph, [172.0, 294.0, 351.0, 18.0], shoonya_1sWH3Y6QWUINID, 6460250]
[paragraph, [172.0, 312.0, 351.0, 18.0], shoonya_1sWH3Y6QWUINID, 6460250]
[paragraph, [172.0, 330.0, 351.0, 18.0], shoonya_1sWH3Y6QWUINID, 6460250]
[paragraph, [172.0, 348.0, 351.0, 18.0], shoonya_1sWH3Y6QWUINID, 6460250]
[paragraph, [172.0, 366.0, 351.0, 18.0], shoonya_1sWH3Y6QWUINID, 6460250]
[paragraph, [172.0, 384.0, 351.0, 18.0], shoonya_1sWH3Y6QWUINID, 6460250]
[paragraph, [172.0, 402.0, 351.0, 18.0], shoonya_1sWH3Y6QWUINID, 6460250]
[paragraph, [172.0, 420.0, 351.0, 18.0], shoonya_1sWH3Y6QWUINID, 6460250]
[paragraph, [172.0, 438.0, 351.0, 18.0], shoonya_1sWH3Y6QWUINID, 6460250]
[paragraph, [177.0, 473.0, 348.0, 18.0], gByW7eWBXp, 6460250]
[paragraph, [177.0, 491.0, 348.0, 18.0], gByW7eWBXp, 6460250]
[paragraph, [177.0, 509.0, 348.0, 18.0], gByW7eWBXp, 6460250]
[paragraph, [177.0, 527.0, 348.0, 18.0], gByW7eWBXp, 6460250]
[paragraph, [177.0, 545.0, 348.0, 18.0], gByW7eWBXp, 6460250]
[paragraph, [177.0, 563.0, 348.0, 18.0], gByW7eWBXp, 6460250]
[paragraph, [177.0, 581.0, 348.0, 18.0], gByW7eWBXp, 6460250]
[paragraph, [177.0, 599.0, 348.0, 18.0], gByW7eWBXp, 6460250]
[paragraph, [177.0, 617.0, 348.0, 18.0], gByW7eWBXp, 6460250]
[paragraph, [177.0, 635.0, 348.0, 18.0], gByW7eWBXp, 6460250]
[paragraph, [169.0, 663.0, 359.0, 18.0], shoonya_2sWAJUEAU9G4G9, 6460250]
[paragraph, [169.0, 681.0, 359.0, 18.0], shoonya_2sWAJUEAU9G4G9, 6460250]
[paragraph, [169.0, 699.0, 359.0, 18.0], shoonya_2sWAJUEAU9G4G9, 6460250]
[paragraph, [169.0, 717.0, 359.0, 18.0], shoonya_2sWAJUEAU9G4G9, 6460250]
[paragraph, [169.0, 735.0, 359.0, 18.0], shoonya_2sWAJUEAU9G4G9, 6460250]
