[579, 396]
[section-title, [115.0, 49.0, 157.0, 30.0], shoonya_0sJTYFHUML5F88, 6496505]
[paragraph, [117.0, 97.0, 105.0, 18.0], elVM4DSKKf, 6496505]
[paragraph, [114.0, 133.0, 145.0, 18.0], Y1emf6oYfX, 6496505]
[paragraph, [114.0, 151.0, 145.0, 18.0], Y1emf6oYfX, 6496505]
[paragraph, [114.0, 169.0, 145.0, 18.0], Y1emf6oYfX, 6496505]
[paragraph, [117.0, 207.0, 249.0, 18.0], Qb5CEbxjIV, 6496505]
[paragraph, [117.0, 225.0, 249.0, 18.0], Qb5CEbxjIV, 6496505]
[paragraph, [117.0, 243.0, 249.0, 18.0], Qb5CEbxjIV, 6496505]
[paragraph, [117.0, 261.0, 249.0, 18.0], Qb5CEbxjIV, 6496505]
[paragraph, [119.0, 313.0, 215.0, 18.0], rTDEK_0Pjo, 6496505]
[paragraph, [119.0, 331.0, 215.0, 18.0], rTDEK_0Pjo, 6496505]
[paragraph, [119.0, 349.0, 215.0, 18.0], rTDEK_0Pjo, 6496505]
[paragraph, [119.0, 367.0, 215.0, 18.0], rTDEK_0Pjo, 6496505]
[paragraph, [119.0, 385.0, 215.0, 18.0], rTDEK_0Pjo, 6496505]
[paragraph, [119.0, 403.0, 215.0, 18.0], rTDEK_0Pjo, 6496505]
[paragraph, [119.0, 421.0, 215.0, 18.0], rTDEK_0Pjo, 6496505]
[paragraph, [122.0, 455.0, 140.0, 18.0], QS0qychs6q, 6496505]
[paragraph, [122.0, 473.0, 140.0, 18.0], QS0qychs6q, 6496505]
[folio, [188.0, 545.0, 102.0, 18.0], EVGRyJ0C4_, 6496505]
