[1356, 844]
[folio, [80.0, 66.0, 138.0, 18.0], CesMEBjxlr, 5782414]
[folio, [80.0, 84.0, 138.0, 18.0], CesMEBjxlr, 5782414]
[folio, [80.0, 102.0, 138.0, 18.0], CesMEBjxlr, 5782414]
[folio, [266.0, 127.0, 271.0, 18.0], qU7_eBoXwL, 5782414]
[figure-caption, [281.0, 636.0, 246.0, 18.0], UHam5kae7r, 5782414]
[figure-caption, [440.0, 664.0, 232.0, 18.0], h6Eusltc8i, 5782414]
[figure-caption, [440.0, 682.0, 232.0, 18.0], h6Eusltc8i, 5782414]
[figure-caption, [440.0, 700.0, 232.0, 18.0], h6Eusltc8i, 5782414]
[figure-caption, [440.0, 718.0, 232.0, 18.0], h6Eusltc8i, 5782414]
[figure-caption, [440.0, 736.0, 232.0, 18.0], h6Eusltc8i, 5782414]
[figure-caption, [440.0, 754.0, 232.0, 18.0], h6Eusltc8i, 5782414]
[figure-caption, [440.0, 772.0, 232.0, 18.0], h6Eusltc8i, 5782414]
[figure-caption, [440.0, 790.0, 232.0, 18.0], h6Eusltc8i, 5782414]
[figure-caption, [136.0, 667.0, 224.0, 18.0], shoonya_3sPL3UOT4U61NW, 5782414]
[figure-caption, [136.0, 685.0, 224.0, 18.0], shoonya_3sPL3UOT4U61NW, 5782414]
[figure-caption, [136.0, 703.0, 224.0, 18.0], shoonya_3sPL3UOT4U61NW, 5782414]
[figure-caption, [136.0, 721.0, 224.0, 18.0], shoonya_3sPL3UOT4U61NW, 5782414]
[figure-caption, [136.0, 739.0, 224.0, 18.0], shoonya_3sPL3UOT4U61NW, 5782414]
[figure-caption, [136.0, 757.0, 224.0, 18.0], shoonya_3sPL3UOT4U61NW, 5782414]
[figure-caption, [136.0, 775.0, 224.0, 18.0], shoonya_3sPL3UOT4U61NW, 5782414]
[sidebar, [617.0, 815.0, 97.0, 18.0], mOQbmy_qmY, 5782414]
[figure-caption, [163.0, 826.0, 458.0, 18.0], HFRc6IsMQI, 5782414]
[paragraph, [74.0, 877.0, 652.0, 18.0], shoonya_2sAOZ5ZEVIOLJH, 5782414]
[paragraph, [74.0, 895.0, 652.0, 18.0], shoonya_2sAOZ5ZEVIOLJH, 5782414]
[paragraph, [74.0, 913.0, 652.0, 18.0], shoonya_2sAOZ5ZEVIOLJH, 5782414]
[paragraph, [74.0, 931.0, 652.0, 18.0], shoonya_2sAOZ5ZEVIOLJH, 5782414]
[ordered-list, [72.0, 962.0, 655.0, 18.0], shoonya_5sUYP9UO59XN6K, 5782414]
[ordered-list, [72.0, 980.0, 655.0, 18.0], shoonya_5sUYP9UO59XN6K, 5782414]
[ordered-list, [72.0, 998.0, 655.0, 18.0], shoonya_5sUYP9UO59XN6K, 5782414]
[ordered-list, [72.0, 1016.0, 655.0, 18.0], shoonya_5sUYP9UO59XN6K, 5782414]
[ordered-list, [72.0, 1034.0, 655.0, 18.0], shoonya_5sUYP9UO59XN6K, 5782414]
[ordered-list, [72.0, 1052.0, 655.0, 18.0], shoonya_5sUYP9UO59XN6K, 5782414]
[ordered-list, [72.0, 1070.0, 655.0, 18.0], shoonya_5sUYP9UO59XN6K, 5782414]
[ordered-list, [72.0, 1088.0, 655.0, 18.0], shoonya_5sUYP9UO59XN6K, 5782414]
[ordered-list, [72.0, 1106.0, 655.0, 18.0], shoonya_5sUYP9UO59XN6K, 5782414]
[ordered-list, [72.0, 1124.0, 655.0, 18.0], shoonya_5sUYP9UO59XN6K, 5782414]
[ordered-list, [72.0, 1142.0, 655.0, 18.0], shoonya_5sUYP9UO59XN6K, 5782414]
[ordered-list, [72.0, 1160.0, 655.0, 18.0], shoonya_5sUYP9UO59XN6K, 5782414]
[ordered-list, [72.0, 1178.0, 655.0, 18.0], shoonya_5sUYP9UO59XN6K, 5782414]
[ordered-list, [72.0, 1196.0, 655.0, 18.0], shoonya_5sUYP9UO59XN6K, 5782414]
[ordered-list, [72.0, 1214.0, 655.0, 18.0], shoonya_5sUYP9UO59XN6K, 5782414]
