[720, 504]
[paragraph, [259.0, 104.0, 197.0, 18.0], shoonya_0sUJI1T8K6L57J, 5650720]
[paragraph, [259.0, 122.0, 197.0, 18.0], shoonya_0sUJI1T8K6L57J, 5650720]
[paragraph, [259.0, 140.0, 197.0, 18.0], shoonya_0sUJI1T8K6L57J, 5650720]
[paragraph, [259.0, 158.0, 197.0, 18.0], shoonya_0sUJI1T8K6L57J, 5650720]
[paragraph, [259.0, 176.0, 197.0, 18.0], shoonya_0sUJI1T8K6L57J, 5650720]
[paragraph, [259.0, 194.0, 197.0, 18.0], shoonya_0sUJI1T8K6L57J, 5650720]
[paragraph, [259.0, 212.0, 197.0, 18.0], shoonya_0sUJI1T8K6L57J, 5650720]
[paragraph, [259.0, 230.0, 197.0, 18.0], shoonya_0sUJI1T8K6L57J, 5650720]
[paragraph, [259.0, 248.0, 197.0, 18.0], shoonya_0sUJI1T8K6L57J, 5650720]
[paragraph, [259.0, 266.0, 197.0, 18.0], shoonya_0sUJI1T8K6L57J, 5650720]
[paragraph, [259.0, 284.0, 197.0, 18.0], shoonya_0sUJI1T8K6L57J, 5650720]
[paragraph, [259.0, 302.0, 197.0, 18.0], shoonya_0sUJI1T8K6L57J, 5650720]
[paragraph, [259.0, 320.0, 197.0, 18.0], shoonya_0sUJI1T8K6L57J, 5650720]
[paragraph, [259.0, 338.0, 197.0, 18.0], shoonya_0sUJI1T8K6L57J, 5650720]
[paragraph, [259.0, 356.0, 197.0, 18.0], shoonya_0sUJI1T8K6L57J, 5650720]
[paragraph, [259.0, 374.0, 197.0, 18.0], shoonya_0sUJI1T8K6L57J, 5650720]
[paragraph, [259.0, 392.0, 197.0, 18.0], shoonya_0sUJI1T8K6L57J, 5650720]
[paragraph, [259.0, 410.0, 197.0, 18.0], shoonya_0sUJI1T8K6L57J, 5650720]
[paragraph, [47.0, 107.0, 199.0, 18.0], shoonya_1sLN2MHG2T3JCJ, 5650720]
[paragraph, [47.0, 125.0, 199.0, 18.0], shoonya_1sLN2MHG2T3JCJ, 5650720]
[paragraph, [47.0, 143.0, 199.0, 18.0], shoonya_1sLN2MHG2T3JCJ, 5650720]
[paragraph, [47.0, 161.0, 199.0, 18.0], shoonya_1sLN2MHG2T3JCJ, 5650720]
[paragraph, [47.0, 179.0, 199.0, 18.0], shoonya_1sLN2MHG2T3JCJ, 5650720]
[paragraph, [47.0, 197.0, 199.0, 18.0], shoonya_1sLN2MHG2T3JCJ, 5650720]
[paragraph, [47.0, 215.0, 199.0, 18.0], shoonya_1sLN2MHG2T3JCJ, 5650720]
[paragraph, [47.0, 233.0, 199.0, 18.0], shoonya_1sLN2MHG2T3JCJ, 5650720]
[paragraph, [47.0, 251.0, 199.0, 18.0], shoonya_1sLN2MHG2T3JCJ, 5650720]
[paragraph, [47.0, 269.0, 199.0, 18.0], shoonya_1sLN2MHG2T3JCJ, 5650720]
[paragraph, [47.0, 287.0, 199.0, 18.0], shoonya_1sLN2MHG2T3JCJ, 5650720]
[paragraph, [47.0, 305.0, 199.0, 18.0], shoonya_1sLN2MHG2T3JCJ, 5650720]
[paragraph, [47.0, 323.0, 199.0, 18.0], shoonya_1sLN2MHG2T3JCJ, 5650720]
[paragraph, [47.0, 341.0, 199.0, 18.0], shoonya_1sLN2MHG2T3JCJ, 5650720]
[paragraph, [46.0, 360.0, 198.0, 18.0], shoonya_3sXDKE9I7FUSXJ, 5650720]
[paragraph, [46.0, 378.0, 198.0, 18.0], shoonya_3sXDKE9I7FUSXJ, 5650720]
[paragraph, [46.0, 396.0, 198.0, 18.0], shoonya_3sXDKE9I7FUSXJ, 5650720]
[paragraph, [59.0, 467.0, 384.0, 18.0], shoonya_2sOVZLDDTULGNY, 5650720]
[paragraph, [59.0, 485.0, 384.0, 18.0], shoonya_2sOVZLDDTULGNY, 5650720]
[paragraph, [59.0, 503.0, 384.0, 18.0], shoonya_2sOVZLDDTULGNY, 5650720]
[paragraph, [59.0, 521.0, 384.0, 18.0], shoonya_2sOVZLDDTULGNY, 5650720]
[paragraph, [59.0, 539.0, 384.0, 18.0], shoonya_2sOVZLDDTULGNY, 5650720]
[paragraph, [59.0, 557.0, 384.0, 18.0], shoonya_2sOVZLDDTULGNY, 5650720]
[paragraph, [59.0, 575.0, 384.0, 18.0], shoonya_2sOVZLDDTULGNY, 5650720]
[paragraph, [59.0, 593.0, 384.0, 18.0], shoonya_2sOVZLDDTULGNY, 5650720]
