[1244, 905]
[paragraph, [94.0, 77.0, 632.0, 18.0], shoonya_2sE53U07CRDE8F, 5776373]
[paragraph, [94.0, 95.0, 632.0, 18.0], shoonya_2sE53U07CRDE8F, 5776373]
[paragraph, [94.0, 113.0, 632.0, 18.0], shoonya_2sE53U07CRDE8F, 5776373]
[paragraph, [94.0, 131.0, 632.0, 18.0], shoonya_2sE53U07CRDE8F, 5776373]
[paragraph, [94.0, 149.0, 632.0, 18.0], shoonya_2sE53U07CRDE8F, 5776373]
[paragraph, [94.0, 167.0, 632.0, 18.0], shoonya_2sE53U07CRDE8F, 5776373]
[paragraph, [94.0, 185.0, 632.0, 18.0], shoonya_2sE53U07CRDE8F, 5776373]
[paragraph, [94.0, 203.0, 632.0, 18.0], shoonya_2sE53U07CRDE8F, 5776373]
[paragraph, [94.0, 221.0, 632.0, 18.0], shoonya_2sE53U07CRDE8F, 5776373]
[paragraph, [94.0, 239.0, 632.0, 18.0], shoonya_2sE53U07CRDE8F, 5776373]
[paragraph, [94.0, 257.0, 632.0, 18.0], shoonya_2sE53U07CRDE8F, 5776373]
[paragraph, [94.0, 275.0, 632.0, 18.0], shoonya_2sE53U07CRDE8F, 5776373]
[section-title, [303.0, 331.0, 221.0, 30.0], tCfcXmBP5z, 5776373]
[paragraph, [96.0, 401.0, 629.0, 18.0], shoonya_0s6XT8T53ZCXG5, 5776373]
[paragraph, [96.0, 419.0, 629.0, 18.0], shoonya_0s6XT8T53ZCXG5, 5776373]
[paragraph, [96.0, 437.0, 629.0, 18.0], shoonya_0s6XT8T53ZCXG5, 5776373]
[paragraph, [96.0, 455.0, 629.0, 18.0], shoonya_0s6XT8T53ZCXG5, 5776373]
[paragraph, [96.0, 473.0, 629.0, 18.0], shoonya_0s6XT8T53ZCXG5, 5776373]
[paragraph, [96.0, 491.0, 629.0, 18.0], shoonya_0s6XT8T53ZCXG5, 5776373]
[paragraph, [96.0, 509.0, 629.0, 18.0], shoonya_0s6XT8T53ZCXG5, 5776373]
[paragraph, [96.0, 527.0, 629.0, 18.0], shoonya_0s6XT8T53ZCXG5, 5776373]
[paragraph, [96.0, 545.0, 629.0, 18.0], shoonya_0s6XT8T53ZCXG5, 5776373]
[paragraph, [96.0, 563.0, 629.0, 18.0], shoonya_0s6XT8T53ZCXG5, 5776373]
[paragraph, [96.0, 581.0, 629.0, 18.0], shoonya_0s6XT8T53ZCXG5, 5776373]
[paragraph, [96.0, 599.0, 629.0, 18.0], shoonya_0s6XT8T53ZCXG5, 5776373]
[paragraph, [96.0, 617.0, 629.0, 18.0], shoonya_0s6XT8T53ZCXG5, 5776373]
[paragraph, [96.0, 635.0, 629.0, 18.0], shoonya_0s6XT8T53ZCXG5, 5776373]
[paragraph, [99.0, 656.0, 628.0, 18.0], shoonya_1sY0BUE2MRDUFW, 5776373]
[paragraph, [99.0, 674.0, 628.0, 18.0], shoonya_1sY0BUE2MRDUFW, 5776373]
[paragraph, [99.0, 692.0, 628.0, 18.0], shoonya_1sY0BUE2MRDUFW, 5776373]
[paragraph, [99.0, 710.0, 628.0, 18.0], shoonya_1sY0BUE2MRDUFW, 5776373]
[paragraph, [99.0, 728.0, 628.0, 18.0], shoonya_1sY0BUE2MRDUFW, 5776373]
[paragraph, [99.0, 746.0, 628.0, 18.0], shoonya_1sY0BUE2MRDUFW, 5776373]
[paragraph, [99.0, 764.0, 628.0, 18.0], shoonya_1sY0BUE2MRDUFW, 5776373]
[paragraph, [99.0, 782.0, 628.0, 18.0], shoonya_1sY0BUE2MRDUFW, 5776373]
[paragraph, [99.0, 800.0, 628.0, 18.0], shoonya_1sY0BUE2MRDUFW, 5776373]
[paragraph, [99.0, 818.0, 628.0, 18.0], shoonya_1sY0BUE2MRDUFW, 5776373]
[paragraph, [99.0, 836.0, 628.0, 18.0], shoonya_1sY0BUE2MRDUFW, 5776373]
[paragraph, [99.0, 854.0, 628.0, 18.0], shoonya_1sY0BUE2MRDUFW, 5776373]
[paragraph, [99.0, 872.0, 628.0, 18.0], shoonya_1sY0BUE2MRDUFW, 5776373]
[paragraph, [99.0, 890.0, 628.0, 18.0], shoonya_1sY0BUE2MRDUFW, 5776373]
[paragraph, [99.0, 908.0, 628.0, 18.0], shoonya_1sY0BUE2MRDUFW, 5776373]
[paragraph, [99.0, 926.0, 628.0, 18.0], shoonya_1sY0BUE2MRDUFW, 5776373]
[paragraph, [99.0, 944.0, 628.0, 18.0], shoonya_1sY0BUE2MRDUFW, 5776373]
[paragraph, [99.0, 962.0, 628.0, 18.0], shoonya_1sY0BUE2MRDUFW, 5776373]
[paragraph, [99.0, 980.0, 628.0, 18.0], shoonya_1sY0BUE2MRDUFW, 5776373]
[paragraph, [99.0, 998.0, 628.0, 18.0], shoonya_1sY0BUE2MRDUFW, 5776373]
[paragraph, [99.0, 1016.0, 628.0, 18.0], shoonya_1sY0BUE2MRDUFW, 5776373]
[paragraph, [99.0, 1034.0, 628.0, 18.0], shoonya_1sY0BUE2MRDUFW, 5776373]
[paragraph, [123.0, 1055.0, 606.0, 18.0], shoonya_4sIQEYP0KDQIZK, 5776373]
