[1492, 1000]
[folio, [362.0, 153.0, 300.0, 18.0], shoonya_2s4OB16D3X8C3Z, 5720739]
[paragraph, [134.0, 202.0, 742.0, 18.0], shoonya_1sVXVUAOYW2QBN, 5720739]
[paragraph, [134.0, 220.0, 742.0, 18.0], shoonya_1sVXVUAOYW2QBN, 5720739]
[paragraph, [134.0, 238.0, 742.0, 18.0], shoonya_1sVXVUAOYW2QBN, 5720739]
[paragraph, [134.0, 256.0, 742.0, 18.0], shoonya_1sVXVUAOYW2QBN, 5720739]
[paragraph, [134.0, 274.0, 742.0, 18.0], shoonya_1sVXVUAOYW2QBN, 5720739]
[paragraph, [134.0, 292.0, 742.0, 18.0], shoonya_1sVXVUAOYW2QBN, 5720739]
[paragraph, [134.0, 310.0, 742.0, 18.0], shoonya_1sVXVUAOYW2QBN, 5720739]
[paragraph, [134.0, 328.0, 742.0, 18.0], shoonya_1sVXVUAOYW2QBN, 5720739]
[paragraph, [134.0, 346.0, 742.0, 18.0], shoonya_1sVXVUAOYW2QBN, 5720739]
[paragraph, [147.0, 368.0, 749.0, 18.0], HcZ4962Koq, 5720739]
[paragraph, [147.0, 386.0, 749.0, 18.0], HcZ4962Koq, 5720739]
[paragraph, [147.0, 404.0, 749.0, 18.0], HcZ4962Koq, 5720739]
[paragraph, [147.0, 422.0, 749.0, 18.0], HcZ4962Koq, 5720739]
[paragraph, [147.0, 440.0, 749.0, 18.0], HcZ4962Koq, 5720739]
[paragraph, [147.0, 458.0, 749.0, 18.0], HcZ4962Koq, 5720739]
[paragraph, [147.0, 476.0, 749.0, 18.0], HcZ4962Koq, 5720739]
[paragraph, [147.0, 494.0, 749.0, 18.0], HcZ4962Koq, 5720739]
[paragraph, [147.0, 512.0, 749.0, 18.0], HcZ4962Koq, 5720739]
[paragraph, [147.0, 530.0, 749.0, 18.0], HcZ4962Koq, 5720739]
[paragraph, [147.0, 548.0, 749.0, 18.0], HcZ4962Koq, 5720739]
[paragraph, [147.0, 566.0, 749.0, 18.0], HcZ4962Koq, 5720739]
[paragraph, [147.0, 584.0, 749.0, 18.0], HcZ4962Koq, 5720739]
[paragraph, [147.0, 602.0, 749.0, 18.0], HcZ4962Koq, 5720739]
[paragraph, [147.0, 620.0, 749.0, 18.0], HcZ4962Koq, 5720739]
[paragraph, [147.0, 638.0, 749.0, 18.0], HcZ4962Koq, 5720739]
[paragraph, [147.0, 656.0, 749.0, 18.0], HcZ4962Koq, 5720739]
[paragraph, [147.0, 674.0, 749.0, 18.0], HcZ4962Koq, 5720739]
[paragraph, [147.0, 692.0, 749.0, 18.0], HcZ4962Koq, 5720739]
[paragraph, [147.0, 710.0, 749.0, 18.0], HcZ4962Koq, 5720739]
[paragraph, [147.0, 728.0, 749.0, 18.0], HcZ4962Koq, 5720739]
[paragraph, [147.0, 746.0, 749.0, 18.0], HcZ4962Koq, 5720739]
[paragraph, [147.0, 764.0, 749.0, 18.0], HcZ4962Koq, 5720739]
[paragraph, [147.0, 782.0, 749.0, 18.0], HcZ4962Koq, 5720739]
[paragraph, [147.0, 800.0, 749.0, 18.0], HcZ4962Koq, 5720739]
[paragraph, [147.0, 818.0, 749.0, 18.0], HcZ4962Koq, 5720739]
[paragraph, [147.0, 836.0, 749.0, 18.0], HcZ4962Koq, 5720739]
[paragraph, [147.0, 854.0, 749.0, 18.0], HcZ4962Koq, 5720739]
[paragraph, [147.0, 872.0, 749.0, 18.0], HcZ4962Koq, 5720739]
[paragraph, [147.0, 890.0, 749.0, 18.0], HcZ4962Koq, 5720739]
[paragraph, [147.0, 908.0, 749.0, 18.0], HcZ4962Koq, 5720739]
[paragraph, [147.0, 926.0, 749.0, 18.0], HcZ4962Koq, 5720739]
[paragraph, [147.0, 944.0, 749.0, 18.0], HcZ4962Koq, 5720739]
[paragraph, [147.0, 962.0, 749.0, 18.0], HcZ4962Koq, 5720739]
[paragraph, [147.0, 980.0, 749.0, 18.0], HcZ4962Koq, 5720739]
[paragraph, [147.0, 998.0, 749.0, 18.0], HcZ4962Koq, 5720739]
[paragraph, [147.0, 1016.0, 749.0, 18.0], HcZ4962Koq, 5720739]
[paragraph, [147.0, 1034.0, 749.0, 18.0], HcZ4962Koq, 5720739]
[paragraph, [147.0, 1052.0, 749.0, 18.0], HcZ4962Koq, 5720739]
[paragraph, [147.0, 1070.0, 749.0, 18.0], HcZ4962Koq, 5720739]
[paragraph, [147.0, 1088.0, 749.0, 18.0], HcZ4962Koq, 5720739]
[paragraph, [147.0, 1106.0, 749.0, 18.0], HcZ4962Koq, 5720739]
[paragraph, [147.0, 1124.0, 749.0, 18.0], HcZ4962Koq, 5720739]
[paragraph, [146.0, 1155.0, 748.0, 18.0], rHiL_umSDz, 5720739]
[paragraph, [146.0, 1173.0, 748.0, 18.0], rHiL_umSDz, 5720739]
[paragraph, [146.0, 1191.0, 748.0, 18.0], rHiL_umSDz, 5720739]
[paragraph, [146.0, 1209.0, 748.0, 18.0], rHiL_umSDz, 5720739]
[paragraph, [146.0, 1227.0, 748.0, 18.0], rHiL_umSDz, 5720739]
[paragraph, [146.0, 1245.0, 748.0, 18.0], rHiL_umSDz, 5720739]
[paragraph, [146.0, 1263.0, 748.0, 18.0], rHiL_umSDz, 5720739]
[paragraph, [146.0, 1281.0, 748.0, 18.0], rHiL_umSDz, 5720739]
