[1637, 1070]
[section-title, [56.0, 120.0, 253.0, 49.5], ytY4qhvZxJ, 5654388]
[paragraph, [165.0, 199.0, 379.0, 36.0], _VCClIiQFK, 5654388]
[paragraph, [165.0, 235.0, 379.0, 36.0], _VCClIiQFK, 5654388]
[paragraph, [165.0, 271.0, 379.0, 36.0], _VCClIiQFK, 5654388]
[paragraph, [165.0, 307.0, 379.0, 36.0], _VCClIiQFK, 5654388]
[paragraph, [165.0, 343.0, 379.0, 36.0], _VCClIiQFK, 5654388]
[paragraph, [165.0, 379.0, 379.0, 36.0], _VCClIiQFK, 5654388]
[paragraph, [165.0, 415.0, 379.0, 36.0], _VCClIiQFK, 5654388]
[paragraph, [178.0, 507.0, 283.0, 36.0], uZ9L3S1VEh, 5654388]
[paragraph, [178.0, 543.0, 283.0, 36.0], uZ9L3S1VEh, 5654388]
[section-title, [73.0, 701.0, 280.0, 49.5], UzPycvbxAH, 5654388]
[paragraph, [172.0, 771.0, 301.0, 36.0], lEulO-IR8s, 5654388]
[paragraph, [193.0, 855.0, 303.0, 36.0], 6bOBnVhlwO, 5654388]
[paragraph, [193.0, 891.0, 303.0, 36.0], 6bOBnVhlwO, 5654388]
[paragraph, [189.0, 983.0, 475.0, 36.0], -x2Z9Eilrb, 5654388]
[paragraph, [189.0, 1019.0, 475.0, 36.0], -x2Z9Eilrb, 5654388]
[paragraph, [189.0, 1055.0, 475.0, 36.0], -x2Z9Eilrb, 5654388]
[paragraph, [189.0, 1091.0, 475.0, 36.0], -x2Z9Eilrb, 5654388]
[paragraph, [189.0, 1127.0, 475.0, 36.0], -x2Z9Eilrb, 5654388]
[paragraph, [195.0, 1193.0, 407.0, 36.0], XIoUaI2PdF, 5654388]
[paragraph, [195.0, 1229.0, 407.0, 36.0], XIoUaI2PdF, 5654388]
[paragraph, [195.0, 1265.0, 407.0, 36.0], XIoUaI2PdF, 5654388]
[paragraph, [195.0, 1301.0, 407.0, 36.0], XIoUaI2PdF, 5654388]
[paragraph, [195.0, 1337.0, 407.0, 36.0], XIoUaI2PdF, 5654388]
[paragraph, [200.0, 1412.0, 537.0, 36.0], Tssn0CpYXP, 5654388]
[paragraph, [200.0, 1448.0, 537.0, 36.0], Tssn0CpYXP, 5654388]
[paragraph, [200.0, 1484.0, 537.0, 36.0], Tssn0CpYXP, 5654388]
