[594, 353]
[folio, [146.0, 19.0, 64.0, 18.0], XUrobf-Iyf, 5700541]
[paragraph, [6.0, 43.0, 345.0, 18.0], shoonya_0sSCPCFU0ZA2QW, 5700541]
[paragraph, [6.0, 61.0, 345.0, 18.0], shoonya_0sSCPCFU0ZA2QW, 5700541]
[paragraph, [6.0, 79.0, 345.0, 18.0], shoonya_0sSCPCFU0ZA2QW, 5700541]
[paragraph, [6.0, 97.0, 345.0, 18.0], shoonya_0sSCPCFU0ZA2QW, 5700541]
[paragraph, [6.0, 115.0, 345.0, 18.0], shoonya_0sSCPCFU0ZA2QW, 5700541]
[paragraph, [6.0, 133.0, 345.0, 18.0], shoonya_0sSCPCFU0ZA2QW, 5700541]
[paragraph, [9.0, 166.0, 338.0, 18.0], dgCejR9IG9, 5700541]
[paragraph, [75.0, 183.0, 267.0, 18.0], hOEhM7I0Ib, 5700541]
[paragraph, [75.0, 201.0, 267.0, 18.0], hOEhM7I0Ib, 5700541]
[paragraph, [75.0, 219.0, 267.0, 18.0], hOEhM7I0Ib, 5700541]
[sidebar, [11.0, 194.0, 58.0, 18.0], D6bkg_321Q, 5700541]
[paragraph, [8.0, 234.0, 334.0, 18.0], j5yx35jest, 5700541]
[paragraph, [8.0, 252.0, 334.0, 18.0], j5yx35jest, 5700541]
[paragraph, [8.0, 270.0, 334.0, 18.0], j5yx35jest, 5700541]
[paragraph, [8.0, 288.0, 334.0, 18.0], j5yx35jest, 5700541]
[paragraph, [8.0, 306.0, 334.0, 18.0], j5yx35jest, 5700541]
[paragraph, [8.0, 324.0, 334.0, 18.0], j5yx35jest, 5700541]
[paragraph, [8.0, 342.0, 334.0, 18.0], j5yx35jest, 5700541]
[paragraph, [8.0, 360.0, 334.0, 18.0], j5yx35jest, 5700541]
[paragraph, [8.0, 378.0, 334.0, 18.0], j5yx35jest, 5700541]
[paragraph, [8.0, 396.0, 334.0, 18.0], j5yx35jest, 5700541]
[paragraph, [8.0, 414.0, 334.0, 18.0], j5yx35jest, 5700541]
[paragraph, [8.0, 432.0, 334.0, 18.0], j5yx35jest, 5700541]
[paragraph, [8.0, 450.0, 334.0, 18.0], j5yx35jest, 5700541]
[paragraph, [8.0, 468.0, 334.0, 18.0], j5yx35jest, 5700541]
[paragraph, [8.0, 486.0, 334.0, 18.0], j5yx35jest, 5700541]
[paragraph, [8.0, 512.0, 330.0, 18.0], shoonya_2s0MNCH231MJXF, 5700541]
[paragraph, [79.0, 530.0, 262.0, 18.0], 5s09V3dlit, 5700541]
[paragraph, [79.0, 548.0, 262.0, 18.0], 5s09V3dlit, 5700541]
