[720, 504]
[paragraph, [38.0, 110.0, 198.0, 18.0], shoonya_6s0E0MGKRGXL8T, 5651055]
[paragraph, [249.0, 111.0, 196.0, 18.0], shoonya_4sSO60U6SWOHXN, 5651055]
[paragraph, [249.0, 129.0, 196.0, 18.0], shoonya_4sSO60U6SWOHXN, 5651055]
[paragraph, [249.0, 147.0, 196.0, 18.0], shoonya_4sSO60U6SWOHXN, 5651055]
[paragraph, [249.0, 165.0, 196.0, 18.0], shoonya_4sSO60U6SWOHXN, 5651055]
[paragraph, [249.0, 183.0, 196.0, 18.0], shoonya_4sSO60U6SWOHXN, 5651055]
[paragraph, [39.0, 146.0, 198.0, 18.0], shoonya_1sZDSTEHL86NOR, 5651055]
[paragraph, [39.0, 164.0, 198.0, 18.0], shoonya_1sZDSTEHL86NOR, 5651055]
[paragraph, [39.0, 182.0, 198.0, 18.0], shoonya_1sZDSTEHL86NOR, 5651055]
[paragraph, [39.0, 200.0, 198.0, 18.0], shoonya_1sZDSTEHL86NOR, 5651055]
[paragraph, [39.0, 218.0, 198.0, 18.0], shoonya_1sZDSTEHL86NOR, 5651055]
[paragraph, [39.0, 236.0, 198.0, 18.0], shoonya_1sZDSTEHL86NOR, 5651055]
[paragraph, [39.0, 254.0, 198.0, 18.0], shoonya_1sZDSTEHL86NOR, 5651055]
[paragraph, [39.0, 272.0, 198.0, 18.0], shoonya_1sZDSTEHL86NOR, 5651055]
[paragraph, [39.0, 290.0, 198.0, 18.0], shoonya_1sZDSTEHL86NOR, 5651055]
[paragraph, [39.0, 308.0, 198.0, 18.0], shoonya_1sZDSTEHL86NOR, 5651055]
[paragraph, [39.0, 326.0, 198.0, 18.0], shoonya_1sZDSTEHL86NOR, 5651055]
[paragraph, [39.0, 344.0, 198.0, 18.0], shoonya_1sZDSTEHL86NOR, 5651055]
[paragraph, [39.0, 362.0, 198.0, 18.0], shoonya_1sZDSTEHL86NOR, 5651055]
[paragraph, [249.0, 212.0, 197.0, 18.0], shoonya_2sVOUT6PKLAO1H, 5651055]
[paragraph, [249.0, 230.0, 197.0, 18.0], shoonya_2sVOUT6PKLAO1H, 5651055]
[paragraph, [249.0, 248.0, 197.0, 18.0], shoonya_2sVOUT6PKLAO1H, 5651055]
[paragraph, [249.0, 266.0, 197.0, 18.0], shoonya_2sVOUT6PKLAO1H, 5651055]
[paragraph, [249.0, 284.0, 197.0, 18.0], shoonya_2sVOUT6PKLAO1H, 5651055]
[paragraph, [249.0, 302.0, 197.0, 18.0], shoonya_2sVOUT6PKLAO1H, 5651055]
[paragraph, [249.0, 320.0, 197.0, 18.0], shoonya_2sVOUT6PKLAO1H, 5651055]
[paragraph, [249.0, 338.0, 197.0, 18.0], shoonya_2sVOUT6PKLAO1H, 5651055]
[paragraph, [249.0, 364.0, 198.0, 18.0], shoonya_0s548MQXO475BS, 5651055]
[paragraph, [249.0, 382.0, 198.0, 18.0], shoonya_0s548MQXO475BS, 5651055]
[paragraph, [249.0, 400.0, 198.0, 18.0], shoonya_0s548MQXO475BS, 5651055]
[paragraph, [249.0, 418.0, 198.0, 18.0], shoonya_0s548MQXO475BS, 5651055]
[paragraph, [249.0, 436.0, 198.0, 18.0], shoonya_0s548MQXO475BS, 5651055]
[paragraph, [249.0, 454.0, 198.0, 18.0], shoonya_0s548MQXO475BS, 5651055]
[paragraph, [249.0, 472.0, 198.0, 18.0], shoonya_0s548MQXO475BS, 5651055]
[paragraph, [249.0, 490.0, 198.0, 18.0], shoonya_0s548MQXO475BS, 5651055]
[paragraph, [249.0, 508.0, 198.0, 18.0], shoonya_0s548MQXO475BS, 5651055]
[paragraph, [249.0, 526.0, 198.0, 18.0], shoonya_0s548MQXO475BS, 5651055]
[paragraph, [249.0, 544.0, 198.0, 18.0], shoonya_0s548MQXO475BS, 5651055]
[paragraph, [249.0, 562.0, 198.0, 18.0], shoonya_0s548MQXO475BS, 5651055]
[paragraph, [249.0, 580.0, 198.0, 18.0], shoonya_0s548MQXO475BS, 5651055]
[paragraph, [39.0, 414.0, 197.0, 18.0], shoonya_5s4FBYLPHWK127, 5651055]
[paragraph, [39.0, 432.0, 197.0, 18.0], shoonya_5s4FBYLPHWK127, 5651055]
[paragraph, [39.0, 450.0, 197.0, 18.0], shoonya_5s4FBYLPHWK127, 5651055]
[paragraph, [39.0, 468.0, 197.0, 18.0], shoonya_5s4FBYLPHWK127, 5651055]
[paragraph, [39.0, 486.0, 197.0, 18.0], shoonya_5s4FBYLPHWK127, 5651055]
[paragraph, [39.0, 504.0, 197.0, 18.0], shoonya_5s4FBYLPHWK127, 5651055]
[paragraph, [39.0, 522.0, 197.0, 18.0], shoonya_5s4FBYLPHWK127, 5651055]
[paragraph, [39.0, 540.0, 197.0, 18.0], shoonya_5s4FBYLPHWK127, 5651055]
[paragraph, [39.0, 558.0, 197.0, 18.0], shoonya_5s4FBYLPHWK127, 5651055]
[paragraph, [39.0, 576.0, 197.0, 18.0], shoonya_5s4FBYLPHWK127, 5651055]
[paragraph, [40.0, 598.0, 199.0, 18.0], shoonya_8sLYAZSJ0MFLNE, 5651055]
[paragraph, [40.0, 616.0, 199.0, 18.0], shoonya_8sLYAZSJ0MFLNE, 5651055]
[paragraph, [250.0, 600.0, 197.0, 18.0], shoonya_3sAXFTU47XNU5E, 5651055]
