[2338, 1654]
[paragraph, [189.0, 193.0, 1267.0, 36.0], shoonya_1sU67EH7OXGOHG, 5753570]
[paragraph, [189.0, 229.0, 1267.0, 36.0], shoonya_1sU67EH7OXGOHG, 5753570]
[paragraph, [189.0, 265.0, 1267.0, 36.0], shoonya_1sU67EH7OXGOHG, 5753570]
[paragraph, [189.0, 301.0, 1267.0, 36.0], shoonya_1sU67EH7OXGOHG, 5753570]
[paragraph, [189.0, 337.0, 1267.0, 36.0], shoonya_1sU67EH7OXGOHG, 5753570]
[paragraph, [189.0, 373.0, 1267.0, 36.0], shoonya_1sU67EH7OXGOHG, 5753570]
[paragraph, [189.0, 409.0, 1267.0, 36.0], shoonya_1sU67EH7OXGOHG, 5753570]
[paragraph, [189.0, 445.0, 1267.0, 36.0], shoonya_1sU67EH7OXGOHG, 5753570]
[paragraph, [189.0, 510.0, 1278.0, 36.0], shoonya_0s48DHQPBT2C47, 5753570]
[paragraph, [189.0, 546.0, 1278.0, 36.0], shoonya_0s48DHQPBT2C47, 5753570]
[paragraph, [189.0, 582.0, 1278.0, 36.0], shoonya_0s48DHQPBT2C47, 5753570]
[paragraph, [189.0, 618.0, 1278.0, 36.0], shoonya_0s48DHQPBT2C47, 5753570]
[paragraph, [189.0, 654.0, 1278.0, 36.0], shoonya_0s48DHQPBT2C47, 5753570]
[paragraph, [189.0, 690.0, 1278.0, 36.0], shoonya_0s48DHQPBT2C47, 5753570]
[paragraph, [189.0, 726.0, 1278.0, 36.0], shoonya_0s48DHQPBT2C47, 5753570]
[paragraph, [189.0, 762.0, 1278.0, 36.0], shoonya_0s48DHQPBT2C47, 5753570]
[paragraph, [189.0, 798.0, 1278.0, 36.0], shoonya_0s48DHQPBT2C47, 5753570]
[paragraph, [189.0, 834.0, 1278.0, 36.0], shoonya_0s48DHQPBT2C47, 5753570]
[paragraph, [189.0, 870.0, 1278.0, 36.0], shoonya_0s48DHQPBT2C47, 5753570]
[paragraph, [189.0, 906.0, 1278.0, 36.0], shoonya_0s48DHQPBT2C47, 5753570]
[paragraph, [189.0, 942.0, 1278.0, 36.0], shoonya_0s48DHQPBT2C47, 5753570]
[paragraph, [189.0, 978.0, 1278.0, 36.0], shoonya_0s48DHQPBT2C47, 5753570]
[paragraph, [189.0, 1014.0, 1278.0, 36.0], shoonya_0s48DHQPBT2C47, 5753570]
[paragraph, [189.0, 1050.0, 1278.0, 36.0], shoonya_0s48DHQPBT2C47, 5753570]
[paragraph, [189.0, 1086.0, 1278.0, 36.0], shoonya_0s48DHQPBT2C47, 5753570]
[paragraph, [189.0, 1122.0, 1278.0, 36.0], shoonya_0s48DHQPBT2C47, 5753570]
[paragraph, [189.0, 1158.0, 1278.0, 36.0], shoonya_0s48DHQPBT2C47, 5753570]
[paragraph, [189.0, 1194.0, 1278.0, 36.0], shoonya_0s48DHQPBT2C47, 5753570]
[paragraph, [189.0, 1230.0, 1278.0, 36.0], shoonya_0s48DHQPBT2C47, 5753570]
[paragraph, [189.0, 1266.0, 1278.0, 36.0], shoonya_0s48DHQPBT2C47, 5753570]
[paragraph, [189.0, 1302.0, 1278.0, 36.0], shoonya_0s48DHQPBT2C47, 5753570]
[paragraph, [189.0, 1338.0, 1278.0, 36.0], shoonya_0s48DHQPBT2C47, 5753570]
[paragraph, [189.0, 1374.0, 1278.0, 36.0], shoonya_0s48DHQPBT2C47, 5753570]
[paragraph, [189.0, 1410.0, 1278.0, 36.0], shoonya_0s48DHQPBT2C47, 5753570]
[paragraph, [189.0, 1446.0, 1278.0, 36.0], shoonya_0s48DHQPBT2C47, 5753570]
[paragraph, [189.0, 1482.0, 1278.0, 36.0], shoonya_0s48DHQPBT2C47, 5753570]
[paragraph, [189.0, 1518.0, 1278.0, 36.0], shoonya_0s48DHQPBT2C47, 5753570]
[paragraph, [189.0, 1554.0, 1278.0, 36.0], shoonya_0s48DHQPBT2C47, 5753570]
[paragraph, [189.0, 1590.0, 1278.0, 36.0], shoonya_0s48DHQPBT2C47, 5753570]
[paragraph, [189.0, 1626.0, 1278.0, 36.0], shoonya_0s48DHQPBT2C47, 5753570]
[paragraph, [189.0, 1662.0, 1278.0, 36.0], shoonya_0s48DHQPBT2C47, 5753570]
[paragraph, [189.0, 1698.0, 1278.0, 36.0], shoonya_0s48DHQPBT2C47, 5753570]
[paragraph, [189.0, 1734.0, 1278.0, 36.0], shoonya_0s48DHQPBT2C47, 5753570]
[paragraph, [189.0, 1770.0, 1278.0, 36.0], shoonya_0s48DHQPBT2C47, 5753570]
[paragraph, [189.0, 1806.0, 1278.0, 36.0], shoonya_0s48DHQPBT2C47, 5753570]
[paragraph, [189.0, 1842.0, 1278.0, 36.0], shoonya_0s48DHQPBT2C47, 5753570]
[paragraph, [186.0, 1892.0, 1275.0, 36.0], shoonya_2s70JU9882A0CO, 5753570]
[paragraph, [186.0, 1928.0, 1275.0, 36.0], shoonya_2s70JU9882A0CO, 5753570]
[paragraph, [186.0, 1964.0, 1275.0, 36.0], shoonya_2s70JU9882A0CO, 5753570]
