[2200, 1700]
[paragraph, [369.0, 112.0, 1137.0, 36.0], shoonya_2sYQQUXPHL1DGB, 5733627]
[paragraph, [369.0, 148.0, 1137.0, 36.0], shoonya_2sYQQUXPHL1DGB, 5733627]
[paragraph, [369.0, 184.0, 1137.0, 36.0], shoonya_2sYQQUXPHL1DGB, 5733627]
[paragraph, [369.0, 220.0, 1137.0, 36.0], shoonya_2sYQQUXPHL1DGB, 5733627]
[paragraph, [369.0, 256.0, 1137.0, 36.0], shoonya_2sYQQUXPHL1DGB, 5733627]
[paragraph, [369.0, 292.0, 1137.0, 36.0], shoonya_2sYQQUXPHL1DGB, 5733627]
[paragraph, [369.0, 328.0, 1137.0, 36.0], shoonya_2sYQQUXPHL1DGB, 5733627]
[paragraph, [372.0, 413.0, 1134.0, 36.0], shoonya_0sY06HSYGKV9YD, 5733627]
[paragraph, [372.0, 449.0, 1134.0, 36.0], shoonya_0sY06HSYGKV9YD, 5733627]
[paragraph, [372.0, 485.0, 1134.0, 36.0], shoonya_0sY06HSYGKV9YD, 5733627]
[paragraph, [372.0, 521.0, 1134.0, 36.0], shoonya_0sY06HSYGKV9YD, 5733627]
[paragraph, [372.0, 557.0, 1134.0, 36.0], shoonya_0sY06HSYGKV9YD, 5733627]
[paragraph, [372.0, 593.0, 1134.0, 36.0], shoonya_0sY06HSYGKV9YD, 5733627]
[paragraph, [372.0, 629.0, 1134.0, 36.0], shoonya_0sY06HSYGKV9YD, 5733627]
[paragraph, [372.0, 665.0, 1134.0, 36.0], shoonya_0sY06HSYGKV9YD, 5733627]
[paragraph, [372.0, 701.0, 1134.0, 36.0], shoonya_0sY06HSYGKV9YD, 5733627]
[paragraph, [372.0, 737.0, 1134.0, 36.0], shoonya_0sY06HSYGKV9YD, 5733627]
[paragraph, [372.0, 773.0, 1134.0, 36.0], shoonya_0sY06HSYGKV9YD, 5733627]
[paragraph, [372.0, 809.0, 1134.0, 36.0], shoonya_0sY06HSYGKV9YD, 5733627]
[paragraph, [372.0, 845.0, 1134.0, 36.0], shoonya_0sY06HSYGKV9YD, 5733627]
[paragraph, [372.0, 881.0, 1134.0, 36.0], shoonya_0sY06HSYGKV9YD, 5733627]
[paragraph, [372.0, 917.0, 1134.0, 36.0], shoonya_0sY06HSYGKV9YD, 5733627]
[paragraph, [374.0, 1042.0, 1132.0, 36.0], shoonya_1sBU6GHFZZOAWU, 5733627]
[paragraph, [374.0, 1078.0, 1132.0, 36.0], shoonya_1sBU6GHFZZOAWU, 5733627]
[paragraph, [374.0, 1114.0, 1132.0, 36.0], shoonya_1sBU6GHFZZOAWU, 5733627]
[paragraph, [374.0, 1150.0, 1132.0, 36.0], shoonya_1sBU6GHFZZOAWU, 5733627]
[paragraph, [374.0, 1186.0, 1132.0, 36.0], shoonya_1sBU6GHFZZOAWU, 5733627]
[paragraph, [374.0, 1222.0, 1132.0, 36.0], shoonya_1sBU6GHFZZOAWU, 5733627]
[paragraph, [374.0, 1258.0, 1132.0, 36.0], shoonya_1sBU6GHFZZOAWU, 5733627]
[paragraph, [374.0, 1294.0, 1132.0, 36.0], shoonya_1sBU6GHFZZOAWU, 5733627]
[paragraph, [374.0, 1330.0, 1132.0, 36.0], shoonya_1sBU6GHFZZOAWU, 5733627]
[paragraph, [374.0, 1366.0, 1132.0, 36.0], shoonya_1sBU6GHFZZOAWU, 5733627]
[paragraph, [374.0, 1402.0, 1132.0, 36.0], shoonya_1sBU6GHFZZOAWU, 5733627]
[paragraph, [374.0, 1438.0, 1132.0, 36.0], shoonya_1sBU6GHFZZOAWU, 5733627]
[paragraph, [374.0, 1474.0, 1132.0, 36.0], shoonya_1sBU6GHFZZOAWU, 5733627]
[paragraph, [374.0, 1510.0, 1132.0, 36.0], shoonya_1sBU6GHFZZOAWU, 5733627]
[paragraph, [374.0, 1546.0, 1132.0, 36.0], shoonya_1sBU6GHFZZOAWU, 5733627]
[paragraph, [374.0, 1582.0, 1132.0, 36.0], shoonya_1sBU6GHFZZOAWU, 5733627]
[paragraph, [374.0, 1618.0, 1132.0, 36.0], shoonya_1sBU6GHFZZOAWU, 5733627]
[paragraph, [374.0, 1654.0, 1132.0, 36.0], shoonya_1sBU6GHFZZOAWU, 5733627]
[paragraph, [374.0, 1690.0, 1132.0, 36.0], shoonya_1sBU6GHFZZOAWU, 5733627]
[paragraph, [374.0, 1726.0, 1132.0, 36.0], shoonya_1sBU6GHFZZOAWU, 5733627]
[paragraph, [374.0, 1762.0, 1132.0, 36.0], shoonya_1sBU6GHFZZOAWU, 5733627]
[paragraph, [374.0, 1798.0, 1132.0, 36.0], shoonya_1sBU6GHFZZOAWU, 5733627]
[paragraph, [374.0, 1834.0, 1132.0, 36.0], shoonya_1sBU6GHFZZOAWU, 5733627]
[paragraph, [374.0, 1870.0, 1132.0, 36.0], shoonya_1sBU6GHFZZOAWU, 5733627]
[paragraph, [375.0, 1937.0, 1129.0, 36.0], shoonya_3sWBMAMY4MJ460, 5733627]
[paragraph, [375.0, 1973.0, 1129.0, 36.0], shoonya_3sWBMAMY4MJ460, 5733627]
[paragraph, [375.0, 2009.0, 1129.0, 36.0], shoonya_3sWBMAMY4MJ460, 5733627]
