[2339, 1655]
[folio, [709.0, 196.0, 231.0, 36.0], shoonya_3sXBIO9NBNPJAS, 5737997]
[paragraph, [191.0, 282.0, 1247.0, 36.0], shoonya_0sCCDKYVX8YSVS, 5737997]
[paragraph, [191.0, 318.0, 1247.0, 36.0], shoonya_0sCCDKYVX8YSVS, 5737997]
[paragraph, [191.0, 354.0, 1247.0, 36.0], shoonya_0sCCDKYVX8YSVS, 5737997]
[paragraph, [192.0, 446.0, 1247.0, 36.0], 98xhxP6WCN, 5737997]
[paragraph, [192.0, 482.0, 1247.0, 36.0], 98xhxP6WCN, 5737997]
[ordered-list, [190.0, 641.0, 1220.0, 36.0], Q86AlXbPTB, 5737997]
[ordered-list, [190.0, 677.0, 1220.0, 36.0], Q86AlXbPTB, 5737997]
[ordered-list, [190.0, 713.0, 1220.0, 36.0], Q86AlXbPTB, 5737997]
[ordered-list, [190.0, 749.0, 1220.0, 36.0], Q86AlXbPTB, 5737997]
[ordered-list, [196.0, 885.0, 1241.0, 36.0], PbLfvhvKfn, 5737997]
[ordered-list, [196.0, 921.0, 1241.0, 36.0], PbLfvhvKfn, 5737997]
[ordered-list, [196.0, 957.0, 1241.0, 36.0], PbLfvhvKfn, 5737997]
[ordered-list, [196.0, 993.0, 1241.0, 36.0], PbLfvhvKfn, 5737997]
[reference, [196.0, 1089.0, 1211.0, 36.0], 8rEPi7MDM7, 5737997]
[reference, [196.0, 1125.0, 1211.0, 36.0], 8rEPi7MDM7, 5737997]
[reference, [196.0, 1161.0, 1211.0, 36.0], 8rEPi7MDM7, 5737997]
[reference, [196.0, 1197.0, 1211.0, 36.0], 8rEPi7MDM7, 5737997]
[reference, [196.0, 1233.0, 1211.0, 36.0], 8rEPi7MDM7, 5737997]
[reference, [196.0, 1269.0, 1211.0, 36.0], 8rEPi7MDM7, 5737997]
[reference, [196.0, 1305.0, 1211.0, 36.0], 8rEPi7MDM7, 5737997]
[reference, [196.0, 1341.0, 1211.0, 36.0], 8rEPi7MDM7, 5737997]
[reference, [196.0, 1377.0, 1211.0, 36.0], 8rEPi7MDM7, 5737997]
[reference, [196.0, 1413.0, 1211.0, 36.0], 8rEPi7MDM7, 5737997]
[reference, [196.0, 1449.0, 1211.0, 36.0], 8rEPi7MDM7, 5737997]
[reference, [196.0, 1485.0, 1211.0, 36.0], 8rEPi7MDM7, 5737997]
[reference, [196.0, 1521.0, 1211.0, 36.0], 8rEPi7MDM7, 5737997]
[reference, [196.0, 1557.0, 1211.0, 36.0], 8rEPi7MDM7, 5737997]
[reference, [196.0, 1593.0, 1211.0, 36.0], 8rEPi7MDM7, 5737997]
[reference, [196.0, 1629.0, 1211.0, 36.0], 8rEPi7MDM7, 5737997]
[reference, [196.0, 1665.0, 1211.0, 36.0], 8rEPi7MDM7, 5737997]
