[540, 960]
[section-title, [312.0, 4.0, 337.0, 30.0], shoonya_0sCIJ9J7MKEYLD, 5716067]
[paragraph, [1.0, 72.0, 936.0, 18.0], shoonya_2sTLKJVD399RAJ, 5716067]
[paragraph, [1.0, 90.0, 936.0, 18.0], shoonya_2sTLKJVD399RAJ, 5716067]
[paragraph, [1.0, 108.0, 936.0, 18.0], shoonya_2sTLKJVD399RAJ, 5716067]
[paragraph, [1.0, 126.0, 936.0, 18.0], shoonya_2sTLKJVD399RAJ, 5716067]
[paragraph, [1.0, 144.0, 936.0, 18.0], shoonya_2sTLKJVD399RAJ, 5716067]
[paragraph, [1.0, 162.0, 936.0, 18.0], shoonya_2sTLKJVD399RAJ, 5716067]
[paragraph, [1.0, 180.0, 936.0, 18.0], shoonya_2sTLKJVD399RAJ, 5716067]
[paragraph, [1.0, 198.0, 936.0, 18.0], shoonya_2sTLKJVD399RAJ, 5716067]
[paragraph, [23.0, 226.0, 895.0, 18.0], 0qMZ9KGoA3, 5716067]
[paragraph, [23.0, 244.0, 895.0, 18.0], 0qMZ9KGoA3, 5716067]
[paragraph, [23.0, 262.0, 895.0, 18.0], 0qMZ9KGoA3, 5716067]
[paragraph, [23.0, 280.0, 895.0, 18.0], 0qMZ9KGoA3, 5716067]
[paragraph, [23.0, 298.0, 895.0, 18.0], 0qMZ9KGoA3, 5716067]
[paragraph, [23.0, 316.0, 895.0, 18.0], 0qMZ9KGoA3, 5716067]
[paragraph, [23.0, 334.0, 895.0, 18.0], 0qMZ9KGoA3, 5716067]
[paragraph, [23.0, 352.0, 895.0, 18.0], 0qMZ9KGoA3, 5716067]
[paragraph, [48.0, 389.0, 862.0, 18.0], shoonya_3sFBJRTMZ6VP9V, 5716067]
[paragraph, [48.0, 407.0, 862.0, 18.0], shoonya_3sFBJRTMZ6VP9V, 5716067]
[paragraph, [48.0, 425.0, 862.0, 18.0], shoonya_3sFBJRTMZ6VP9V, 5716067]
[folio, [0.0, 507.0, 93.0, 18.0], shoonya_1sIB6Z5LHGJ2TJ, 5716067]
