[1162, 749]
[folio, [315.0, 70.0, 106.0, 18.0], shoonya_2sQ6RPAX4OES67, 5699357]
[paragraph, [76.0, 117.0, 594.0, 18.0], shoonya_0sOHFXEEJ7GBLN, 5699357]
[paragraph, [76.0, 135.0, 594.0, 18.0], shoonya_0sOHFXEEJ7GBLN, 5699357]
[paragraph, [76.0, 153.0, 594.0, 18.0], shoonya_0sOHFXEEJ7GBLN, 5699357]
[paragraph, [76.0, 171.0, 594.0, 18.0], shoonya_0sOHFXEEJ7GBLN, 5699357]
[paragraph, [76.0, 189.0, 594.0, 18.0], shoonya_0sOHFXEEJ7GBLN, 5699357]
[paragraph, [76.0, 207.0, 594.0, 18.0], shoonya_0sOHFXEEJ7GBLN, 5699357]
[paragraph, [76.0, 225.0, 594.0, 18.0], shoonya_0sOHFXEEJ7GBLN, 5699357]
[paragraph, [76.0, 243.0, 594.0, 18.0], shoonya_0sOHFXEEJ7GBLN, 5699357]
[paragraph, [76.0, 261.0, 594.0, 18.0], shoonya_0sOHFXEEJ7GBLN, 5699357]
[paragraph, [76.0, 279.0, 594.0, 18.0], shoonya_0sOHFXEEJ7GBLN, 5699357]
[paragraph, [76.0, 297.0, 594.0, 18.0], shoonya_0sOHFXEEJ7GBLN, 5699357]
[paragraph, [76.0, 315.0, 594.0, 18.0], shoonya_0sOHFXEEJ7GBLN, 5699357]
[paragraph, [76.0, 333.0, 594.0, 18.0], shoonya_0sOHFXEEJ7GBLN, 5699357]
[paragraph, [76.0, 351.0, 594.0, 18.0], shoonya_0sOHFXEEJ7GBLN, 5699357]
[paragraph, [76.0, 369.0, 594.0, 18.0], shoonya_0sOHFXEEJ7GBLN, 5699357]
[paragraph, [76.0, 387.0, 594.0, 18.0], shoonya_0sOHFXEEJ7GBLN, 5699357]
[paragraph, [76.0, 405.0, 594.0, 18.0], shoonya_0sOHFXEEJ7GBLN, 5699357]
[paragraph, [76.0, 423.0, 594.0, 18.0], shoonya_0sOHFXEEJ7GBLN, 5699357]
[paragraph, [76.0, 441.0, 594.0, 18.0], shoonya_0sOHFXEEJ7GBLN, 5699357]
[paragraph, [76.0, 459.0, 594.0, 18.0], shoonya_0sOHFXEEJ7GBLN, 5699357]
[paragraph, [76.0, 477.0, 594.0, 18.0], shoonya_0sOHFXEEJ7GBLN, 5699357]
[paragraph, [74.0, 503.0, 602.0, 18.0], shoonya_1sGFHM3N4M8107, 5699357]
[paragraph, [74.0, 521.0, 602.0, 18.0], shoonya_1sGFHM3N4M8107, 5699357]
[paragraph, [74.0, 539.0, 602.0, 18.0], shoonya_1sGFHM3N4M8107, 5699357]
[paragraph, [74.0, 557.0, 602.0, 18.0], shoonya_1sGFHM3N4M8107, 5699357]
[paragraph, [74.0, 575.0, 602.0, 18.0], shoonya_1sGFHM3N4M8107, 5699357]
[paragraph, [74.0, 593.0, 602.0, 18.0], shoonya_1sGFHM3N4M8107, 5699357]
[paragraph, [74.0, 611.0, 602.0, 18.0], shoonya_1sGFHM3N4M8107, 5699357]
[paragraph, [74.0, 629.0, 602.0, 18.0], shoonya_1sGFHM3N4M8107, 5699357]
[paragraph, [74.0, 647.0, 602.0, 18.0], shoonya_1sGFHM3N4M8107, 5699357]
[paragraph, [74.0, 665.0, 602.0, 18.0], shoonya_1sGFHM3N4M8107, 5699357]
[paragraph, [74.0, 683.0, 602.0, 18.0], shoonya_1sGFHM3N4M8107, 5699357]
[paragraph, [74.0, 701.0, 602.0, 18.0], shoonya_1sGFHM3N4M8107, 5699357]
[paragraph, [74.0, 719.0, 602.0, 18.0], shoonya_1sGFHM3N4M8107, 5699357]
[paragraph, [74.0, 737.0, 602.0, 18.0], shoonya_1sGFHM3N4M8107, 5699357]
[paragraph, [74.0, 755.0, 602.0, 18.0], shoonya_1sGFHM3N4M8107, 5699357]
[paragraph, [74.0, 773.0, 602.0, 18.0], shoonya_1sGFHM3N4M8107, 5699357]
[paragraph, [74.0, 791.0, 602.0, 18.0], shoonya_1sGFHM3N4M8107, 5699357]
[paragraph, [74.0, 809.0, 602.0, 18.0], shoonya_1sGFHM3N4M8107, 5699357]
[paragraph, [74.0, 827.0, 602.0, 18.0], shoonya_1sGFHM3N4M8107, 5699357]
[paragraph, [74.0, 845.0, 602.0, 18.0], shoonya_1sGFHM3N4M8107, 5699357]
[paragraph, [74.0, 863.0, 602.0, 18.0], shoonya_1sGFHM3N4M8107, 5699357]
[paragraph, [74.0, 881.0, 602.0, 18.0], shoonya_1sGFHM3N4M8107, 5699357]
[paragraph, [74.0, 899.0, 602.0, 18.0], shoonya_1sGFHM3N4M8107, 5699357]
[paragraph, [74.0, 917.0, 602.0, 18.0], shoonya_1sGFHM3N4M8107, 5699357]
[paragraph, [74.0, 935.0, 602.0, 18.0], shoonya_1sGFHM3N4M8107, 5699357]
[paragraph, [74.0, 953.0, 602.0, 18.0], shoonya_1sGFHM3N4M8107, 5699357]
[paragraph, [74.0, 971.0, 602.0, 18.0], shoonya_1sGFHM3N4M8107, 5699357]
[paragraph, [74.0, 989.0, 602.0, 18.0], shoonya_1sGFHM3N4M8107, 5699357]
[paragraph, [74.0, 1007.0, 602.0, 18.0], shoonya_1sGFHM3N4M8107, 5699357]
[paragraph, [74.0, 1025.0, 602.0, 18.0], shoonya_1sGFHM3N4M8107, 5699357]
[paragraph, [74.0, 1043.0, 602.0, 18.0], shoonya_1sGFHM3N4M8107, 5699357]
[paragraph, [74.0, 1061.0, 602.0, 18.0], shoonya_1sGFHM3N4M8107, 5699357]
