[1606, 1056]
[folio, [438.0, 104.0, 170.0, 36.0], T9hf95DKbS, 5683849]
[paragraph, [246.0, 159.0, 460.0, 36.0], E12VQ9WjHu, 5683849]
[paragraph, [246.0, 195.0, 460.0, 36.0], E12VQ9WjHu, 5683849]
[paragraph, [246.0, 231.0, 460.0, 36.0], E12VQ9WjHu, 5683849]
[paragraph, [246.0, 267.0, 460.0, 36.0], E12VQ9WjHu, 5683849]
[paragraph, [246.0, 303.0, 460.0, 36.0], E12VQ9WjHu, 5683849]
[paragraph, [246.0, 339.0, 460.0, 36.0], E12VQ9WjHu, 5683849]
[paragraph, [246.0, 375.0, 460.0, 36.0], E12VQ9WjHu, 5683849]
[paragraph, [246.0, 411.0, 460.0, 36.0], E12VQ9WjHu, 5683849]
[paragraph, [246.0, 447.0, 460.0, 36.0], E12VQ9WjHu, 5683849]
[paragraph, [246.0, 483.0, 460.0, 36.0], E12VQ9WjHu, 5683849]
[paragraph, [246.0, 519.0, 460.0, 36.0], E12VQ9WjHu, 5683849]
[paragraph, [246.0, 555.0, 460.0, 36.0], E12VQ9WjHu, 5683849]
[paragraph, [246.0, 591.0, 460.0, 36.0], E12VQ9WjHu, 5683849]
[paragraph, [246.0, 627.0, 460.0, 36.0], E12VQ9WjHu, 5683849]
[paragraph, [246.0, 663.0, 460.0, 36.0], E12VQ9WjHu, 5683849]
[paragraph, [246.0, 699.0, 460.0, 36.0], E12VQ9WjHu, 5683849]
[paragraph, [246.0, 735.0, 460.0, 36.0], E12VQ9WjHu, 5683849]
[paragraph, [246.0, 771.0, 460.0, 36.0], E12VQ9WjHu, 5683849]
[paragraph, [246.0, 807.0, 460.0, 36.0], E12VQ9WjHu, 5683849]
[paragraph, [246.0, 843.0, 460.0, 36.0], E12VQ9WjHu, 5683849]
[paragraph, [246.0, 879.0, 460.0, 36.0], E12VQ9WjHu, 5683849]
[paragraph, [246.0, 915.0, 460.0, 36.0], E12VQ9WjHu, 5683849]
[paragraph, [246.0, 951.0, 460.0, 36.0], E12VQ9WjHu, 5683849]
[paragraph, [246.0, 987.0, 460.0, 36.0], E12VQ9WjHu, 5683849]
[paragraph, [246.0, 1023.0, 460.0, 36.0], E12VQ9WjHu, 5683849]
[paragraph, [246.0, 1059.0, 460.0, 36.0], E12VQ9WjHu, 5683849]
[paragraph, [246.0, 1095.0, 460.0, 36.0], E12VQ9WjHu, 5683849]
[paragraph, [246.0, 1131.0, 460.0, 36.0], E12VQ9WjHu, 5683849]
[paragraph, [246.0, 1167.0, 460.0, 36.0], E12VQ9WjHu, 5683849]
[paragraph, [246.0, 1203.0, 460.0, 36.0], E12VQ9WjHu, 5683849]
[paragraph, [246.0, 1239.0, 460.0, 36.0], E12VQ9WjHu, 5683849]
[paragraph, [246.0, 1275.0, 460.0, 36.0], E12VQ9WjHu, 5683849]
[paragraph, [246.0, 1311.0, 460.0, 36.0], E12VQ9WjHu, 5683849]
[paragraph, [246.0, 1347.0, 460.0, 36.0], E12VQ9WjHu, 5683849]
[paragraph, [246.0, 1383.0, 460.0, 36.0], E12VQ9WjHu, 5683849]
[paragraph, [246.0, 1419.0, 460.0, 36.0], E12VQ9WjHu, 5683849]
[paragraph, [246.0, 1455.0, 460.0, 36.0], E12VQ9WjHu, 5683849]
