[1754, 1241]
[paragraph, [64.0, 132.0, 550.0, 36.0], shoonya_0sMYEYJFMHXKQ3, 6472619]
[paragraph, [64.0, 168.0, 550.0, 36.0], shoonya_0sMYEYJFMHXKQ3, 6472619]
[paragraph, [64.0, 204.0, 550.0, 36.0], shoonya_0sMYEYJFMHXKQ3, 6472619]
[paragraph, [64.0, 240.0, 550.0, 36.0], shoonya_0sMYEYJFMHXKQ3, 6472619]
[paragraph, [64.0, 276.0, 550.0, 36.0], shoonya_0sMYEYJFMHXKQ3, 6472619]
[paragraph, [64.0, 312.0, 550.0, 36.0], shoonya_0sMYEYJFMHXKQ3, 6472619]
[paragraph, [64.0, 348.0, 550.0, 36.0], shoonya_0sMYEYJFMHXKQ3, 6472619]
[paragraph, [64.0, 384.0, 550.0, 36.0], shoonya_0sMYEYJFMHXKQ3, 6472619]
[paragraph, [64.0, 420.0, 550.0, 36.0], shoonya_0sMYEYJFMHXKQ3, 6472619]
[paragraph, [64.0, 456.0, 550.0, 36.0], shoonya_0sMYEYJFMHXKQ3, 6472619]
[paragraph, [64.0, 492.0, 550.0, 36.0], shoonya_0sMYEYJFMHXKQ3, 6472619]
[paragraph, [626.0, 132.0, 550.0, 36.0], shoonya_5s37N7DDFVJP4K, 6472619]
[paragraph, [626.0, 168.0, 550.0, 36.0], shoonya_5s37N7DDFVJP4K, 6472619]
[paragraph, [627.0, 235.0, 550.0, 36.0], shoonya_3sXAXKG26ZSA1S, 6472619]
[paragraph, [627.0, 271.0, 550.0, 36.0], shoonya_3sXAXKG26ZSA1S, 6472619]
[paragraph, [627.0, 307.0, 550.0, 36.0], shoonya_3sXAXKG26ZSA1S, 6472619]
[paragraph, [627.0, 343.0, 550.0, 36.0], shoonya_3sXAXKG26ZSA1S, 6472619]
[paragraph, [628.0, 421.0, 550.0, 36.0], shoonya_8s9GE7DT104JBA, 6472619]
[paragraph, [628.0, 457.0, 550.0, 36.0], shoonya_8s9GE7DT104JBA, 6472619]
[ordered-list, [626.0, 507.0, 550.0, 36.0], uen_sIunfq, 6472619]
[ordered-list, [626.0, 543.0, 550.0, 36.0], uen_sIunfq, 6472619]
[ordered-list, [626.0, 579.0, 550.0, 36.0], uen_sIunfq, 6472619]
[ordered-list, [626.0, 615.0, 550.0, 36.0], uen_sIunfq, 6472619]
[ordered-list, [626.0, 651.0, 550.0, 36.0], uen_sIunfq, 6472619]
[ordered-list, [626.0, 687.0, 550.0, 36.0], uen_sIunfq, 6472619]
[ordered-list, [626.0, 723.0, 550.0, 36.0], uen_sIunfq, 6472619]
[ordered-list, [626.0, 759.0, 550.0, 36.0], uen_sIunfq, 6472619]
[ordered-list, [626.0, 795.0, 550.0, 36.0], uen_sIunfq, 6472619]
[ordered-list, [626.0, 831.0, 550.0, 36.0], uen_sIunfq, 6472619]
[paragraph, [629.0, 907.0, 544.0, 36.0], shoonya_6sCYWE0FSK9ZPJ, 6472619]
[paragraph, [629.0, 943.0, 544.0, 36.0], shoonya_6sCYWE0FSK9ZPJ, 6472619]
[paragraph, [629.0, 979.0, 544.0, 36.0], shoonya_6sCYWE0FSK9ZPJ, 6472619]
[paragraph, [629.0, 1015.0, 544.0, 36.0], shoonya_6sCYWE0FSK9ZPJ, 6472619]
[paragraph, [629.0, 1051.0, 544.0, 36.0], shoonya_6sCYWE0FSK9ZPJ, 6472619]
[paragraph, [57.0, 976.0, 556.0, 36.0], shoonya_1s598XY99TSXHN, 6472619]
[paragraph, [57.0, 1012.0, 556.0, 36.0], shoonya_1s598XY99TSXHN, 6472619]
[paragraph, [57.0, 1048.0, 556.0, 36.0], shoonya_1s598XY99TSXHN, 6472619]
[paragraph, [57.0, 1084.0, 556.0, 36.0], shoonya_1s598XY99TSXHN, 6472619]
[paragraph, [57.0, 1120.0, 556.0, 36.0], shoonya_1s598XY99TSXHN, 6472619]
[paragraph, [57.0, 1156.0, 556.0, 36.0], shoonya_1s598XY99TSXHN, 6472619]
[paragraph, [57.0, 1192.0, 556.0, 36.0], shoonya_1s598XY99TSXHN, 6472619]
[paragraph, [57.0, 1228.0, 556.0, 36.0], shoonya_1s598XY99TSXHN, 6472619]
[paragraph, [57.0, 1264.0, 556.0, 36.0], shoonya_1s598XY99TSXHN, 6472619]
[paragraph, [57.0, 1300.0, 556.0, 36.0], shoonya_1s598XY99TSXHN, 6472619]
[paragraph, [57.0, 1336.0, 556.0, 36.0], shoonya_1s598XY99TSXHN, 6472619]
[paragraph, [57.0, 1372.0, 556.0, 36.0], shoonya_1s598XY99TSXHN, 6472619]
[paragraph, [57.0, 1408.0, 556.0, 36.0], shoonya_1s598XY99TSXHN, 6472619]
[paragraph, [57.0, 1444.0, 556.0, 36.0], shoonya_1s598XY99TSXHN, 6472619]
[paragraph, [57.0, 1480.0, 556.0, 36.0], shoonya_1s598XY99TSXHN, 6472619]
[paragraph, [57.0, 1516.0, 556.0, 36.0], shoonya_1s598XY99TSXHN, 6472619]
[paragraph, [57.0, 1552.0, 556.0, 36.0], shoonya_1s598XY99TSXHN, 6472619]
[paragraph, [622.0, 1130.0, 552.0, 36.0], YfBlBt5BkC, 6472619]
[paragraph, [622.0, 1166.0, 552.0, 36.0], YfBlBt5BkC, 6472619]
[paragraph, [622.0, 1202.0, 552.0, 36.0], YfBlBt5BkC, 6472619]
[paragraph, [622.0, 1238.0, 552.0, 36.0], YfBlBt5BkC, 6472619]
[paragraph, [622.0, 1315.0, 558.0, 36.0], la_nqp63f_, 6472619]
[paragraph, [622.0, 1351.0, 558.0, 36.0], la_nqp63f_, 6472619]
[paragraph, [622.0, 1387.0, 558.0, 36.0], la_nqp63f_, 6472619]
[paragraph, [622.0, 1423.0, 558.0, 36.0], la_nqp63f_, 6472619]
[paragraph, [622.0, 1459.0, 558.0, 36.0], la_nqp63f_, 6472619]
[paragraph, [622.0, 1495.0, 558.0, 36.0], la_nqp63f_, 6472619]
[paragraph, [622.0, 1531.0, 558.0, 36.0], la_nqp63f_, 6472619]
[folio, [99.0, 1615.0, 99.0, 36.0], vnZwCpq1mi, 6472619]
