[2200, 1700]
[paragraph, [369.0, 115.0, 1137.0, 36.0], shoonya_2s8P55IYQETXTP, 5734364]
[paragraph, [369.0, 151.0, 1137.0, 36.0], shoonya_2s8P55IYQETXTP, 5734364]
[paragraph, [369.0, 187.0, 1137.0, 36.0], shoonya_2s8P55IYQETXTP, 5734364]
[paragraph, [369.0, 223.0, 1137.0, 36.0], shoonya_2s8P55IYQETXTP, 5734364]
[paragraph, [369.0, 259.0, 1137.0, 36.0], shoonya_2s8P55IYQETXTP, 5734364]
[paragraph, [369.0, 295.0, 1137.0, 36.0], shoonya_2s8P55IYQETXTP, 5734364]
[paragraph, [369.0, 331.0, 1137.0, 36.0], shoonya_2s8P55IYQETXTP, 5734364]
[paragraph, [369.0, 367.0, 1137.0, 36.0], shoonya_2s8P55IYQETXTP, 5734364]
[paragraph, [369.0, 403.0, 1137.0, 36.0], shoonya_2s8P55IYQETXTP, 5734364]
[paragraph, [369.0, 439.0, 1137.0, 36.0], shoonya_2s8P55IYQETXTP, 5734364]
[paragraph, [374.0, 524.0, 1130.0, 36.0], shoonya_0sBVWZQ3KC0HQ5, 5734364]
[paragraph, [374.0, 560.0, 1130.0, 36.0], shoonya_0sBVWZQ3KC0HQ5, 5734364]
[paragraph, [374.0, 596.0, 1130.0, 36.0], shoonya_0sBVWZQ3KC0HQ5, 5734364]
[paragraph, [374.0, 632.0, 1130.0, 36.0], shoonya_0sBVWZQ3KC0HQ5, 5734364]
[paragraph, [374.0, 668.0, 1130.0, 36.0], shoonya_0sBVWZQ3KC0HQ5, 5734364]
[paragraph, [374.0, 704.0, 1130.0, 36.0], shoonya_0sBVWZQ3KC0HQ5, 5734364]
[paragraph, [374.0, 740.0, 1130.0, 36.0], shoonya_0sBVWZQ3KC0HQ5, 5734364]
[paragraph, [374.0, 776.0, 1130.0, 36.0], shoonya_0sBVWZQ3KC0HQ5, 5734364]
[paragraph, [374.0, 812.0, 1130.0, 36.0], shoonya_0sBVWZQ3KC0HQ5, 5734364]
[paragraph, [374.0, 848.0, 1130.0, 36.0], shoonya_0sBVWZQ3KC0HQ5, 5734364]
[paragraph, [374.0, 884.0, 1130.0, 36.0], shoonya_0sBVWZQ3KC0HQ5, 5734364]
[paragraph, [374.0, 920.0, 1130.0, 36.0], shoonya_0sBVWZQ3KC0HQ5, 5734364]
[paragraph, [374.0, 956.0, 1130.0, 36.0], shoonya_0sBVWZQ3KC0HQ5, 5734364]
[paragraph, [374.0, 992.0, 1130.0, 36.0], shoonya_0sBVWZQ3KC0HQ5, 5734364]
[paragraph, [374.0, 1028.0, 1130.0, 36.0], shoonya_0sBVWZQ3KC0HQ5, 5734364]
[paragraph, [374.0, 1064.0, 1130.0, 36.0], shoonya_0sBVWZQ3KC0HQ5, 5734364]
[paragraph, [374.0, 1100.0, 1130.0, 36.0], shoonya_0sBVWZQ3KC0HQ5, 5734364]
[paragraph, [374.0, 1136.0, 1130.0, 36.0], shoonya_0sBVWZQ3KC0HQ5, 5734364]
[paragraph, [374.0, 1172.0, 1130.0, 36.0], shoonya_0sBVWZQ3KC0HQ5, 5734364]
[paragraph, [374.0, 1208.0, 1130.0, 36.0], shoonya_0sBVWZQ3KC0HQ5, 5734364]
[paragraph, [374.0, 1244.0, 1130.0, 36.0], shoonya_0sBVWZQ3KC0HQ5, 5734364]
[paragraph, [372.0, 1323.0, 1135.0, 36.0], shoonya_1sH5WV56CMDQMI, 5734364]
[paragraph, [372.0, 1359.0, 1135.0, 36.0], shoonya_1sH5WV56CMDQMI, 5734364]
[paragraph, [372.0, 1395.0, 1135.0, 36.0], shoonya_1sH5WV56CMDQMI, 5734364]
[paragraph, [372.0, 1431.0, 1135.0, 36.0], shoonya_1sH5WV56CMDQMI, 5734364]
[paragraph, [372.0, 1467.0, 1135.0, 36.0], shoonya_1sH5WV56CMDQMI, 5734364]
[paragraph, [372.0, 1503.0, 1135.0, 36.0], shoonya_1sH5WV56CMDQMI, 5734364]
[paragraph, [372.0, 1539.0, 1135.0, 36.0], shoonya_1sH5WV56CMDQMI, 5734364]
[paragraph, [372.0, 1575.0, 1135.0, 36.0], shoonya_1sH5WV56CMDQMI, 5734364]
[paragraph, [372.0, 1611.0, 1135.0, 36.0], shoonya_1sH5WV56CMDQMI, 5734364]
[paragraph, [372.0, 1647.0, 1135.0, 36.0], shoonya_1sH5WV56CMDQMI, 5734364]
[paragraph, [372.0, 1683.0, 1135.0, 36.0], shoonya_1sH5WV56CMDQMI, 5734364]
[paragraph, [372.0, 1719.0, 1135.0, 36.0], shoonya_1sH5WV56CMDQMI, 5734364]
[paragraph, [372.0, 1755.0, 1135.0, 36.0], shoonya_1sH5WV56CMDQMI, 5734364]
[paragraph, [372.0, 1791.0, 1135.0, 36.0], shoonya_1sH5WV56CMDQMI, 5734364]
[paragraph, [372.0, 1827.0, 1135.0, 36.0], shoonya_1sH5WV56CMDQMI, 5734364]
[paragraph, [372.0, 1863.0, 1135.0, 36.0], shoonya_1sH5WV56CMDQMI, 5734364]
[paragraph, [375.0, 1963.0, 1131.0, 36.0], shoonya_3sKIQYKYZFW0QH, 5734364]
[paragraph, [375.0, 1999.0, 1131.0, 36.0], shoonya_3sKIQYKYZFW0QH, 5734364]
