[2339, 1656]
[headline, [188.0, 191.0, 778.0, 67.5], shoonya_3s5DWDA2BFA00O, 5752438]
[author, [190.0, 283.0, 254.0, 36.0], CDdLvVQhN5, 5752438]
[paragraph, [186.0, 430.0, 1285.0, 36.0], shoonya_1sU479Y3SJU53X, 5752438]
[paragraph, [186.0, 466.0, 1285.0, 36.0], shoonya_1sU479Y3SJU53X, 5752438]
[paragraph, [186.0, 502.0, 1285.0, 36.0], shoonya_1sU479Y3SJU53X, 5752438]
[paragraph, [186.0, 538.0, 1285.0, 36.0], shoonya_1sU479Y3SJU53X, 5752438]
[paragraph, [186.0, 574.0, 1285.0, 36.0], shoonya_1sU479Y3SJU53X, 5752438]
[paragraph, [186.0, 610.0, 1285.0, 36.0], shoonya_1sU479Y3SJU53X, 5752438]
[paragraph, [186.0, 646.0, 1285.0, 36.0], shoonya_1sU479Y3SJU53X, 5752438]
[paragraph, [186.0, 682.0, 1285.0, 36.0], shoonya_1sU479Y3SJU53X, 5752438]
[paragraph, [186.0, 718.0, 1285.0, 36.0], shoonya_1sU479Y3SJU53X, 5752438]
[paragraph, [186.0, 754.0, 1285.0, 36.0], shoonya_1sU479Y3SJU53X, 5752438]
[paragraph, [186.0, 790.0, 1285.0, 36.0], shoonya_1sU479Y3SJU53X, 5752438]
[paragraph, [186.0, 826.0, 1285.0, 36.0], shoonya_1sU479Y3SJU53X, 5752438]
[paragraph, [186.0, 862.0, 1285.0, 36.0], shoonya_1sU479Y3SJU53X, 5752438]
[paragraph, [186.0, 898.0, 1285.0, 36.0], shoonya_1sU479Y3SJU53X, 5752438]
[paragraph, [186.0, 934.0, 1285.0, 36.0], shoonya_1sU479Y3SJU53X, 5752438]
[paragraph, [186.0, 970.0, 1285.0, 36.0], shoonya_1sU479Y3SJU53X, 5752438]
[paragraph, [186.0, 1006.0, 1285.0, 36.0], shoonya_1sU479Y3SJU53X, 5752438]
[paragraph, [186.0, 1042.0, 1285.0, 36.0], shoonya_1sU479Y3SJU53X, 5752438]
[paragraph, [186.0, 1078.0, 1285.0, 36.0], shoonya_1sU479Y3SJU53X, 5752438]
[paragraph, [186.0, 1114.0, 1285.0, 36.0], shoonya_1sU479Y3SJU53X, 5752438]
[paragraph, [186.0, 1150.0, 1285.0, 36.0], shoonya_1sU479Y3SJU53X, 5752438]
[paragraph, [186.0, 1186.0, 1285.0, 36.0], shoonya_1sU479Y3SJU53X, 5752438]
[paragraph, [186.0, 1222.0, 1285.0, 36.0], shoonya_1sU479Y3SJU53X, 5752438]
[paragraph, [186.0, 1258.0, 1285.0, 36.0], shoonya_1sU479Y3SJU53X, 5752438]
[paragraph, [186.0, 1294.0, 1285.0, 36.0], shoonya_1sU479Y3SJU53X, 5752438]
[paragraph, [186.0, 1330.0, 1285.0, 36.0], shoonya_1sU479Y3SJU53X, 5752438]
[paragraph, [186.0, 1366.0, 1285.0, 36.0], shoonya_1sU479Y3SJU53X, 5752438]
[paragraph, [186.0, 1402.0, 1285.0, 36.0], shoonya_1sU479Y3SJU53X, 5752438]
[paragraph, [186.0, 1539.0, 1287.0, 36.0], shoonya_2sI0ZTJASTO2D1, 5752438]
[paragraph, [186.0, 1575.0, 1287.0, 36.0], shoonya_2sI0ZTJASTO2D1, 5752438]
[paragraph, [186.0, 1611.0, 1287.0, 36.0], shoonya_2sI0ZTJASTO2D1, 5752438]
[paragraph, [186.0, 1647.0, 1287.0, 36.0], shoonya_2sI0ZTJASTO2D1, 5752438]
[paragraph, [186.0, 1683.0, 1287.0, 36.0], shoonya_2sI0ZTJASTO2D1, 5752438]
[paragraph, [186.0, 1719.0, 1287.0, 36.0], shoonya_2sI0ZTJASTO2D1, 5752438]
[paragraph, [186.0, 1755.0, 1287.0, 36.0], shoonya_2sI0ZTJASTO2D1, 5752438]
[paragraph, [186.0, 1791.0, 1287.0, 36.0], shoonya_2sI0ZTJASTO2D1, 5752438]
[paragraph, [186.0, 1827.0, 1287.0, 36.0], shoonya_2sI0ZTJASTO2D1, 5752438]
[paragraph, [186.0, 1863.0, 1287.0, 36.0], shoonya_2sI0ZTJASTO2D1, 5752438]
[paragraph, [186.0, 1899.0, 1287.0, 36.0], shoonya_2sI0ZTJASTO2D1, 5752438]
[paragraph, [186.0, 1935.0, 1287.0, 36.0], shoonya_2sI0ZTJASTO2D1, 5752438]
[paragraph, [186.0, 1971.0, 1287.0, 36.0], shoonya_2sI0ZTJASTO2D1, 5752438]
[paragraph, [186.0, 2007.0, 1287.0, 36.0], shoonya_2sI0ZTJASTO2D1, 5752438]
[dateline, [1003.0, 2140.0, 356.0, 64.5], Rn2jksA9HA, 5752438]
[folio, [298.0, 2144.0, 484.0, 36.0], MXHsYH_cFb, 5752438]
