[3968, 2806]
[paragraph, [1400.0, 224.0, 1190.0, 52.5], shoonya_0sULGC0LI3OA7T, 5683617]
[paragraph, [1400.0, 276.5, 1190.0, 52.5], shoonya_0sULGC0LI3OA7T, 5683617]
[paragraph, [1400.0, 329.0, 1190.0, 52.5], shoonya_0sULGC0LI3OA7T, 5683617]
[paragraph, [1400.0, 381.5, 1190.0, 52.5], shoonya_0sULGC0LI3OA7T, 5683617]
[paragraph, [1400.0, 434.0, 1190.0, 52.5], shoonya_0sULGC0LI3OA7T, 5683617]
[paragraph, [1400.0, 486.5, 1190.0, 52.5], shoonya_0sULGC0LI3OA7T, 5683617]
[paragraph, [1400.0, 539.0, 1190.0, 52.5], shoonya_0sULGC0LI3OA7T, 5683617]
[paragraph, [1400.0, 591.5, 1190.0, 52.5], shoonya_0sULGC0LI3OA7T, 5683617]
[paragraph, [1400.0, 644.0, 1190.0, 52.5], shoonya_0sULGC0LI3OA7T, 5683617]
[paragraph, [1400.0, 696.5, 1190.0, 52.5], shoonya_0sULGC0LI3OA7T, 5683617]
[paragraph, [1400.0, 749.0, 1190.0, 52.5], shoonya_0sULGC0LI3OA7T, 5683617]
[paragraph, [1400.0, 801.5, 1190.0, 52.5], shoonya_0sULGC0LI3OA7T, 5683617]
[paragraph, [1400.0, 854.0, 1190.0, 52.5], shoonya_0sULGC0LI3OA7T, 5683617]
[paragraph, [1400.0, 906.5, 1190.0, 52.5], shoonya_0sULGC0LI3OA7T, 5683617]
[paragraph, [1400.0, 959.0, 1190.0, 52.5], shoonya_0sULGC0LI3OA7T, 5683617]
[paragraph, [1400.0, 1011.5, 1190.0, 52.5], shoonya_0sULGC0LI3OA7T, 5683617]
[paragraph, [1400.0, 1064.0, 1190.0, 52.5], shoonya_0sULGC0LI3OA7T, 5683617]
[paragraph, [1400.0, 1116.5, 1190.0, 52.5], shoonya_0sULGC0LI3OA7T, 5683617]
[paragraph, [1400.0, 1169.0, 1190.0, 52.5], shoonya_0sULGC0LI3OA7T, 5683617]
[paragraph, [1400.0, 1221.5, 1190.0, 52.5], shoonya_0sULGC0LI3OA7T, 5683617]
[paragraph, [1400.0, 1274.0, 1190.0, 52.5], shoonya_0sULGC0LI3OA7T, 5683617]
[paragraph, [1400.0, 1326.5, 1190.0, 52.5], shoonya_0sULGC0LI3OA7T, 5683617]
[paragraph, [1400.0, 1379.0, 1190.0, 52.5], shoonya_0sULGC0LI3OA7T, 5683617]
[paragraph, [1400.0, 1431.5, 1190.0, 52.5], shoonya_0sULGC0LI3OA7T, 5683617]
[paragraph, [1400.0, 1484.0, 1190.0, 52.5], shoonya_0sULGC0LI3OA7T, 5683617]
[paragraph, [1400.0, 1536.5, 1190.0, 52.5], shoonya_0sULGC0LI3OA7T, 5683617]
[paragraph, [1400.0, 1589.0, 1190.0, 52.5], shoonya_0sULGC0LI3OA7T, 5683617]
[paragraph, [1400.0, 1641.5, 1190.0, 52.5], shoonya_0sULGC0LI3OA7T, 5683617]
[paragraph, [1400.0, 1694.0, 1190.0, 52.5], shoonya_0sULGC0LI3OA7T, 5683617]
[paragraph, [1400.0, 1746.5, 1190.0, 52.5], shoonya_0sULGC0LI3OA7T, 5683617]
[paragraph, [1400.0, 1799.0, 1190.0, 52.5], shoonya_0sULGC0LI3OA7T, 5683617]
[paragraph, [1400.0, 1851.5, 1190.0, 52.5], shoonya_0sULGC0LI3OA7T, 5683617]
[paragraph, [173.0, 226.0, 1188.0, 52.5], shoonya_6s76TJP8OO0RXV, 5683617]
[paragraph, [173.0, 278.5, 1188.0, 52.5], shoonya_6s76TJP8OO0RXV, 5683617]
[paragraph, [173.0, 331.0, 1188.0, 52.5], shoonya_6s76TJP8OO0RXV, 5683617]
[paragraph, [173.0, 383.5, 1188.0, 52.5], shoonya_6s76TJP8OO0RXV, 5683617]
[paragraph, [173.0, 436.0, 1188.0, 52.5], shoonya_6s76TJP8OO0RXV, 5683617]
[paragraph, [173.0, 488.5, 1188.0, 52.5], shoonya_6s76TJP8OO0RXV, 5683617]
[paragraph, [173.0, 541.0, 1188.0, 52.5], shoonya_6s76TJP8OO0RXV, 5683617]
[paragraph, [173.0, 593.5, 1188.0, 52.5], shoonya_6s76TJP8OO0RXV, 5683617]
[paragraph, [173.0, 646.0, 1188.0, 52.5], shoonya_6s76TJP8OO0RXV, 5683617]
[paragraph, [160.0, 772.0, 1195.0, 52.5], shoonya_1sIJVGBNPVMYTG, 5683617]
[paragraph, [160.0, 824.5, 1195.0, 52.5], shoonya_1sIJVGBNPVMYTG, 5683617]
[paragraph, [160.0, 877.0, 1195.0, 52.5], shoonya_1sIJVGBNPVMYTG, 5683617]
[paragraph, [160.0, 929.5, 1195.0, 52.5], shoonya_1sIJVGBNPVMYTG, 5683617]
[paragraph, [160.0, 982.0, 1195.0, 52.5], shoonya_1sIJVGBNPVMYTG, 5683617]
