[792, 612]
[folio, [260.0, 30.0, 69.0, 18.0], jxExFPddpD, 6493065]
[paragraph, [85.0, 68.0, 419.0, 18.0], 5syA3IL2WJ, 6493065]
[paragraph, [85.0, 86.0, 419.0, 18.0], 5syA3IL2WJ, 6493065]
[paragraph, [85.0, 104.0, 419.0, 18.0], 5syA3IL2WJ, 6493065]
[paragraph, [95.0, 134.0, 399.0, 18.0], rZRVBkv0Ie, 6493065]
[paragraph, [95.0, 152.0, 399.0, 18.0], rZRVBkv0Ie, 6493065]
[paragraph, [95.0, 170.0, 399.0, 18.0], rZRVBkv0Ie, 6493065]
[paragraph, [95.0, 188.0, 399.0, 18.0], rZRVBkv0Ie, 6493065]
[paragraph, [95.0, 206.0, 399.0, 18.0], rZRVBkv0Ie, 6493065]
[paragraph, [101.0, 237.0, 403.0, 18.0], oPIlsBfOvp, 6493065]
[paragraph, [101.0, 255.0, 403.0, 18.0], oPIlsBfOvp, 6493065]
[paragraph, [101.0, 273.0, 403.0, 18.0], oPIlsBfOvp, 6493065]
[paragraph, [101.0, 291.0, 403.0, 18.0], oPIlsBfOvp, 6493065]
[paragraph, [92.0, 318.0, 413.0, 18.0], m5r1p4kXuO, 6493065]
[paragraph, [92.0, 336.0, 413.0, 18.0], m5r1p4kXuO, 6493065]
[paragraph, [92.0, 354.0, 413.0, 18.0], m5r1p4kXuO, 6493065]
[paragraph, [92.0, 372.0, 413.0, 18.0], m5r1p4kXuO, 6493065]
[paragraph, [100.0, 399.0, 409.0, 18.0], fuNOCWvzok, 6493065]
[paragraph, [100.0, 417.0, 409.0, 18.0], fuNOCWvzok, 6493065]
[paragraph, [100.0, 435.0, 409.0, 18.0], fuNOCWvzok, 6493065]
[paragraph, [100.0, 453.0, 409.0, 18.0], fuNOCWvzok, 6493065]
[paragraph, [100.0, 471.0, 409.0, 18.0], fuNOCWvzok, 6493065]
[paragraph, [100.0, 489.0, 409.0, 18.0], fuNOCWvzok, 6493065]
[paragraph, [100.0, 507.0, 409.0, 18.0], fuNOCWvzok, 6493065]
[paragraph, [100.0, 525.0, 409.0, 18.0], fuNOCWvzok, 6493065]
[paragraph, [100.0, 543.0, 409.0, 18.0], fuNOCWvzok, 6493065]
[paragraph, [100.0, 561.0, 409.0, 18.0], fuNOCWvzok, 6493065]
[paragraph, [93.0, 598.0, 413.0, 18.0], XcFbhvRJ6T, 6493065]
[paragraph, [93.0, 616.0, 413.0, 18.0], XcFbhvRJ6T, 6493065]
[paragraph, [93.0, 634.0, 413.0, 18.0], XcFbhvRJ6T, 6493065]
[paragraph, [93.0, 652.0, 413.0, 18.0], XcFbhvRJ6T, 6493065]
[paragraph, [93.0, 670.0, 413.0, 18.0], XcFbhvRJ6T, 6493065]
