[2230, 1704]
[paragraph, [1076.0, 159.0, 553.0, 36.0], shoonya_0sXR6CW35QAXZH, 5653979]
[paragraph, [1076.0, 195.0, 553.0, 36.0], shoonya_0sXR6CW35QAXZH, 5653979]
[paragraph, [1076.0, 231.0, 553.0, 36.0], shoonya_0sXR6CW35QAXZH, 5653979]
[paragraph, [1076.0, 267.0, 553.0, 36.0], shoonya_0sXR6CW35QAXZH, 5653979]
[paragraph, [1076.0, 303.0, 553.0, 36.0], shoonya_0sXR6CW35QAXZH, 5653979]
[paragraph, [1076.0, 339.0, 553.0, 36.0], shoonya_0sXR6CW35QAXZH, 5653979]
[paragraph, [1076.0, 375.0, 553.0, 36.0], shoonya_0sXR6CW35QAXZH, 5653979]
[paragraph, [1076.0, 411.0, 553.0, 36.0], shoonya_0sXR6CW35QAXZH, 5653979]
[paragraph, [1076.0, 447.0, 553.0, 36.0], shoonya_0sXR6CW35QAXZH, 5653979]
[paragraph, [1076.0, 483.0, 553.0, 36.0], shoonya_0sXR6CW35QAXZH, 5653979]
[paragraph, [1076.0, 519.0, 553.0, 36.0], shoonya_0sXR6CW35QAXZH, 5653979]
[paragraph, [1076.0, 555.0, 553.0, 36.0], shoonya_0sXR6CW35QAXZH, 5653979]
[paragraph, [1076.0, 591.0, 553.0, 36.0], shoonya_0sXR6CW35QAXZH, 5653979]
[paragraph, [1076.0, 627.0, 553.0, 36.0], shoonya_0sXR6CW35QAXZH, 5653979]
[paragraph, [1076.0, 663.0, 553.0, 36.0], shoonya_0sXR6CW35QAXZH, 5653979]
[paragraph, [1076.0, 699.0, 553.0, 36.0], shoonya_0sXR6CW35QAXZH, 5653979]
[paragraph, [1076.0, 735.0, 553.0, 36.0], shoonya_0sXR6CW35QAXZH, 5653979]
[paragraph, [1076.0, 771.0, 553.0, 36.0], shoonya_0sXR6CW35QAXZH, 5653979]
[paragraph, [1076.0, 807.0, 553.0, 36.0], shoonya_0sXR6CW35QAXZH, 5653979]
[paragraph, [1076.0, 843.0, 553.0, 36.0], shoonya_0sXR6CW35QAXZH, 5653979]
[paragraph, [1076.0, 879.0, 553.0, 36.0], shoonya_0sXR6CW35QAXZH, 5653979]
[paragraph, [1076.0, 915.0, 553.0, 36.0], shoonya_0sXR6CW35QAXZH, 5653979]
[paragraph, [14.0, 165.0, 592.0, 36.0], shoonya_1sZ8LI02M8GE5K, 5653979]
[paragraph, [14.0, 201.0, 592.0, 36.0], shoonya_1sZ8LI02M8GE5K, 5653979]
[paragraph, [14.0, 237.0, 592.0, 36.0], shoonya_1sZ8LI02M8GE5K, 5653979]
[paragraph, [14.0, 273.0, 592.0, 36.0], shoonya_1sZ8LI02M8GE5K, 5653979]
