[2338, 1654]
[paragraph, [367.0, 133.0, 628.0, 36.0], shoonya_1sTQHIC9LEWIUB, 5753408]
[paragraph, [367.0, 169.0, 628.0, 36.0], shoonya_1sTQHIC9LEWIUB, 5753408]
[paragraph, [367.0, 205.0, 628.0, 36.0], shoonya_1sTQHIC9LEWIUB, 5753408]
[paragraph, [367.0, 241.0, 628.0, 36.0], shoonya_1sTQHIC9LEWIUB, 5753408]
[paragraph, [367.0, 277.0, 628.0, 36.0], shoonya_1sTQHIC9LEWIUB, 5753408]
[paragraph, [367.0, 313.0, 628.0, 36.0], shoonya_1sTQHIC9LEWIUB, 5753408]
[paragraph, [367.0, 349.0, 628.0, 36.0], shoonya_1sTQHIC9LEWIUB, 5753408]
[paragraph, [367.0, 385.0, 628.0, 36.0], shoonya_1sTQHIC9LEWIUB, 5753408]
[paragraph, [367.0, 421.0, 628.0, 36.0], shoonya_1sTQHIC9LEWIUB, 5753408]
[paragraph, [367.0, 457.0, 628.0, 36.0], shoonya_1sTQHIC9LEWIUB, 5753408]
[paragraph, [367.0, 493.0, 628.0, 36.0], shoonya_1sTQHIC9LEWIUB, 5753408]
[paragraph, [367.0, 529.0, 628.0, 36.0], shoonya_1sTQHIC9LEWIUB, 5753408]
[paragraph, [367.0, 565.0, 628.0, 36.0], shoonya_1sTQHIC9LEWIUB, 5753408]
[paragraph, [367.0, 601.0, 628.0, 36.0], shoonya_1sTQHIC9LEWIUB, 5753408]
[paragraph, [367.0, 637.0, 628.0, 36.0], shoonya_1sTQHIC9LEWIUB, 5753408]
[paragraph, [367.0, 673.0, 628.0, 36.0], shoonya_1sTQHIC9LEWIUB, 5753408]
[paragraph, [367.0, 709.0, 628.0, 36.0], shoonya_1sTQHIC9LEWIUB, 5753408]
[paragraph, [367.0, 745.0, 628.0, 36.0], shoonya_1sTQHIC9LEWIUB, 5753408]
[paragraph, [367.0, 781.0, 628.0, 36.0], shoonya_1sTQHIC9LEWIUB, 5753408]
[paragraph, [367.0, 817.0, 628.0, 36.0], shoonya_1sTQHIC9LEWIUB, 5753408]
[paragraph, [367.0, 853.0, 628.0, 36.0], shoonya_1sTQHIC9LEWIUB, 5753408]
[paragraph, [367.0, 889.0, 628.0, 36.0], shoonya_1sTQHIC9LEWIUB, 5753408]
[paragraph, [367.0, 925.0, 628.0, 36.0], shoonya_1sTQHIC9LEWIUB, 5753408]
[paragraph, [367.0, 961.0, 628.0, 36.0], shoonya_1sTQHIC9LEWIUB, 5753408]
[paragraph, [367.0, 997.0, 628.0, 36.0], shoonya_1sTQHIC9LEWIUB, 5753408]
[paragraph, [367.0, 1033.0, 628.0, 36.0], shoonya_1sTQHIC9LEWIUB, 5753408]
[paragraph, [367.0, 1069.0, 628.0, 36.0], shoonya_1sTQHIC9LEWIUB, 5753408]
