[2339, 1654]
[paragraph, [89.0, 109.0, 1456.0, 36.0], shoonya_0sERY64NVCN5AZ, 5751083]
[paragraph, [89.0, 145.0, 1456.0, 36.0], shoonya_0sERY64NVCN5AZ, 5751083]
[paragraph, [89.0, 181.0, 1456.0, 36.0], shoonya_0sERY64NVCN5AZ, 5751083]
[paragraph, [89.0, 217.0, 1456.0, 36.0], shoonya_0sERY64NVCN5AZ, 5751083]
[paragraph, [89.0, 253.0, 1456.0, 36.0], shoonya_0sERY64NVCN5AZ, 5751083]
[paragraph, [89.0, 289.0, 1456.0, 36.0], shoonya_0sERY64NVCN5AZ, 5751083]
[paragraph, [89.0, 325.0, 1456.0, 36.0], shoonya_0sERY64NVCN5AZ, 5751083]
[paragraph, [89.0, 361.0, 1456.0, 36.0], shoonya_0sERY64NVCN5AZ, 5751083]
[paragraph, [89.0, 397.0, 1456.0, 36.0], shoonya_0sERY64NVCN5AZ, 5751083]
[paragraph, [89.0, 433.0, 1456.0, 36.0], shoonya_0sERY64NVCN5AZ, 5751083]
[paragraph, [89.0, 469.0, 1456.0, 36.0], shoonya_0sERY64NVCN5AZ, 5751083]
[paragraph, [241.0, 512.0, 1158.0, 36.0], F0sHsZrBuC, 5751083]
[paragraph, [241.0, 548.0, 1158.0, 36.0], F0sHsZrBuC, 5751083]
[paragraph, [241.0, 584.0, 1158.0, 36.0], F0sHsZrBuC, 5751083]
[reference, [935.0, 632.0, 454.0, 36.0], -HsCt4EXfK, 5751083]
[paragraph, [92.0, 704.0, 1451.0, 36.0], eA04ooiGPe, 5751083]
[paragraph, [92.0, 740.0, 1451.0, 36.0], eA04ooiGPe, 5751083]
[paragraph, [92.0, 776.0, 1451.0, 36.0], eA04ooiGPe, 5751083]
[paragraph, [92.0, 812.0, 1451.0, 36.0], eA04ooiGPe, 5751083]
[paragraph, [92.0, 848.0, 1451.0, 36.0], eA04ooiGPe, 5751083]
[paragraph, [216.0, 905.0, 1205.0, 36.0], N6VacBtBva, 5751083]
[reference, [832.0, 975.0, 590.0, 36.0], xFVgJC7xoL, 5751083]
[paragraph, [94.0, 1024.0, 1451.0, 36.0], YLIak02kiF, 5751083]
[paragraph, [94.0, 1060.0, 1451.0, 36.0], YLIak02kiF, 5751083]
[paragraph, [94.0, 1096.0, 1451.0, 36.0], YLIak02kiF, 5751083]
[paragraph, [94.0, 1132.0, 1451.0, 36.0], YLIak02kiF, 5751083]
[paragraph, [243.0, 1175.0, 1053.0, 36.0], fO_mHtkeU_, 5751083]
[paragraph, [243.0, 1211.0, 1053.0, 36.0], fO_mHtkeU_, 5751083]
[reference, [883.0, 1237.0, 510.0, 36.0], KZCf2Bb2KV, 5751083]
[paragraph, [99.0, 1299.0, 1453.0, 36.0], qou6abcyZe, 5751083]
[paragraph, [99.0, 1335.0, 1453.0, 36.0], qou6abcyZe, 5751083]
[paragraph, [99.0, 1371.0, 1453.0, 36.0], qou6abcyZe, 5751083]
[paragraph, [99.0, 1407.0, 1453.0, 36.0], qou6abcyZe, 5751083]
[paragraph, [99.0, 1443.0, 1453.0, 36.0], qou6abcyZe, 5751083]
[paragraph, [99.0, 1479.0, 1453.0, 36.0], qou6abcyZe, 5751083]
[paragraph, [99.0, 1515.0, 1453.0, 36.0], qou6abcyZe, 5751083]
[paragraph, [99.0, 1551.0, 1453.0, 36.0], qou6abcyZe, 5751083]
[paragraph, [99.0, 1587.0, 1453.0, 36.0], qou6abcyZe, 5751083]
[paragraph, [99.0, 1623.0, 1453.0, 36.0], qou6abcyZe, 5751083]
[paragraph, [99.0, 1659.0, 1453.0, 36.0], qou6abcyZe, 5751083]
[paragraph, [99.0, 1695.0, 1453.0, 36.0], qou6abcyZe, 5751083]
[paragraph, [99.0, 1731.0, 1453.0, 36.0], qou6abcyZe, 5751083]
[paragraph, [99.0, 1767.0, 1453.0, 36.0], qou6abcyZe, 5751083]
[paragraph, [99.0, 1803.0, 1453.0, 36.0], qou6abcyZe, 5751083]
[paragraph, [99.0, 1839.0, 1453.0, 36.0], qou6abcyZe, 5751083]
[paragraph, [249.0, 1886.0, 1150.0, 36.0], V1vt_kvXZe, 5751083]
[paragraph, [249.0, 1922.0, 1150.0, 36.0], V1vt_kvXZe, 5751083]
[paragraph, [249.0, 1958.0, 1150.0, 36.0], V1vt_kvXZe, 5751083]
[reference, [931.0, 2004.0, 468.0, 36.0], e_7_gkW-kq, 5751083]
[paragraph, [99.0, 2076.0, 1455.0, 36.0], dsSCCxCuLq, 5751083]
[paragraph, [99.0, 2112.0, 1455.0, 36.0], dsSCCxCuLq, 5751083]
[paragraph, [99.0, 2148.0, 1455.0, 36.0], dsSCCxCuLq, 5751083]
[paragraph, [99.0, 2184.0, 1455.0, 36.0], dsSCCxCuLq, 5751083]
[paragraph, [99.0, 2220.0, 1455.0, 36.0], dsSCCxCuLq, 5751083]
