[2338, 1654]
[paragraph, [163.0, 174.0, 1115.0, 36.0], shoonya_0sRM2XN4BR0F66, 5754207]
[paragraph, [163.0, 210.0, 1115.0, 36.0], shoonya_0sRM2XN4BR0F66, 5754207]
[paragraph, [163.0, 246.0, 1115.0, 36.0], shoonya_0sRM2XN4BR0F66, 5754207]
[paragraph, [163.0, 282.0, 1115.0, 36.0], shoonya_0sRM2XN4BR0F66, 5754207]
[paragraph, [163.0, 318.0, 1115.0, 36.0], shoonya_0sRM2XN4BR0F66, 5754207]
[paragraph, [163.0, 354.0, 1115.0, 36.0], shoonya_0sRM2XN4BR0F66, 5754207]
[paragraph, [163.0, 390.0, 1115.0, 36.0], shoonya_0sRM2XN4BR0F66, 5754207]
[paragraph, [163.0, 426.0, 1115.0, 36.0], shoonya_0sRM2XN4BR0F66, 5754207]
[paragraph, [163.0, 462.0, 1115.0, 36.0], shoonya_0sRM2XN4BR0F66, 5754207]
[paragraph, [163.0, 498.0, 1115.0, 36.0], shoonya_0sRM2XN4BR0F66, 5754207]
[paragraph, [163.0, 534.0, 1115.0, 36.0], shoonya_0sRM2XN4BR0F66, 5754207]
[paragraph, [163.0, 570.0, 1115.0, 36.0], shoonya_0sRM2XN4BR0F66, 5754207]
[paragraph, [163.0, 606.0, 1115.0, 36.0], shoonya_0sRM2XN4BR0F66, 5754207]
[paragraph, [163.0, 642.0, 1115.0, 36.0], shoonya_0sRM2XN4BR0F66, 5754207]
[paragraph, [163.0, 678.0, 1115.0, 36.0], shoonya_0sRM2XN4BR0F66, 5754207]
[paragraph, [163.0, 714.0, 1115.0, 36.0], shoonya_0sRM2XN4BR0F66, 5754207]
[paragraph, [163.0, 750.0, 1115.0, 36.0], shoonya_0sRM2XN4BR0F66, 5754207]
[paragraph, [163.0, 786.0, 1115.0, 36.0], shoonya_0sRM2XN4BR0F66, 5754207]
[paragraph, [163.0, 822.0, 1115.0, 36.0], shoonya_0sRM2XN4BR0F66, 5754207]
[paragraph, [163.0, 858.0, 1115.0, 36.0], shoonya_0sRM2XN4BR0F66, 5754207]
[paragraph, [163.0, 894.0, 1115.0, 36.0], shoonya_0sRM2XN4BR0F66, 5754207]
[paragraph, [163.0, 930.0, 1115.0, 36.0], shoonya_0sRM2XN4BR0F66, 5754207]
[paragraph, [163.0, 966.0, 1115.0, 36.0], shoonya_0sRM2XN4BR0F66, 5754207]
[paragraph, [163.0, 1002.0, 1115.0, 36.0], shoonya_0sRM2XN4BR0F66, 5754207]
[paragraph, [163.0, 1038.0, 1115.0, 36.0], shoonya_0sRM2XN4BR0F66, 5754207]
[paragraph, [163.0, 1074.0, 1115.0, 36.0], shoonya_0sRM2XN4BR0F66, 5754207]
[paragraph, [163.0, 1110.0, 1115.0, 36.0], shoonya_0sRM2XN4BR0F66, 5754207]
[paragraph, [163.0, 1146.0, 1115.0, 36.0], shoonya_0sRM2XN4BR0F66, 5754207]
[paragraph, [163.0, 1182.0, 1115.0, 36.0], shoonya_0sRM2XN4BR0F66, 5754207]
[paragraph, [163.0, 1218.0, 1115.0, 36.0], shoonya_0sRM2XN4BR0F66, 5754207]
[paragraph, [163.0, 1254.0, 1115.0, 36.0], shoonya_0sRM2XN4BR0F66, 5754207]
[paragraph, [163.0, 1290.0, 1115.0, 36.0], shoonya_0sRM2XN4BR0F66, 5754207]
[paragraph, [163.0, 1326.0, 1115.0, 36.0], shoonya_0sRM2XN4BR0F66, 5754207]
[paragraph, [163.0, 1362.0, 1115.0, 36.0], shoonya_0sRM2XN4BR0F66, 5754207]
[paragraph, [163.0, 1398.0, 1115.0, 36.0], shoonya_0sRM2XN4BR0F66, 5754207]
[paragraph, [163.0, 1434.0, 1115.0, 36.0], shoonya_0sRM2XN4BR0F66, 5754207]
[paragraph, [163.0, 1470.0, 1115.0, 36.0], shoonya_0sRM2XN4BR0F66, 5754207]
[paragraph, [163.0, 1506.0, 1115.0, 36.0], shoonya_0sRM2XN4BR0F66, 5754207]
[paragraph, [163.0, 1542.0, 1115.0, 36.0], shoonya_0sRM2XN4BR0F66, 5754207]
[paragraph, [163.0, 1578.0, 1115.0, 36.0], shoonya_0sRM2XN4BR0F66, 5754207]
[paragraph, [163.0, 1614.0, 1115.0, 36.0], shoonya_0sRM2XN4BR0F66, 5754207]
[paragraph, [163.0, 1650.0, 1115.0, 36.0], shoonya_0sRM2XN4BR0F66, 5754207]
[paragraph, [163.0, 1686.0, 1115.0, 36.0], shoonya_0sRM2XN4BR0F66, 5754207]
[paragraph, [163.0, 1722.0, 1115.0, 36.0], shoonya_0sRM2XN4BR0F66, 5754207]
[paragraph, [163.0, 1758.0, 1115.0, 36.0], shoonya_0sRM2XN4BR0F66, 5754207]
[paragraph, [163.0, 1794.0, 1115.0, 36.0], shoonya_0sRM2XN4BR0F66, 5754207]
[paragraph, [163.0, 1830.0, 1115.0, 36.0], shoonya_0sRM2XN4BR0F66, 5754207]
[reference, [171.0, 1910.0, 775.0, 36.0], shoonya_1sY8YBI25283AF, 5754207]
[reference, [171.0, 1946.0, 775.0, 36.0], shoonya_1sY8YBI25283AF, 5754207]
[reference, [171.0, 1982.0, 775.0, 36.0], shoonya_1sY8YBI25283AF, 5754207]
[reference, [171.0, 2018.0, 775.0, 36.0], shoonya_1sY8YBI25283AF, 5754207]
[reference, [171.0, 2054.0, 775.0, 36.0], shoonya_1sY8YBI25283AF, 5754207]
