[2717, 1772]
[folio, [606.0, 236.0, 560.0, 46.5], 8-kmZ6A4IW, 5720974]
[paragraph, [229.0, 345.0, 1329.0, 46.5], shoonya_0sLL5DIM8IZVJM, 5720974]
[paragraph, [229.0, 391.5, 1329.0, 46.5], shoonya_0sLL5DIM8IZVJM, 5720974]
[paragraph, [229.0, 438.0, 1329.0, 46.5], shoonya_0sLL5DIM8IZVJM, 5720974]
[paragraph, [229.0, 484.5, 1329.0, 46.5], shoonya_0sLL5DIM8IZVJM, 5720974]
[paragraph, [221.0, 540.0, 1337.0, 46.5], LWemZvlueb, 5720974]
[paragraph, [221.0, 586.5, 1337.0, 46.5], LWemZvlueb, 5720974]
[paragraph, [221.0, 633.0, 1337.0, 46.5], LWemZvlueb, 5720974]
[paragraph, [221.0, 679.5, 1337.0, 46.5], LWemZvlueb, 5720974]
[paragraph, [221.0, 726.0, 1337.0, 46.5], LWemZvlueb, 5720974]
[paragraph, [225.0, 783.0, 1328.0, 46.5], Ui-NTRd_0n, 5720974]
[paragraph, [225.0, 829.5, 1328.0, 46.5], Ui-NTRd_0n, 5720974]
[paragraph, [223.0, 961.0, 1333.0, 46.5], ZuWrw0anqL, 5720974]
[paragraph, [223.0, 1007.5, 1333.0, 46.5], ZuWrw0anqL, 5720974]
[paragraph, [223.0, 1054.0, 1333.0, 46.5], ZuWrw0anqL, 5720974]
[paragraph, [223.0, 1100.5, 1333.0, 46.5], ZuWrw0anqL, 5720974]
[paragraph, [223.0, 1147.0, 1333.0, 46.5], ZuWrw0anqL, 5720974]
[paragraph, [223.0, 1193.5, 1333.0, 46.5], ZuWrw0anqL, 5720974]
[chapter-title, [631.0, 1417.0, 474.0, 64.5], wryvgSGzs4, 5720974]
[paragraph, [488.0, 1558.0, 619.0, 46.5], shoonya_1sML73LWLMMMI7, 5720974]
[paragraph, [488.0, 1604.5, 619.0, 46.5], shoonya_1sML73LWLMMMI7, 5720974]
[paragraph, [489.0, 1669.0, 792.0, 46.5], JiaVD6KYRy, 5720974]
[paragraph, [489.0, 1715.5, 792.0, 46.5], JiaVD6KYRy, 5720974]
[paragraph, [214.0, 1804.0, 1340.0, 46.5], KSD4Tc_x9C, 5720974]
[paragraph, [214.0, 1850.5, 1340.0, 46.5], KSD4Tc_x9C, 5720974]
[paragraph, [214.0, 1897.0, 1340.0, 46.5], KSD4Tc_x9C, 5720974]
[paragraph, [214.0, 1943.5, 1340.0, 46.5], KSD4Tc_x9C, 5720974]
[paragraph, [214.0, 1990.0, 1340.0, 46.5], KSD4Tc_x9C, 5720974]
[paragraph, [214.0, 2036.5, 1340.0, 46.5], KSD4Tc_x9C, 5720974]
[paragraph, [217.0, 2114.0, 1340.0, 46.5], PSknacw7wz, 5720974]
[paragraph, [217.0, 2160.5, 1340.0, 46.5], PSknacw7wz, 5720974]
[paragraph, [217.0, 2207.0, 1340.0, 46.5], PSknacw7wz, 5720974]
[paragraph, [217.0, 2253.5, 1340.0, 46.5], PSknacw7wz, 5720974]
[paragraph, [217.0, 2300.0, 1340.0, 46.5], PSknacw7wz, 5720974]
[paragraph, [217.0, 2346.5, 1340.0, 46.5], PSknacw7wz, 5720974]
[paragraph, [217.0, 2393.0, 1340.0, 46.5], PSknacw7wz, 5720974]
[paragraph, [217.0, 2439.5, 1340.0, 46.5], PSknacw7wz, 5720974]
