[515, 727]
[paragraph, [166.0, 38.0, 231.0, 18.0], mw1n29WH1w, 6533982]
[paragraph, [166.0, 56.0, 231.0, 18.0], mw1n29WH1w, 6533982]
[paragraph, [166.0, 74.0, 231.0, 18.0], mw1n29WH1w, 6533982]
[paragraph, [166.0, 92.0, 231.0, 18.0], mw1n29WH1w, 6533982]
[paragraph, [166.0, 110.0, 231.0, 18.0], mw1n29WH1w, 6533982]
[paragraph, [166.0, 128.0, 231.0, 18.0], mw1n29WH1w, 6533982]
[paragraph, [425.0, 43.0, 272.0, 18.0], shoonya_0sE8KE8O5PIZ1N, 6533982]
[paragraph, [425.0, 61.0, 272.0, 18.0], shoonya_0sE8KE8O5PIZ1N, 6533982]
[paragraph, [425.0, 79.0, 272.0, 18.0], shoonya_0sE8KE8O5PIZ1N, 6533982]
[paragraph, [425.0, 97.0, 272.0, 18.0], shoonya_0sE8KE8O5PIZ1N, 6533982]
[paragraph, [426.0, 126.0, 268.0, 18.0], VGadnevCkC, 6533982]
[paragraph, [426.0, 144.0, 268.0, 18.0], VGadnevCkC, 6533982]
[paragraph, [426.0, 162.0, 268.0, 18.0], VGadnevCkC, 6533982]
[paragraph, [426.0, 180.0, 268.0, 18.0], VGadnevCkC, 6533982]
[paragraph, [426.0, 198.0, 268.0, 18.0], VGadnevCkC, 6533982]
[paragraph, [426.0, 216.0, 268.0, 18.0], VGadnevCkC, 6533982]
[paragraph, [426.0, 234.0, 268.0, 18.0], VGadnevCkC, 6533982]
[paragraph, [124.0, 144.0, 133.0, 18.0], zlW6yl45bL, 6533982]
[paragraph, [124.0, 163.0, 278.0, 18.0], NqjJihvWFy, 6533982]
[paragraph, [124.0, 181.0, 278.0, 18.0], NqjJihvWFy, 6533982]
[paragraph, [124.0, 199.0, 278.0, 18.0], NqjJihvWFy, 6533982]
[paragraph, [124.0, 217.0, 278.0, 18.0], NqjJihvWFy, 6533982]
[paragraph, [124.0, 235.0, 278.0, 18.0], NqjJihvWFy, 6533982]
[paragraph, [124.0, 253.0, 278.0, 18.0], NqjJihvWFy, 6533982]
[paragraph, [124.0, 271.0, 278.0, 18.0], NqjJihvWFy, 6533982]
[paragraph, [124.0, 289.0, 278.0, 18.0], NqjJihvWFy, 6533982]
[paragraph, [470.0, 245.0, 219.0, 18.0], 4Q3zHvKaBq, 6533982]
[paragraph, [424.0, 268.0, 275.0, 18.0], K6QgLVoDhT, 6533982]
[paragraph, [424.0, 286.0, 275.0, 18.0], K6QgLVoDhT, 6533982]
[paragraph, [424.0, 304.0, 275.0, 18.0], K6QgLVoDhT, 6533982]
[paragraph, [424.0, 322.0, 275.0, 18.0], K6QgLVoDhT, 6533982]
[paragraph, [128.0, 321.0, 270.0, 18.0], 0JOt_UGQzk, 6533982]
[paragraph, [128.0, 339.0, 270.0, 18.0], 0JOt_UGQzk, 6533982]
[paragraph, [128.0, 357.0, 270.0, 18.0], 0JOt_UGQzk, 6533982]
[paragraph, [128.0, 375.0, 270.0, 18.0], 0JOt_UGQzk, 6533982]
[paragraph, [128.0, 393.0, 270.0, 18.0], 0JOt_UGQzk, 6533982]
[paragraph, [509.0, 352.0, 123.0, 18.0], ADoLnV4iJL, 6533982]
[paragraph, [463.0, 370.0, 235.0, 18.0], FIHBJhoKeE, 6533982]
[paragraph, [463.0, 388.0, 235.0, 18.0], FIHBJhoKeE, 6533982]
