[2339, 1655]
[folio, [397.0, 245.0, 842.0, 36.0], shoonya_10sS8G2KLLHO60, 5737978]
[folio, [397.0, 281.0, 842.0, 36.0], shoonya_10sS8G2KLLHO60, 5737978]
[paragraph, [476.0, 372.0, 873.0, 36.0], shoonya_9sEUVWFZ4HP023, 5737978]
[paragraph, [198.0, 421.0, 1243.0, 36.0], shoonya_12s74R39M6TNM2, 5737978]
[paragraph, [198.0, 457.0, 1243.0, 36.0], shoonya_12s74R39M6TNM2, 5737978]
[ordered-list, [190.0, 599.0, 1177.0, 36.0], shoonya_6sXYXPBV45GGHW, 5737978]
[ordered-list, [190.0, 635.0, 1177.0, 36.0], shoonya_6sXYXPBV45GGHW, 5737978]
[ordered-list, [190.0, 671.0, 1177.0, 36.0], shoonya_6sXYXPBV45GGHW, 5737978]
[ordered-list, [190.0, 707.0, 1177.0, 36.0], shoonya_6sXYXPBV45GGHW, 5737978]
[ordered-list, [194.0, 863.0, 977.0, 36.0], IQt687UqlF, 5737978]
[ordered-list, [194.0, 899.0, 977.0, 36.0], IQt687UqlF, 5737978]
[ordered-list, [194.0, 935.0, 977.0, 36.0], IQt687UqlF, 5737978]
[ordered-list, [194.0, 1084.0, 1082.0, 36.0], 125Inqbdab, 5737978]
[ordered-list, [194.0, 1120.0, 1082.0, 36.0], 125Inqbdab, 5737978]
[ordered-list, [194.0, 1156.0, 1082.0, 36.0], 125Inqbdab, 5737978]
[ordered-list, [194.0, 1303.0, 1018.0, 36.0], 591d6FttMz, 5737978]
[ordered-list, [194.0, 1339.0, 1018.0, 36.0], 591d6FttMz, 5737978]
[ordered-list, [194.0, 1375.0, 1018.0, 36.0], 591d6FttMz, 5737978]
[ordered-list, [192.0, 1524.0, 985.0, 36.0], NNInKcbzBV, 5737978]
[ordered-list, [192.0, 1560.0, 985.0, 36.0], NNInKcbzBV, 5737978]
[ordered-list, [192.0, 1596.0, 985.0, 36.0], NNInKcbzBV, 5737978]
[ordered-list, [196.0, 1788.0, 1264.0, 36.0], shoonya_1s2HI8CWDEZ56B, 5737978]
[ordered-list, [196.0, 1824.0, 1264.0, 36.0], shoonya_1s2HI8CWDEZ56B, 5737978]
[ordered-list, [196.0, 1860.0, 1264.0, 36.0], shoonya_1s2HI8CWDEZ56B, 5737978]
[ordered-list, [196.0, 1896.0, 1264.0, 36.0], shoonya_1s2HI8CWDEZ56B, 5737978]
[ordered-list, [196.0, 1932.0, 1264.0, 36.0], shoonya_1s2HI8CWDEZ56B, 5737978]
[ordered-list, [196.0, 1968.0, 1264.0, 36.0], shoonya_1s2HI8CWDEZ56B, 5737978]
[ordered-list, [196.0, 2004.0, 1264.0, 36.0], shoonya_1s2HI8CWDEZ56B, 5737978]
[ordered-list, [196.0, 2040.0, 1264.0, 36.0], shoonya_1s2HI8CWDEZ56B, 5737978]
