[1625, 1211]
[headline, [344.0, 148.0, 529.0, 37.5], shoonya_1s8VVOYLHAUI3P, 5742292]
[paragraph, [430.0, 244.0, 346.0, 36.0], bvXZDs7UWL, 5742292]
[paragraph, [430.0, 280.0, 346.0, 36.0], bvXZDs7UWL, 5742292]
[paragraph, [430.0, 316.0, 346.0, 36.0], bvXZDs7UWL, 5742292]
[paragraph, [430.0, 352.0, 346.0, 36.0], bvXZDs7UWL, 5742292]
[paragraph, [67.0, 248.0, 341.0, 36.0], shoonya_2sJB3IZYFGORC5, 5742292]
[paragraph, [67.0, 284.0, 341.0, 36.0], shoonya_2sJB3IZYFGORC5, 5742292]
[paragraph, [67.0, 320.0, 341.0, 36.0], shoonya_2sJB3IZYFGORC5, 5742292]
[paragraph, [67.0, 356.0, 341.0, 36.0], shoonya_2sJB3IZYFGORC5, 5742292]
[paragraph, [67.0, 392.0, 341.0, 36.0], shoonya_2sJB3IZYFGORC5, 5742292]
[paragraph, [67.0, 428.0, 341.0, 36.0], shoonya_2sJB3IZYFGORC5, 5742292]
[paragraph, [67.0, 464.0, 341.0, 36.0], shoonya_2sJB3IZYFGORC5, 5742292]
[paragraph, [795.0, 249.0, 341.0, 36.0], shoonya_0sAKGCF4N11FFH, 5742292]
[paragraph, [795.0, 285.0, 341.0, 36.0], shoonya_0sAKGCF4N11FFH, 5742292]
[paragraph, [795.0, 321.0, 341.0, 36.0], shoonya_0sAKGCF4N11FFH, 5742292]
[paragraph, [795.0, 357.0, 341.0, 36.0], shoonya_0sAKGCF4N11FFH, 5742292]
[paragraph, [795.0, 393.0, 341.0, 36.0], shoonya_0sAKGCF4N11FFH, 5742292]
[paragraph, [429.0, 402.0, 350.0, 36.0], wIkGqNOdji, 5742292]
[paragraph, [429.0, 438.0, 350.0, 36.0], wIkGqNOdji, 5742292]
[paragraph, [429.0, 474.0, 350.0, 36.0], wIkGqNOdji, 5742292]
[paragraph, [429.0, 510.0, 350.0, 36.0], wIkGqNOdji, 5742292]
[paragraph, [429.0, 546.0, 350.0, 36.0], wIkGqNOdji, 5742292]
[paragraph, [429.0, 582.0, 350.0, 36.0], wIkGqNOdji, 5742292]
[paragraph, [429.0, 618.0, 350.0, 36.0], wIkGqNOdji, 5742292]
[paragraph, [429.0, 654.0, 350.0, 36.0], wIkGqNOdji, 5742292]
[paragraph, [429.0, 690.0, 350.0, 36.0], wIkGqNOdji, 5742292]
[paragraph, [429.0, 726.0, 350.0, 36.0], wIkGqNOdji, 5742292]
[paragraph, [429.0, 762.0, 350.0, 36.0], wIkGqNOdji, 5742292]
[paragraph, [429.0, 798.0, 350.0, 36.0], wIkGqNOdji, 5742292]
[paragraph, [796.0, 439.0, 337.0, 36.0], 0tdQn0L7Ac, 5742292]
[paragraph, [796.0, 475.0, 337.0, 36.0], 0tdQn0L7Ac, 5742292]
[paragraph, [796.0, 511.0, 337.0, 36.0], 0tdQn0L7Ac, 5742292]
[paragraph, [796.0, 547.0, 337.0, 36.0], 0tdQn0L7Ac, 5742292]
[paragraph, [796.0, 583.0, 337.0, 36.0], 0tdQn0L7Ac, 5742292]
[paragraph, [796.0, 619.0, 337.0, 36.0], 0tdQn0L7Ac, 5742292]
[paragraph, [796.0, 655.0, 337.0, 36.0], 0tdQn0L7Ac, 5742292]
[paragraph, [796.0, 691.0, 337.0, 36.0], 0tdQn0L7Ac, 5742292]
[paragraph, [796.0, 727.0, 337.0, 36.0], 0tdQn0L7Ac, 5742292]
[paragraph, [796.0, 763.0, 337.0, 36.0], 0tdQn0L7Ac, 5742292]
[paragraph, [69.0, 586.0, 344.0, 36.0], hnul_VBLzi, 5742292]
[paragraph, [69.0, 622.0, 344.0, 36.0], hnul_VBLzi, 5742292]
[paragraph, [69.0, 658.0, 344.0, 36.0], hnul_VBLzi, 5742292]
[paragraph, [69.0, 694.0, 344.0, 36.0], hnul_VBLzi, 5742292]
