[1875, 1200]
[folio, [298.0, 194.0, 762.0, 36.0], 9hSL60OOGz, 5711021]
[paragraph, [177.0, 325.0, 910.0, 36.0], shoonya_0sF6R56S3UIDIX, 5711021]
[paragraph, [177.0, 361.0, 910.0, 36.0], shoonya_0sF6R56S3UIDIX, 5711021]
[paragraph, [177.0, 397.0, 910.0, 36.0], shoonya_0sF6R56S3UIDIX, 5711021]
[paragraph, [177.0, 433.0, 910.0, 36.0], shoonya_0sF6R56S3UIDIX, 5711021]
[paragraph, [177.0, 469.0, 910.0, 36.0], shoonya_0sF6R56S3UIDIX, 5711021]
[paragraph, [177.0, 505.0, 910.0, 36.0], shoonya_0sF6R56S3UIDIX, 5711021]
[paragraph, [177.0, 541.0, 910.0, 36.0], shoonya_0sF6R56S3UIDIX, 5711021]
[paragraph, [177.0, 577.0, 910.0, 36.0], shoonya_0sF6R56S3UIDIX, 5711021]
[paragraph, [177.0, 613.0, 910.0, 36.0], shoonya_0sF6R56S3UIDIX, 5711021]
[paragraph, [177.0, 649.0, 910.0, 36.0], shoonya_0sF6R56S3UIDIX, 5711021]
[paragraph, [177.0, 685.0, 910.0, 36.0], shoonya_0sF6R56S3UIDIX, 5711021]
[paragraph, [177.0, 721.0, 910.0, 36.0], shoonya_0sF6R56S3UIDIX, 5711021]
[paragraph, [177.0, 757.0, 910.0, 36.0], shoonya_0sF6R56S3UIDIX, 5711021]
[paragraph, [177.0, 793.0, 910.0, 36.0], shoonya_0sF6R56S3UIDIX, 5711021]
[paragraph, [177.0, 829.0, 910.0, 36.0], shoonya_0sF6R56S3UIDIX, 5711021]
[paragraph, [177.0, 865.0, 910.0, 36.0], shoonya_0sF6R56S3UIDIX, 5711021]
[paragraph, [177.0, 901.0, 910.0, 36.0], shoonya_0sF6R56S3UIDIX, 5711021]
[paragraph, [177.0, 937.0, 910.0, 36.0], shoonya_0sF6R56S3UIDIX, 5711021]
[paragraph, [174.0, 1003.0, 901.0, 36.0], bmg4Aku1L_, 5711021]
[paragraph, [174.0, 1039.0, 901.0, 36.0], bmg4Aku1L_, 5711021]
[paragraph, [174.0, 1075.0, 901.0, 36.0], bmg4Aku1L_, 5711021]
[paragraph, [174.0, 1111.0, 901.0, 36.0], bmg4Aku1L_, 5711021]
[paragraph, [174.0, 1147.0, 901.0, 36.0], bmg4Aku1L_, 5711021]
[paragraph, [174.0, 1183.0, 901.0, 36.0], bmg4Aku1L_, 5711021]
[paragraph, [174.0, 1219.0, 901.0, 36.0], bmg4Aku1L_, 5711021]
[paragraph, [174.0, 1255.0, 901.0, 36.0], bmg4Aku1L_, 5711021]
[paragraph, [174.0, 1291.0, 901.0, 36.0], bmg4Aku1L_, 5711021]
[paragraph, [174.0, 1327.0, 901.0, 36.0], bmg4Aku1L_, 5711021]
[paragraph, [194.0, 1442.0, 869.0, 36.0], shoonya_3sRQ2L5KXODUM9, 5711021]
[paragraph, [194.0, 1478.0, 869.0, 36.0], shoonya_3sRQ2L5KXODUM9, 5711021]
[paragraph, [194.0, 1514.0, 869.0, 36.0], shoonya_3sRQ2L5KXODUM9, 5711021]
[paragraph, [194.0, 1550.0, 869.0, 36.0], shoonya_3sRQ2L5KXODUM9, 5711021]
[paragraph, [194.0, 1586.0, 869.0, 36.0], shoonya_3sRQ2L5KXODUM9, 5711021]
