[1200, 825]
[paragraph, [137.0, 106.0, 549.0, 18.0], shoonya_0s41E8ZQ6GEIJU, 5691441]
[paragraph, [137.0, 124.0, 549.0, 18.0], shoonya_0s41E8ZQ6GEIJU, 5691441]
[paragraph, [137.0, 142.0, 549.0, 18.0], shoonya_0s41E8ZQ6GEIJU, 5691441]
[paragraph, [137.0, 160.0, 549.0, 18.0], shoonya_0s41E8ZQ6GEIJU, 5691441]
[paragraph, [137.0, 178.0, 549.0, 18.0], shoonya_0s41E8ZQ6GEIJU, 5691441]
[paragraph, [137.0, 196.0, 549.0, 18.0], shoonya_0s41E8ZQ6GEIJU, 5691441]
[paragraph, [137.0, 214.0, 549.0, 18.0], shoonya_0s41E8ZQ6GEIJU, 5691441]
[paragraph, [137.0, 232.0, 549.0, 18.0], shoonya_0s41E8ZQ6GEIJU, 5691441]
[paragraph, [137.0, 250.0, 549.0, 18.0], shoonya_0s41E8ZQ6GEIJU, 5691441]
[paragraph, [137.0, 268.0, 549.0, 18.0], shoonya_0s41E8ZQ6GEIJU, 5691441]
[paragraph, [137.0, 286.0, 549.0, 18.0], shoonya_0s41E8ZQ6GEIJU, 5691441]
[paragraph, [137.0, 304.0, 549.0, 18.0], shoonya_0s41E8ZQ6GEIJU, 5691441]
[paragraph, [137.0, 322.0, 549.0, 18.0], shoonya_0s41E8ZQ6GEIJU, 5691441]
[paragraph, [137.0, 340.0, 549.0, 18.0], shoonya_0s41E8ZQ6GEIJU, 5691441]
[paragraph, [137.0, 358.0, 549.0, 18.0], shoonya_0s41E8ZQ6GEIJU, 5691441]
[paragraph, [136.0, 386.0, 548.0, 18.0], shoonya_1s3GB4MA78K5T7, 5691441]
[paragraph, [136.0, 404.0, 548.0, 18.0], shoonya_1s3GB4MA78K5T7, 5691441]
[paragraph, [136.0, 422.0, 548.0, 18.0], shoonya_1s3GB4MA78K5T7, 5691441]
[paragraph, [136.0, 440.0, 548.0, 18.0], shoonya_1s3GB4MA78K5T7, 5691441]
[paragraph, [136.0, 458.0, 548.0, 18.0], shoonya_1s3GB4MA78K5T7, 5691441]
[paragraph, [136.0, 476.0, 548.0, 18.0], shoonya_1s3GB4MA78K5T7, 5691441]
[paragraph, [136.0, 494.0, 548.0, 18.0], shoonya_1s3GB4MA78K5T7, 5691441]
[paragraph, [136.0, 512.0, 548.0, 18.0], shoonya_1s3GB4MA78K5T7, 5691441]
[paragraph, [136.0, 530.0, 548.0, 18.0], shoonya_1s3GB4MA78K5T7, 5691441]
[paragraph, [136.0, 548.0, 548.0, 18.0], shoonya_1s3GB4MA78K5T7, 5691441]
[paragraph, [136.0, 566.0, 548.0, 18.0], shoonya_1s3GB4MA78K5T7, 5691441]
[paragraph, [136.0, 584.0, 548.0, 18.0], shoonya_1s3GB4MA78K5T7, 5691441]
[paragraph, [136.0, 602.0, 548.0, 18.0], shoonya_1s3GB4MA78K5T7, 5691441]
[paragraph, [136.0, 620.0, 548.0, 18.0], shoonya_1s3GB4MA78K5T7, 5691441]
[paragraph, [136.0, 638.0, 548.0, 18.0], shoonya_1s3GB4MA78K5T7, 5691441]
[paragraph, [136.0, 663.0, 549.0, 18.0], shoonya_2sUGXQ47YSH3GW, 5691441]
[paragraph, [136.0, 681.0, 549.0, 18.0], shoonya_2sUGXQ47YSH3GW, 5691441]
[paragraph, [136.0, 699.0, 549.0, 18.0], shoonya_2sUGXQ47YSH3GW, 5691441]
[paragraph, [136.0, 717.0, 549.0, 18.0], shoonya_2sUGXQ47YSH3GW, 5691441]
[paragraph, [136.0, 735.0, 549.0, 18.0], shoonya_2sUGXQ47YSH3GW, 5691441]
[paragraph, [136.0, 753.0, 549.0, 18.0], shoonya_2sUGXQ47YSH3GW, 5691441]
[paragraph, [136.0, 771.0, 549.0, 18.0], shoonya_2sUGXQ47YSH3GW, 5691441]
[paragraph, [136.0, 789.0, 549.0, 18.0], shoonya_2sUGXQ47YSH3GW, 5691441]
[paragraph, [136.0, 807.0, 549.0, 18.0], shoonya_2sUGXQ47YSH3GW, 5691441]
[paragraph, [136.0, 825.0, 549.0, 18.0], shoonya_2sUGXQ47YSH3GW, 5691441]
[paragraph, [136.0, 843.0, 549.0, 18.0], shoonya_2sUGXQ47YSH3GW, 5691441]
[paragraph, [136.0, 861.0, 549.0, 18.0], shoonya_2sUGXQ47YSH3GW, 5691441]
[paragraph, [136.0, 879.0, 549.0, 18.0], shoonya_2sUGXQ47YSH3GW, 5691441]
[paragraph, [136.0, 897.0, 549.0, 18.0], shoonya_2sUGXQ47YSH3GW, 5691441]
[paragraph, [136.0, 915.0, 549.0, 18.0], shoonya_2sUGXQ47YSH3GW, 5691441]
