[2176, 1463]
[folio, [157.0, 119.0, 206.0, 36.0], J4ieypUF07, 5655098]
[paragraph, [153.0, 224.0, 1192.0, 36.0], shoonya_1sDE2R218TMW4T, 5655098]
[paragraph, [153.0, 260.0, 1192.0, 36.0], shoonya_1sDE2R218TMW4T, 5655098]
[paragraph, [153.0, 296.0, 1192.0, 36.0], shoonya_1sDE2R218TMW4T, 5655098]
[paragraph, [153.0, 332.0, 1192.0, 36.0], shoonya_1sDE2R218TMW4T, 5655098]
[paragraph, [153.0, 368.0, 1192.0, 36.0], shoonya_1sDE2R218TMW4T, 5655098]
[paragraph, [153.0, 404.0, 1192.0, 36.0], shoonya_1sDE2R218TMW4T, 5655098]
[paragraph, [153.0, 440.0, 1192.0, 36.0], shoonya_1sDE2R218TMW4T, 5655098]
[paragraph, [153.0, 476.0, 1192.0, 36.0], shoonya_1sDE2R218TMW4T, 5655098]
[paragraph, [140.0, 543.0, 1189.0, 36.0], shoonya_4sTJXA00DSKM3W, 5655098]
[paragraph, [140.0, 579.0, 1189.0, 36.0], shoonya_4sTJXA00DSKM3W, 5655098]
[paragraph, [140.0, 615.0, 1189.0, 36.0], shoonya_4sTJXA00DSKM3W, 5655098]
[paragraph, [140.0, 651.0, 1189.0, 36.0], shoonya_4sTJXA00DSKM3W, 5655098]
[paragraph, [149.0, 702.0, 1206.0, 36.0], shoonya_0sXM1SRE4USB3N, 5655098]
[paragraph, [149.0, 738.0, 1206.0, 36.0], shoonya_0sXM1SRE4USB3N, 5655098]
[paragraph, [149.0, 774.0, 1206.0, 36.0], shoonya_0sXM1SRE4USB3N, 5655098]
[paragraph, [149.0, 810.0, 1206.0, 36.0], shoonya_0sXM1SRE4USB3N, 5655098]
[paragraph, [149.0, 846.0, 1206.0, 36.0], shoonya_0sXM1SRE4USB3N, 5655098]
[paragraph, [149.0, 882.0, 1206.0, 36.0], shoonya_0sXM1SRE4USB3N, 5655098]
[paragraph, [149.0, 918.0, 1206.0, 36.0], shoonya_0sXM1SRE4USB3N, 5655098]
[paragraph, [149.0, 954.0, 1206.0, 36.0], shoonya_0sXM1SRE4USB3N, 5655098]
[paragraph, [155.0, 1018.0, 1209.0, 36.0], shoonya_2sQFBGS8TJX5Q9, 5655098]
[paragraph, [155.0, 1054.0, 1209.0, 36.0], shoonya_2sQFBGS8TJX5Q9, 5655098]
[paragraph, [155.0, 1090.0, 1209.0, 36.0], shoonya_2sQFBGS8TJX5Q9, 5655098]
[paragraph, [155.0, 1126.0, 1209.0, 36.0], shoonya_2sQFBGS8TJX5Q9, 5655098]
[paragraph, [155.0, 1162.0, 1209.0, 36.0], shoonya_2sQFBGS8TJX5Q9, 5655098]
[paragraph, [155.0, 1198.0, 1209.0, 36.0], shoonya_2sQFBGS8TJX5Q9, 5655098]
[paragraph, [155.0, 1234.0, 1209.0, 36.0], shoonya_2sQFBGS8TJX5Q9, 5655098]
[paragraph, [155.0, 1270.0, 1209.0, 36.0], shoonya_2sQFBGS8TJX5Q9, 5655098]
[paragraph, [155.0, 1306.0, 1209.0, 36.0], shoonya_2sQFBGS8TJX5Q9, 5655098]
[paragraph, [155.0, 1342.0, 1209.0, 36.0], shoonya_2sQFBGS8TJX5Q9, 5655098]
[paragraph, [158.0, 1404.0, 1189.0, 36.0], shoonya_6sCZ581B50HRCO, 5655098]
[paragraph, [158.0, 1440.0, 1189.0, 36.0], shoonya_6sCZ581B50HRCO, 5655098]
[paragraph, [158.0, 1476.0, 1189.0, 36.0], shoonya_6sCZ581B50HRCO, 5655098]
[paragraph, [158.0, 1512.0, 1189.0, 36.0], shoonya_6sCZ581B50HRCO, 5655098]
[paragraph, [171.0, 1574.0, 1170.0, 36.0], 5edRlPmkpk, 5655098]
[paragraph, [171.0, 1610.0, 1170.0, 36.0], 5edRlPmkpk, 5655098]
[paragraph, [171.0, 1646.0, 1170.0, 36.0], 5edRlPmkpk, 5655098]
[paragraph, [229.0, 1719.0, 646.0, 36.0], 40yqYmR0Jp, 5655098]
[paragraph, [229.0, 1755.0, 646.0, 36.0], 40yqYmR0Jp, 5655098]
[paragraph, [229.0, 1791.0, 646.0, 36.0], 40yqYmR0Jp, 5655098]
[reference, [150.0, 1935.0, 892.0, 36.0], shoonya_3sGLY1P7D9NL69, 5655098]
[reference, [150.0, 1971.0, 892.0, 36.0], shoonya_3sGLY1P7D9NL69, 5655098]
[reference, [150.0, 2007.0, 892.0, 36.0], shoonya_3sGLY1P7D9NL69, 5655098]
