[842, 595]
[paragraph, [300.0, 91.0, 244.0, 18.0], shoonya_3sVT93ZTCGVSVQ, 5742503]
[paragraph, [300.0, 109.0, 244.0, 18.0], shoonya_3sVT93ZTCGVSVQ, 5742503]
[paragraph, [53.0, 92.0, 243.0, 18.0], shoonya_0sWXACUYZAD6DW, 5742503]
[paragraph, [53.0, 110.0, 243.0, 18.0], shoonya_0sWXACUYZAD6DW, 5742503]
[paragraph, [53.0, 128.0, 243.0, 18.0], shoonya_0sWXACUYZAD6DW, 5742503]
[paragraph, [53.0, 146.0, 243.0, 18.0], shoonya_0sWXACUYZAD6DW, 5742503]
[paragraph, [53.0, 164.0, 243.0, 18.0], shoonya_0sWXACUYZAD6DW, 5742503]
[paragraph, [53.0, 182.0, 243.0, 18.0], shoonya_0sWXACUYZAD6DW, 5742503]
[paragraph, [53.0, 200.0, 243.0, 18.0], shoonya_0sWXACUYZAD6DW, 5742503]
[paragraph, [53.0, 218.0, 243.0, 18.0], shoonya_0sWXACUYZAD6DW, 5742503]
[paragraph, [300.0, 135.0, 242.0, 18.0], shoonya_1sUWOIWBSOM4RZ, 5742503]
[paragraph, [300.0, 153.0, 242.0, 18.0], shoonya_1sUWOIWBSOM4RZ, 5742503]
[paragraph, [300.0, 171.0, 242.0, 18.0], shoonya_1sUWOIWBSOM4RZ, 5742503]
[paragraph, [300.0, 189.0, 242.0, 18.0], shoonya_1sUWOIWBSOM4RZ, 5742503]
[paragraph, [300.0, 207.0, 242.0, 18.0], shoonya_1sUWOIWBSOM4RZ, 5742503]
[paragraph, [300.0, 225.0, 242.0, 18.0], shoonya_1sUWOIWBSOM4RZ, 5742503]
[paragraph, [300.0, 243.0, 242.0, 18.0], shoonya_1sUWOIWBSOM4RZ, 5742503]
[paragraph, [300.0, 261.0, 242.0, 18.0], shoonya_1sUWOIWBSOM4RZ, 5742503]
[paragraph, [300.0, 279.0, 242.0, 18.0], shoonya_1sUWOIWBSOM4RZ, 5742503]
[paragraph, [300.0, 297.0, 242.0, 18.0], shoonya_1sUWOIWBSOM4RZ, 5742503]
[paragraph, [56.0, 247.0, 242.0, 18.0], shoonya_4sC2S3XXNKU1Q8, 5742503]
[paragraph, [56.0, 265.0, 242.0, 18.0], shoonya_4sC2S3XXNKU1Q8, 5742503]
[paragraph, [56.0, 283.0, 242.0, 18.0], shoonya_4sC2S3XXNKU1Q8, 5742503]
[paragraph, [56.0, 301.0, 242.0, 18.0], shoonya_4sC2S3XXNKU1Q8, 5742503]
[paragraph, [56.0, 319.0, 242.0, 18.0], shoonya_4sC2S3XXNKU1Q8, 5742503]
[paragraph, [56.0, 337.0, 242.0, 18.0], shoonya_4sC2S3XXNKU1Q8, 5742503]
[paragraph, [302.0, 331.0, 241.0, 18.0], shoonya_6sQ6CWGMCSMRGH, 5742503]
[paragraph, [55.0, 359.0, 224.0, 18.0], shoonya_11s55CUJA1NDDX, 5742503]
[paragraph, [55.0, 377.0, 224.0, 18.0], shoonya_11s55CUJA1NDDX, 5742503]
[paragraph, [55.0, 395.0, 224.0, 18.0], shoonya_11s55CUJA1NDDX, 5742503]
[paragraph, [55.0, 413.0, 224.0, 18.0], shoonya_11s55CUJA1NDDX, 5742503]
[paragraph, [55.0, 431.0, 224.0, 18.0], shoonya_11s55CUJA1NDDX, 5742503]
[paragraph, [55.0, 449.0, 224.0, 18.0], shoonya_11s55CUJA1NDDX, 5742503]
[paragraph, [333.0, 360.0, 207.0, 18.0], shoonya_8sQJOWU82AG85Z, 5742503]
[paragraph, [333.0, 378.0, 207.0, 18.0], shoonya_8sQJOWU82AG85Z, 5742503]
[paragraph, [333.0, 396.0, 207.0, 18.0], shoonya_8sQJOWU82AG85Z, 5742503]
[paragraph, [333.0, 414.0, 207.0, 18.0], shoonya_8sQJOWU82AG85Z, 5742503]
[paragraph, [333.0, 432.0, 207.0, 18.0], shoonya_8sQJOWU82AG85Z, 5742503]
[paragraph, [340.0, 472.0, 203.0, 18.0], shoonya_5sAVU3YVITSAU8, 5742503]
[paragraph, [340.0, 490.0, 203.0, 18.0], shoonya_5sAVU3YVITSAU8, 5742503]
[paragraph, [340.0, 508.0, 203.0, 18.0], shoonya_5sAVU3YVITSAU8, 5742503]
[paragraph, [55.0, 484.0, 209.0, 18.0], shoonya_14sVHVMWJW7NCG, 5742503]
[paragraph, [55.0, 502.0, 209.0, 18.0], shoonya_14sVHVMWJW7NCG, 5742503]
[paragraph, [54.0, 526.0, 177.0, 18.0], shoonya_9s3ZSIOPVXRG9I, 5742503]
[paragraph, [54.0, 544.0, 177.0, 18.0], shoonya_9s3ZSIOPVXRG9I, 5742503]
[paragraph, [54.0, 562.0, 177.0, 18.0], shoonya_9s3ZSIOPVXRG9I, 5742503]
[paragraph, [54.0, 580.0, 177.0, 18.0], shoonya_9s3ZSIOPVXRG9I, 5742503]
[paragraph, [54.0, 598.0, 177.0, 18.0], shoonya_9s3ZSIOPVXRG9I, 5742503]
[paragraph, [54.0, 616.0, 177.0, 18.0], shoonya_9s3ZSIOPVXRG9I, 5742503]
[paragraph, [54.0, 634.0, 177.0, 18.0], shoonya_9s3ZSIOPVXRG9I, 5742503]
[paragraph, [54.0, 652.0, 177.0, 18.0], shoonya_9s3ZSIOPVXRG9I, 5742503]
[paragraph, [54.0, 670.0, 177.0, 18.0], shoonya_9s3ZSIOPVXRG9I, 5742503]
[paragraph, [54.0, 688.0, 177.0, 18.0], shoonya_9s3ZSIOPVXRG9I, 5742503]
