[2278, 1778]
[folio, [1342.0, 133.0, 261.0, 36.0], shoonya_0sPJEYCEIC4W4C, 5754888]
[options, [220.0, 320.0, 1322.0, 36.0], ZdpTLVLH4M, 5754888]
[options, [220.0, 356.0, 1322.0, 36.0], ZdpTLVLH4M, 5754888]
[options, [251.0, 520.0, 1217.0, 36.0], K5FRwUcWA7, 5754888]
[options, [246.0, 764.0, 1229.0, 36.0], 8q00LIkAE-, 5754888]
[options, [246.0, 800.0, 1229.0, 36.0], 8q00LIkAE-, 5754888]
[options, [235.0, 957.0, 1335.0, 36.0], BEZrp2pRwu, 5754888]
[options, [235.0, 993.0, 1335.0, 36.0], BEZrp2pRwu, 5754888]
[options, [235.0, 1029.0, 1335.0, 36.0], BEZrp2pRwu, 5754888]
[placeholder-text, [553.0, 1129.0, 271.0, 18.0], d6CLa-lBUE, 5754888]
[placeholder-text, [553.0, 1147.0, 271.0, 18.0], d6CLa-lBUE, 5754888]
[options, [246.0, 1184.0, 1295.0, 36.0], 9_koxqAhQk, 5754888]
[options, [246.0, 1220.0, 1295.0, 36.0], 9_koxqAhQk, 5754888]
[options, [246.0, 1256.0, 1295.0, 36.0], 9_koxqAhQk, 5754888]
[placeholder-text, [949.0, 1369.0, 287.0, 18.0], gZ5WNaJZmg, 5754888]
[placeholder-text, [949.0, 1387.0, 287.0, 18.0], gZ5WNaJZmg, 5754888]
[options, [224.0, 1426.0, 1306.0, 36.0], 0w5JtwJWXP, 5754888]
[options, [224.0, 1462.0, 1306.0, 36.0], 0w5JtwJWXP, 5754888]
[options, [224.0, 1498.0, 1306.0, 36.0], 0w5JtwJWXP, 5754888]
[options, [944.0, 1664.0, 575.0, 36.0], suS36XpwrL, 5754888]
[options, [944.0, 1700.0, 575.0, 36.0], suS36XpwrL, 5754888]
[options, [944.0, 1736.0, 575.0, 36.0], suS36XpwrL, 5754888]
[options, [944.0, 1772.0, 575.0, 36.0], suS36XpwrL, 5754888]
[options, [944.0, 1808.0, 575.0, 36.0], suS36XpwrL, 5754888]
[options, [944.0, 1844.0, 575.0, 36.0], suS36XpwrL, 5754888]
[options, [944.0, 1880.0, 575.0, 36.0], suS36XpwrL, 5754888]
[options, [944.0, 1916.0, 575.0, 36.0], suS36XpwrL, 5754888]
[options, [944.0, 1952.0, 575.0, 36.0], suS36XpwrL, 5754888]
[options, [944.0, 1988.0, 575.0, 36.0], suS36XpwrL, 5754888]
[options, [246.0, 1700.0, 500.0, 36.0], sX9Sw-sT4O, 5754888]
[options, [246.0, 1736.0, 500.0, 36.0], sX9Sw-sT4O, 5754888]
[options, [246.0, 1772.0, 500.0, 36.0], sX9Sw-sT4O, 5754888]
[options, [246.0, 1808.0, 500.0, 36.0], sX9Sw-sT4O, 5754888]
[options, [246.0, 1844.0, 500.0, 36.0], sX9Sw-sT4O, 5754888]
[options, [246.0, 1880.0, 500.0, 36.0], sX9Sw-sT4O, 5754888]
[options, [246.0, 1916.0, 500.0, 36.0], sX9Sw-sT4O, 5754888]
[options, [246.0, 1952.0, 500.0, 36.0], sX9Sw-sT4O, 5754888]
[options, [246.0, 1988.0, 500.0, 36.0], sX9Sw-sT4O, 5754888]
[folio, [515.0, 2086.0, 800.0, 36.0], BIN3J3KYRS, 5754888]
